id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2746008643,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-09T14:56:55.304Z,2024-11-09T15:56:19Z,,,,,5351431327,59,"1, 25, 12, 20, 4, 24, 22, 18, 11, 21, 14, 9, 10, 15, 17, 19, 31, 33, 34, 45",5351431333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5352078773,197,6601,5352078771,194,8uhv14rin2znrr0wqgvcc2f2t,5351431331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5351431329,130,2,5351431325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5351431323,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 5w0giylttgiapseaw6qky0mxg, 3epwf56ozg73hueacwmckk0r9, cqsc3mj8klukkgutdrpegybdg, eso2tbbpnxu9qvx6zy07m5jx0, a48bpdpt0siemxqtr3rubwbu, 81w1fqi66z0ibawynhraybaxg, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, dsfbfzwy3c06mu50ee89qrbsa, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",,,,,,,,,,,,,,,,,,,,,,,,,,,
2746011513,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-09T15:00:54.317Z,2024-11-09T15:55:50Z,,,,,5351445727,59,"16, 20, 2, 7, 5, 29, 6, 8, 18, 10, 17, 1, 4, 13, 14, 21, 23, 26, 28, 30",5352076445,197,4604,5351445731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5351445733,194,e9o7q10wnhex4e8eo47mobbvt,5351445735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5351445723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5351445721,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, wha77a8wm7jyn32743y0w79x, eq15hjcxpdrl5vca2q7s4tr3e, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, axyrfq1u8nwcj2ss5498u8qhg, 2g019dl7zougqjo7usig0rf11, dqtarwrqvkopmzbt2ovp2dln9, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 80s55a7uw8kypoikefwhtdm5m",5351445729,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135737,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-09T16:01:47.989Z,2024-11-09T16:01:51Z,,,,,5352103953,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135725,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-09T16:01:47.989Z,2024-11-09T16:01:48Z,,,,,5352103907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135755,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2024-11-09T16:01:47.990Z,2024-11-09T16:01:52Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5352104079,140,27.0,5352104087,279,S,5352104077,56,Back,5352104081,141,68.6,5352104085,213,2.66,5352104083,212,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135965,4,1,1,0,3,a9vw7ikerpr4cuweeeka5aneg,0,27.0,68.6,2024-11-09T16:01:51.855Z,2024-11-09T16:02:01Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5352105247,1,,5352105239,140,65.7,5352105241,141,10.7,5352105243,212,56.6,5352105245,213,5.51,5352105235,56,Right,5352105229,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135861,3,44,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,32.8,89.8,2024-11-09T16:01:55.889Z,2024-11-09T17:04:13Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5352105419,233,5,5352104685,285,,5352104683,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135979,5,44,1,0,7,a9vw7ikerpr4cuweeeka5aneg,0,67.2,10.2,2024-11-09T16:01:55.890Z,2024-11-09T17:04:13Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5352105463,233,3,5352105319,286,,5352105317,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135891,4,1,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,0,30.3,90.6,2024-11-09T16:01:56.165Z,2024-11-09T16:01:57Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5352104827,56,Back,5352104829,140,17.4,5352104825,3,,5352104833,212,15.6,5352104835,213,2.62,5352104831,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746135899,5,5,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,0,20.9,101.8,2024-11-09T16:01:57.464Z,2024-11-09T18:17:03Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5352129245,233,6,5352104883,56,Back,5352104885,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
