id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value
2717030387,2,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-02T16:22:08.867Z,2024-09-02T20:21:50Z,,,,,5192932091,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e0rgqk3gxzs005m9ok9hvp1ck, dwuxps3jv2852642q000wep6, bp232fgjrfyok2471ec7u1tcl, 8gdfn7j6xac9p4jh94hk40jdg, b0yv1pcxifawqx6r1cfqq3otm, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 9xub4z9b3bog8wqhn5yfihecp, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 1f510mbuc4i1mmshqlgim5u6s, 6xhxqcmi0g6h61y2pl9v89xjo, 4qyfoq5fjiochtj89w426lm21",5192932093,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5192932101,194,cflwegqpzch8y30pb3dhigqnd,5192932103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5192932099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5192954457,197,18945,5192932097,130,12,5192932095,59,"25, 7, 27, 13, 12, 18, 26, 10, 11, 14, 17, 1, 3, 4, 8, 20, 22, 24, 30, 9",,,,,,,,,,,,,,,,,,,,,,,,
2717030535,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-02T16:22:58.363Z,2024-09-02T17:17:13Z,,,,,5192933029,130,8,5192963087,197,19798,5192963085,194,ezbixgm2km8iapnsl57bn4wkp,5192933023,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, ezbixgm2km8iapnsl57bn4wkp, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, dja68kdmhtsm9x5zqzgtpqas4, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5u9zrgsm6wycfcbk04m64wd1w, ct7z1lwc3kc5oblzcewgipzl6, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 8xfqengyrwgxhhi86ok88vf2s, egnjbmbxkceiygmp2jty4b47o, 3ngygpwrrb9ghyph2nmr8hb10, 5mmgppapbchmcj9zdtyw0w5xw",5192933033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5192933031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5192933025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5192933027,59,"13, 2, 3, 8, 5, 28, 16, 14, 11, 27, 22, 1, 6, 19, 20, 21, 26, 17, 29, 9",,,,,,,,,,,,,,,,,,,,,,,,
2717036093,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-02T17:00:32.007Z,2024-09-02T17:00:32Z,,,,,5192964829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036095,3,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-02T17:00:32.007Z,2024-09-02T17:00:34Z,,,,,5192964831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036109,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,49.9,49.9,2024-09-02T17:00:32.008Z,2024-09-02T17:00:35Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5192964869,279,S,5192964867,213,3.13,5192964865,212,20.1,5192964861,140,30.8,5192964859,56,Back,5192964863,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036113,4,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,1,30.8,50.3,2024-09-02T17:00:35.198Z,2024-09-02T17:00:37Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5192964895,213,4.29,5192964889,140,24.0,5192964893,212,17.4,5192964887,56,Back,5192964891,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036115,5,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,24.0,27.0,2024-09-02T17:00:37.142Z,2024-09-02T17:00:38Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5192964901,140,37.0,5192964903,141,25.3,5192964905,212,13.7,5192964907,213,6.20,5192964899,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717050401,428,61,1,0,7,b2vft81kyjurzbmekvgrqwr64,1,75.9,72.0,2024-09-02T17:00:39.007Z,2024-09-02T18:00:04Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5193047773,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036117,4,61,1,0,8,b2vft81kyjurzbmekvgrqwr64,1,61.6,81.1,2024-09-02T17:00:40.261Z,2024-09-02T20:41:33Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5192964911,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036121,6,1,1,0,10,b2vft81kyjurzbmekvgrqwr64,1,63.0,93.8,2024-09-02T17:00:42.918Z,2024-09-02T17:00:44Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5192964937,141,96.2,5192964935,140,47.8,5192964939,212,16.0,5192964933,56,Back,5192964941,213,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
