id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2727805939,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-29T10:19:52.082Z,2024-09-29T10:59:52Z,,,,,5251957091,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5251957095,130,13,5251957093,59,"1, 18, 27, 4, 7, 21, 6, 12, 10, 8, 17, 2, 3, 5, 20, 22, 23, 26, 29, 34",5252023805,197,16344,5251957089,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, bop31qof3lon7u6rvmb68ktzp, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5251957099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252026551,194,5z7y55t2o577r8ki3i5855as,5251957097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2727807563,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-29T10:24:15.200Z,2024-09-29T14:06:17Z,,,,,5251964971,130,10,5251964975,194,eas91my7qw7etoha5plxfk9yi,5251964965,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, c7buy99bjqmkmno8w5t0189d6, aqc0qritba195wf770gyd1149, 839pm7rmjp6q1bt52f7ek9vys, ate1ymumg2iwzn8uyyf3ts222, 7wo1hk736v1xhovvu2t2trw89, 6hmsrr08cllpl4iumu92zskbt, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, 37mo55lynu3blqnb8k9ln8k16, bmkwmf5f2ssnw2cq7uga7yd5g, 15yli690oxmbr4dl1ksti2p9m, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 9n2nm6smh0txgv2482qbwhixg, 418pvntm5e5kcoeyjjnzm7hg4, 46nx0rm8sod6bbo4a3d7g6jv8",5251964973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5251964969,59,"1, 2, 21, 15, 3, 25, 12, 10, 7, 14, 19, 4, 5, 8, 9, 11, 16, 17, 27, 39",5251964967,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5252023779,197,4652,5251964977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819497,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-29T11:01:27.625Z,2024-09-29T11:01:29Z,,,,,5252029237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819489,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-29T11:01:27.625Z,2024-09-29T11:01:27Z,,,,,5252029215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819555,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.0,50.0,2024-09-29T11:01:27.626Z,2024-09-29T11:01:36Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5252029537,56,Back,5252029547,279,S,5252029541,141,56.3,5252029545,213,2.99,5252029539,140,22.6,5252029543,212,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819583,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,1,23.3,57.5,2024-09-29T11:01:31.067Z,2024-09-29T11:04:52Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5252029675,140,57.6,5252029671,157,,5252029673,56,Right,5252029677,141,17.4,5252029679,212,45.2,5252029681,213,5.64,5252029683,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819587,5,44,1,0,5,f1h34qp5zbfl489q8vnkhiq9s,1,58.1,20.6,2024-09-29T11:01:33.578Z,2024-09-29T13:11:38Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5252029707,56,Right,5252029709,286,,5252038099,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819547,3,44,1,0,5,aqtkb4mgrz8c6iqfufj6qjbv9,0,41.9,79.4,2024-09-29T11:01:33.579Z,2024-09-29T13:11:38Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5252038127,233,5,5252029501,56,Back,5252029503,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819591,6,1,1,0,5,f1h34qp5zbfl489q8vnkhiq9s,0,57.6,17.4,2024-09-29T11:01:33.607Z,2024-09-29T13:12:57Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5252029737,212,4.5,5252029733,140,61.9,5252029735,141,17.3,5252029731,56,Right,5252029729,3,,5252029739,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727819553,4,61,1,0,7,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.7,77.5,2024-09-29T11:01:35.553Z,2024-09-29T11:01:35Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5252029533,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
