id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value
2730022271,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-04T16:05:11.898Z,2024-10-04T19:48:07Z,,,,,5264162305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264272827,194,5z7y55t2o577r8ki3i5855as,5264162311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264162309,130,4,5264162307,59,"1, 21, 5, 6, 7, 4, 3, 12, 10, 8, 17, 18, 19, 20, 22, 23, 26, 27, 29, 34",5264272525,197,16110,5264162303,30,"8mswl5vzza12hylodrrsq3zvu, khqldwfq14b7giakss24l9t5, elsygne5tjybbxrqgehtovnro, 2tcdx5rp7vujnlid4oqqxdogk, 5z7y55t2o577r8ki3i5855as, 5i6n6yne6fh410vk7p7kkokmi, 81gka3mi69fh8gyehyy8xo9as, 5dlh0fa9yo6z283w9p58xmnoq, bop31qof3lon7u6rvmb68ktzp, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5264162313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730023211,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-04T16:08:27.047Z,2024-10-04T21:19:30Z,,,,,5264167695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264167691,59,"1, 4, 2, 29, 5, 19, 7, 6, 49, 20, 10, 3, 9, 11, 16, 17, 22, 27, 34, 73",5264167699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264167687,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 78iynnu6cnznv6fxpo4br4mlm, ef7l91pb4w6yk7lijxjxlievp, 8rn42gm9xm3yunk883yan9vdg, 139g7ilwvcpl519v3scnweg2d, egwhlgopjtjkop7ozy7ltk1cl, ju24rgwcctj5yizl54o91gfe, 7j35sfip0xb51mpa91wzikrh0, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, 9l89n30nejpn2u22ygvchwnze, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 11cna826ls27ahux2w0ckapqt, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 18vvlxsaoloypja4fdddj687o, oywgthoxa153nf48la1j8v10",5264167689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264167697,194,139g7ilwvcpl519v3scnweg2d,5264275603,197,5311,5264167693,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043401,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-04T16:59:03.575Z,2024-10-04T16:59:04Z,,,,,5264277355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043395,3,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-04T16:59:03.575Z,2024-10-04T16:59:03Z,,,,,5264277307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043419,4,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2024-10-04T16:59:03.576Z,2024-10-04T16:59:06Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5264277441,279,S,5264277435,141,61.4,5264277437,212,24.4,5264277431,56,Back,5264277439,213,2.82,5264277433,140,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043433,5,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,32.1,57.8,2024-10-04T16:59:06.664Z,2024-10-04T16:59:09Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5264277521,141,10.7,5264277517,56,Right,5264277525,213,5.52,5264277527,1,,5264277515,157,,5264277523,212,46.1,5264277519,140,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043441,3,1,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,34.3,80.8,2024-10-04T16:59:10.533Z,2024-10-04T19:11:34Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5264277559,213,6.02,5264277553,140,50.9,5264277549,3,,5264277555,141,73.8,5264277551,56,Center,5264277557,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043455,6,1,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,1,45.7,29.7,2024-10-04T16:59:11.392Z,2024-10-04T17:03:42Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264277623,140,64.7,5264277619,3,,5264277627,212,20.4,5264277629,213,6.07,5264277621,56,Center,5264277625,141,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043461,7,1,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,0,61.5,18.3,2024-10-04T16:59:12.681Z,2024-10-04T16:59:13Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5264277649,141,10.0,5264277651,212,9.0,5264277645,56,Right,5264277647,140,68.2,5264277653,213,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043477,4,1,1,0,10,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.5,83.0,2024-10-04T16:59:14.116Z,2024-10-04T19:29:26Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264277743,1,,5264277733,140,59.2,5264277739,213,0.27,5264277729,157,,5264277737,212,28.0,5264277731,56,Left,5264277735,141,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
