id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2779095723,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-22T11:07:40.201Z,2025-02-22T14:26:53Z,,,,,5531204679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531289173,197,4652,5531204673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5531204677,130,8,5531289171,194,1se7wkenvs4elrapvdw9mdnje,5531204675,59,"1, 2, 21, 10, 3, 5, 7, 8, 14, 17, 12, 4, 11, 15, 16, 25, 27, 32, 9, 19",5531204671,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, aqc0qritba195wf770gyd1149, bmkwmf5f2ssnw2cq7uga7yd5g, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, 6m4anciafmzc24s44xszymbc9, c7buy99bjqmkmno8w5t0189d6, 45bcgucg627rhrdgt8tn9hd9m, 839pm7rmjp6q1bt52f7ek9vys, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 4mxciw9jsj9l437fd7bv78p91, cqgmx6eiriomccxfhykh31r10",5531204681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779105059,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-02-22T11:41:27.086Z,2025-02-22T12:01:09Z,,,,,5531256199,130,17,5531295821,194,3xz0h3d6r2qgmv9egms8yaz56,5531256193,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 423hv4unq5vvnp7kecv6wp3is, 5u9zrgsm6wycfcbk04m64wd1w, b6l4m6bmqgil9bjjov4tnuivo, 9fvf8z6p8ok0n5vu999ysfywa, e3546n3qj447qgmizao50zx1w, 9618hk1lq7i6see347k7plkyy, f1ba9g771s0zeel0titcj3omi, aszp26w7k6ycpwmcpvfteov84, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 44gqeji9twbkdtrcr2ias4efo, 7xde75gwrng67wvjkugv9xih, 9delpquqv81o7ftrgefb0wpp0, bq76t7rh2vynmvwx9mtvnl9g4",5531256201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531256197,59,"99, 7, 10, 3, 2, 4, 20, 23, 14, 24, 12, 9, 11, 13, 18, 19, 8, 1, 30, 16",5531295823,197,12588,5531256203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531256195,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779112905,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-02-22T12:01:59.970Z,2025-02-22T12:02:01Z,,,,,5531298933,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779112917,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-22T12:01:59.970Z,2025-02-22T12:02:00Z,,,,,5531298953,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779112931,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2025-02-22T12:01:59.992Z,2025-02-22T14:23:30Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5531299029,279,S,5531299023,141,67.8,5531299019,56,Back,5531299027,213,2.45,5531299021,140,36.2,5531299025,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779112955,4,1,1,0,2,b8oqgvx1ijeyn6y1cn6929ix4,1,36.2,67.8,2025-02-22T12:02:02.208Z,2025-02-22T12:02:03Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5531299151,141,50.9,5531299157,213,4.17,5531299149,140,29.6,5531299153,212,13.4,5531299147,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779112991,5,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,1,29.6,50.9,2025-02-22T12:02:03.528Z,2025-02-22T12:02:06Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5531299341,213,4.52,5531299339,212,18.2,5531299333,56,Back,5531299337,141,24.6,5531299335,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113017,6,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,26.2,24.1,2025-02-22T12:02:06.664Z,2025-02-22T12:02:07Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531299479,141,29.4,5531299473,155,,5531299483,213,0.10,5531299487,1,,5531299477,140,60.5,5531299481,212,36.2,5531299475,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113051,3,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,41.4,71.7,2025-02-22T12:02:07.571Z,2025-02-22T12:02:10Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5531299623,56,Back,5531299629,212,6.9,5531299621,3,,5531299625,140,47.7,5531299627,141,74.7,5531299631,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113067,4,1,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,1,44.7,75.4,2025-02-22T12:02:10.082Z,2025-02-22T12:02:11Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5531299693,56,Back,5531299695,140,32.2,5531299701,213,2.92,5531299697,141,79.7,5531299699,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
