id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2798819387,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-10T15:37:40.623Z,2025-04-10T16:29:52Z,,,,,5639352771,130,8,5639352767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5639352765,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 6lb4k3g75nzgi8bp1y1mzxkru, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 7rt4wpc0qphwnvhn8jeazesfe, 45ssaw51hm80y1tfalyesap9m, 2zt1yrfv8m2mhpo720n0uydck, 876cmwkx9p9wsqgdddfzmipzo, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5639352773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639439841,197,11563,5639352769,59,"90, 14, 12, 17, 4, 5, 8, 13, 9, 7, 11, 1, 2, 3, 6, 10, 20, 22, 97, 98",5639439839,194,3od63zrf6cay4d6ync9i2iuqc,5639352775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798821579,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-10T15:43:58.245Z,2025-04-10T19:22:56Z,,,,,5639365191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639365183,59,"23, 25, 12, 18, 4, 34, 22, 20, 21, 10, 14, 3, 8, 9, 15, 16, 17, 24, 27, 31",5639438565,194,5lu7bn7uec3zjqpoi1x81gbu1,5639365181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5639365189,197,16912,5639365185,130,6,5639365187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639365179,30,"d9hh01mit4geyadol3gmzco9, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4i0jiisff5k1efcgf27skpqfo, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, cqsc3mj8klukkgutdrpegybdg, 81w1fqi66z0ibawynhraybaxg, eso2tbbpnxu9qvx6zy07m5jx0, 6qko3f8w2ap9ynbuq2g55i5n8, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, 9dh7cnu4uzbraeck0t5iqlj4k, 4lxxyqy78jkglhv2w6crzcnsa, 7hso2bszmf4qal560jhrg2904, 2h94np282g0qtzal1czznequi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798834979,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-10T16:31:52.990Z,2025-04-11T10:33:12Z,,,,,5639443133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798834975,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-10T16:31:52.990Z,2025-04-10T16:31:53Z,,,,,5639443121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835005,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-04-10T16:31:52.991Z,2025-04-10T16:31:57Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5639443283,141,57.6,5639443285,212,22.0,5639443289,279,S,5639443281,140,29.6,5639443279,56,Back,5639443287,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835015,4,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,0,29.6,57.6,2025-04-10T16:31:57.463Z,2025-04-10T16:33:35Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5639446497,157,,5639443349,140,71.9,5639443351,141,28.5,5639443353,212,48.6,5639443357,1,,5639443347,56,Center,5639443355,213,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835035,3,8,1,0,7,6wwwud48qahpwrfxs20334qk5,1,33.0,67.9,2025-04-10T16:32:00.672Z,2025-04-11T10:41:11Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5639443481,56,Back,5640554397,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835051,5,1,1,0,9,a9vw7ikerpr4cuweeeka5aneg,1,51.0,45.7,2025-04-10T16:32:02.590Z,2025-04-10T16:32:05Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5639443601,141,28.2,5639443599,140,46.0,5639443603,212,13.0,5639443605,213,4.30,5639443597,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835059,6,1,1,0,11,a9vw7ikerpr4cuweeeka5aneg,0,55.9,21.8,2025-04-10T16:32:04.839Z,2025-04-10T16:32:05Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5639443655,141,32.8,5639443657,212,17.8,5639443653,140,71.3,5639443651,56,Center,5639443659,213,0.43,5639443649,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798835077,4,12,1,0,13,6wwwud48qahpwrfxs20334qk5,1,27.0,78.8,2025-04-10T16:32:06.479Z,2025-04-10T16:32:09Z,1ai0gvdx68lxclbj6m255w72t,S. Crone,,,5639443735,212,10.6,5639443729,56,Back,5639443733,141,82.7,5639443749,15,,5639443737,213,0.25,5639443731,140,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
