id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2702425829,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-07-21T12:14:21.769Z,2024-07-21T13:17:03Z,,,,,5112389905,130,9,5112389899,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4bkqvwlmbwul0s8lbbq6mifp, dsfbfzwy3c06mu50ee89qrbsa, 4m3slt6iikaxklqd12i719rl5, 4m9sp9mxlsjk6fv7v218yqfv9, 4mxciw9jsj9l437fd7bv78p91, 3epwf56ozg73hueacwmckk0r9, 9dh7cnu4uzbraeck0t5iqlj4k, 2p9y93r7xfjb71d1bfckcs53p, a48bpdpt0siemxqtr3rubwbu, c1p51x3fg0dgss14z9vozfqc4, 9tdl50o579ut0oj2eec0dprtg, 4lxxyqy78jkglhv2w6crzcnsa, b9g3gwxlao9u6y4elz1sdukmh, 61vr9xr91fr4g6ayzga5vn9w5, 7odg3dte6eh3uuv1cjnd3oefo",5112389911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112498701,197,6601,5112389909,194,8uhv14rin2znrr0wqgvcc2f2t,5112389903,59,"1, 25, 14, 18, 4, 20, 19, 6, 45, 7, 15, 17, 2, 9, 12, 22, 24, 27, 33, 30",5112389901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5112389907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702429233,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-07-21T12:21:46.126Z,2024-07-21T13:13:05Z,,,,,5112409103,130,4,5112409097,30,"cu2l7ju3t72stqhwaurrnqbqh, 65g5cfsdr10378yvmkpm19444, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 3od63zrf6cay4d6ync9i2iuqc, b1kyjkhaaiw32cb4bubbpm7tg, ayxi2m0g0pm6rl1ba5pto66z9, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, 4bojyjyvkdgm1lss6n37q2t5g, 2zt1yrfv8m2mhpo720n0uydck, 6yev7nszmpylpqncom2gdkul1, 6lb4k3g75nzgi8bp1y1mzxkru, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 7g5mtjc5bxy2oxtmghn85az9w",5112409105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5112409099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5112497139,197,11563,5112497137,194,3od63zrf6cay4d6ync9i2iuqc,5112409107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112409101,59,"1, 14, 8, 13, 5, 4, 7, 21, 16, 97, 98, 2, 17, 20, 3, 9, 18, 19, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446379,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-07-21T13:00:47.638Z,2024-07-21T13:00:47Z,,,,,5112505723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446387,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-07-21T13:00:47.638Z,2024-07-21T13:00:48Z,,,,,5112505757,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446419,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,49.9,49.8,2024-07-21T13:00:47.639Z,2024-07-21T13:00:53Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5112505955,279,S,5112505943,56,Back,5112505953,213,2.83,5112505949,141,60.6,5112505945,140,27.9,5112505951,212,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446425,4,1,1,0,5,a9vw7ikerpr4cuweeeka5aneg,1,27.9,60.6,2024-07-21T13:00:53.121Z,2024-07-21T13:00:54Z,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,,,5112505997,213,4.78,5112505991,140,29.1,5112505993,141,34.6,5112505989,56,Back,5112505995,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446429,5,1,1,0,6,a9vw7ikerpr4cuweeeka5aneg,0,29.1,34.6,2024-07-21T13:00:54.293Z,2024-07-21T13:00:55Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5112506025,155,,5112506029,140,58.5,5112506035,213,6.03,5112506031,141,22.9,5112506027,56,Center,5112506033,212,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446461,3,1,1,0,9,6wwwud48qahpwrfxs20334qk5,0,25.5,77.6,2024-07-21T13:00:57.307Z,2024-07-21T13:00:58Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5112506135,140,41.4,5112506139,212,17.6,5112506133,56,Back,5112506137,141,85.7,5112506131,3,,5112506141,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446485,6,1,1,0,11,a9vw7ikerpr4cuweeeka5aneg,1,54.7,21.4,2024-07-21T13:00:58.917Z,2024-07-21T13:47:39Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5112506309,56,Center,5112506313,141,26.1,5112506311,140,62.5,5112506317,213,0.37,5112506315,212,8.8,5112506307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446489,7,44,1,0,12,a9vw7ikerpr4cuweeeka5aneg,1,67.2,23.5,2024-07-21T13:01:00.489Z,2024-07-21T13:01:02Z,4m9sp9mxlsjk6fv7v218yqfv9,M. Egho,,,5112506347,286,,5112506399,233,4,5112506345,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446479,4,44,1,0,12,6wwwud48qahpwrfxs20334qk5,0,32.8,76.5,2024-07-21T13:01:00.490Z,2024-07-21T13:52:54Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5112506269,56,Back,5112506403,233,7,5112506271,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446501,8,1,1,0,13,a9vw7ikerpr4cuweeeka5aneg,1,64.4,31.8,2024-07-21T13:01:01.291Z,2024-07-21T13:01:02Z,4m9sp9mxlsjk6fv7v218yqfv9,M. Egho,,,5112506425,140,67.8,5112506429,212,4.1,5112506419,3,,5112506431,213,0.53,5112506423,56,Center,5112506421,168,,5112506427,141,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446511,9,1,1,0,14,a9vw7ikerpr4cuweeeka5aneg,1,67.7,36.1,2024-07-21T13:01:02.619Z,2024-07-21T13:01:04Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5112506501,56,Center,5112506507,212,8.8,5112506499,3,,5112506503,140,66.2,5112506509,213,1.75,5112506505,141,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446519,10,50,1,0,16,a9vw7ikerpr4cuweeeka5aneg,1,68.1,45.9,2024-07-21T13:01:03.754Z,2024-07-21T14:00:11Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5112506537,286,,5112506585,233,5,5112506535,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446515,5,7,1,0,16,6wwwud48qahpwrfxs20334qk5,0,31.9,54.1,2024-07-21T13:01:03.755Z,2024-07-21T14:00:11Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5112506525,56,Back,5112506571,233,10,5112506527,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446559,11,1,1,0,17,a9vw7ikerpr4cuweeeka5aneg,1,62.9,60.2,2024-07-21T13:01:05.040Z,2024-07-21T13:01:07Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5112506763,3,,5112506771,212,8.6,5112506773,213,4.57,5112506767,140,61.7,5112506765,56,Center,5112506769,141,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
