id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId
2795973367,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-05T10:08:51.323Z,2025-04-05T12:37:02Z,,,,,5623728197,30,"2g019dl7zougqjo7usig0rf11, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, 2uw6m0yavlvkkiob73hoywb56, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 5vwzliaibdlhfm38g8v5z0r8p, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, ewh6t7yo6clfewu89uznll9uc, 1vfh2k9yurk6t5s1vmgmlmfpw, e42jh6bbwn4aybdnysonrvutx, ev2s21ogvpjtata4fndi868ve",5623790071,197,4604,5623790069,194,wha77a8wm7jyn32743y0w79x,5623728207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623728201,59,"1, 2, 3, 7, 4, 25, 14, 18, 17, 10, 31, 11, 13, 15, 21, 23, 26, 32, 20, 29",5623728205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623728199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5623728203,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795973699,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-05T10:10:23.743Z,2025-04-05T11:02:31Z,,,,,5623729945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5623729951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623729953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623729943,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 6lb4k3g75nzgi8bp1y1mzxkru, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 45ssaw51hm80y1tfalyesap9m, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 876cmwkx9p9wsqgdddfzmipzo, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5623729949,130,8,5623729947,59,"90, 14, 12, 17, 4, 5, 8, 13, 9, 7, 11, 1, 2, 3, 10, 19, 20, 22, 97, 98",5623790517,197,11563,5623792317,194,3od63zrf6cay4d6ync9i2iuqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986727,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-05T11:00:45.752Z,2025-04-05T11:00:45Z,,,,,5623794577,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986733,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-05T11:00:45.752Z,2025-04-05T11:00:46Z,,,,,5623794605,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986779,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.2,50.0,2025-04-05T11:00:45.753Z,2025-04-05T11:00:50Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5623794843,213,3.00,5623794839,141,54.9,5623794845,279,S,5623794837,140,27.6,5623794841,212,24.0,5623794835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986823,4,1,1,0,4,dbl7ir1qugqz8nvp1vzn8im50,1,29.1,54.2,2025-04-05T11:00:50.608Z,2025-04-05T11:00:54Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5623795085,141,68.4,5623795081,56,Center,5623795089,213,0.22,5623795083,140,70.9,5623795087,212,44.9,5623795079,157,,5623795091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986837,5,1,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,1,70.9,68.4,2025-04-05T11:00:54.638Z,2025-04-05T11:48:22Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5623795179,168,,5623795187,212,9.4,5623795181,56,Center,5623795185,141,76.7,5623795177,3,,5623795183,140,78.0,5623795189,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796020259,478,61,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,73.9,82.9,2025-04-05T11:00:55.752Z,2025-04-05T11:48:19Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5623963427,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986873,3,12,1,0,10,6wwwud48qahpwrfxs20334qk5,1,31.2,19.7,2025-04-05T11:00:56.307Z,2025-04-05T11:01:13Z,1ai0gvdx68lxclbj6m255w72t,S. Crone,,,5623795351,213,5.45,5623795347,141,5.2,5623795345,140,39.7,5623795343,56,Back,5623795349,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795986875,4,43,1,0,11,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-05T11:00:57.129Z,2025-04-05T11:00:59Z,1ai0gvdx68lxclbj6m255w72t,S. Crone,,,5623795357,56,Back,5623795417,144,5,5623795359,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
