id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2702043639,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-07-20T13:14:23.135Z,2024-07-20T15:45:40Z,,,,,5110284443,194,dkuinrikn3htd1kilcsce2bit,5110231859,30,"45bcgucg627rhrdgt8tn9hd9m, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, auv81snxkpk2ybxzi8giy5azt, bmkwmf5f2ssnw2cq7uga7yd5g, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, ate1ymumg2iwzn8uyyf3ts222, dkuinrikn3htd1kilcsce2bit, 7wo1hk736v1xhovvu2t2trw89, 9xxdec5pv5plas9ve4ehs4nop, 15jis83lol1yvu17js2m0g8b8, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 4yyiv4t6irqpeayug5qgvmkmh, 98mkoolgahktzky97y0khdq1g, 4tmufy48y5xskoe0yqcj9xa1g, 46nx0rm8sod6bbo4a3d7g6jv8",5110231873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5110231871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5110231867,59,"16, 2, 21, 19, 5, 15, 7, 12, 11, 10, 9, 3, 4, 6, 8, 14, 22, 26, 34, 39",5110231863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5110231869,130,8,5110283603,197,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702046075,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-07-20T13:22:44.572Z,2024-07-20T14:06:18Z,,,,,5110284135,197,24396,5110284133,194,4clmd8g8jogdfvauhijd7n55h,5110245885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5110245893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5110245887,59,"16, 20, 2, 8, 4, 28, 6, 18, 17, 10, 40, 13, 1, 11, 14, 15, 21, 26, 29, 41",5110245891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5110245883,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, wrckom9vy4352nos44600ydw, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 15jhbyn4wsbd865fd9djcwaok, 4n002w0ii1wqwx8t5xc1bzf2s, 2g019dl7zougqjo7usig0rf11, 1b32j0lqi7ggcabdra4tygxzo, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, ap5tk7hqni7e79nshgc6axk44",5110245889,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702052945,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-07-20T14:02:26.070Z,2024-07-20T14:02:26Z,,,,,5110286281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702052947,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-07-20T14:02:26.070Z,2024-07-22T13:54:23Z,,,,,5110286283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702052963,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-07-20T14:02:26.071Z,2024-07-20T14:02:29Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5110286339,141,49.1,5110286345,279,S,5110286335,56,Back,5110286343,213,3.17,5110286341,212,18.7,5110286337,140,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702053001,4,1,1,0,3,dbl7ir1qugqz8nvp1vzn8im50,0,34.4,51.5,2024-07-20T14:02:29.552Z,2024-07-20T14:52:47Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5110286559,157,,5110286567,212,49.8,5110286571,1,,5110286565,141,98.0,5110286563,140,71.1,5110286569,213,0.69,5110286561,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702052989,3,44,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,28.6,4.0,2024-07-20T14:02:33.768Z,2024-07-20T14:02:36Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5110286609,233,5,5110286497,285,,5110286495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702053007,5,44,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,71.4,96.0,2024-07-20T14:02:33.769Z,2024-07-20T14:02:37Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5110286615,233,3,5110286583,56,Left,5110286585,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702052991,4,43,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-07-20T14:02:34.103Z,2024-07-20T14:02:38Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5110286501,285,0,5110286529,211,0,5110286691,144,3,5110286499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702053011,5,12,1,0,9,f1h34qp5zbfl489q8vnkhiq9s,1,27.9,5.9,2024-07-20T14:02:35.343Z,2024-07-20T14:02:39Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5110286657,212,5.8,5110286655,141,0.0,5110286683,167,,5110286659,213,5.09,5110286653,140,29.9,5110286651,56,Back,5110286661,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
