id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2723085877,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-21T10:09:00.800Z,2024-09-21T14:17:53Z,,,,,5226301171,197,21756,5226186815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226186807,59,"1, 25, 12, 20, 4, 24, 22, 17, 21, 10, 15, 8, 9, 11, 14, 18, 31, 33, 34, 45",5226186805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5226186809,130,8,5226186813,194,8uhv14rin2znrr0wqgvcc2f2t,5226186811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226186803,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, 81w1fqi66z0ibawynhraybaxg, cl4xl80n4gew1ox03r3ooshrd, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, 3epwf56ozg73hueacwmckk0r9, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723086937,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-21T10:11:34.867Z,2024-09-21T14:18:32Z,,,,,5226193057,59,"1, 4, 3, 14, 5, 28, 17, 6, 11, 27, 19, 8, 9, 18, 20, 21, 22, 29, 31, 15",5226193059,130,8,5226193055,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5226301545,197,19798,5226203955,194,2uellcocrvapu7o70g5zdcmad,5226193053,30,"9y3vs6l0mjj38z0kw062jlh3p, 15nwvne76hmc6vgtju60bl7md, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, egnjbmbxkceiygmp2jty4b47o, 5u9zrgsm6wycfcbk04m64wd1w, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, ct7z1lwc3kc5oblzcewgipzl6, ezbixgm2km8iapnsl57bn4wkp, 5mmgppapbchmcj9zdtyw0w5xw, 86mx27krl6c613x6e3t9g3cic, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, kqj7nh6pqmqbt0abyyu0fcpg, dme4jqo3w3abg6z0vt1gnkpp0, 7k2c7wgoywy7boesjer5578q1, 85qlnet6ehpowwtbubzbw3qqc",5226193063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226193061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107085,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-21T11:01:43.623Z,2024-09-21T11:01:43Z,,,,,5226307841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107093,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-21T11:01:43.623Z,2024-09-21T11:01:46Z,,,,,5226307873,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107105,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2024-09-21T11:01:43.624Z,2024-09-21T11:01:46Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5226307937,212,15.9,5226307935,141,55.7,5226307939,213,2.90,5226307931,56,Back,5226307941,279,S,5226307933,140,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107161,4,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,1,35.3,55.7,2024-09-21T11:01:46.179Z,2024-09-21T11:01:50Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5226308173,212,17.1,5226308171,141,34.6,5226308175,213,4.14,5226308167,56,Back,5226308169,140,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107195,5,1,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,26.4,34.6,2024-09-21T11:01:50.067Z,2024-09-21T11:01:53Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5226308329,213,0.56,5226308325,141,76.9,5226308319,155,,5226308327,212,54.4,5226308321,56,Center,5226308323,140,70.4,5226308331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107181,3,44,1,0,7,a9vw7ikerpr4cuweeeka5aneg,1,27.2,25.9,2024-09-21T11:01:50.657Z,2024-09-21T13:20:50Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5226308253,285,,5226308251,56,Back,5226308433,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107211,6,44,1,0,7,ajtb177oqwawkdwbqhldmq6mx,0,72.8,74.1,2024-09-21T11:01:50.658Z,2024-09-21T13:20:50Z,ct7z1lwc3kc5oblzcewgipzl6,A. Bredahl,,,5226308449,233,3,5226308397,286,,5226308395,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107233,4,1,1,0,7,a9vw7ikerpr4cuweeeka5aneg,0,23.1,30.6,2024-09-21T11:01:51.111Z,2024-09-21T11:01:55Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5226308511,3,,5226308513,56,Back,5226308521,213,4.72,5226308519,212,22.2,5226308515,140,23.2,5226308517,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
