id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2751251323,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-24T14:02:43.259Z,2024-11-24T17:44:34Z,,,,,5379994103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379994117,197,7812,5380216815,194,eas91my7qw7etoha5plxfk9yi,5379994115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379994107,59,"1, 2, 21, 12, 3, 15, 11, 10, 14, 17, 5, 4, 6, 7, 9, 16, 19, 25, 26, 27",5379994099,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, ate1ymumg2iwzn8uyyf3ts222, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 6m4anciafmzc24s44xszymbc9, 7wo1hk736v1xhovvu2t2trw89, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, bmkwmf5f2ssnw2cq7uga7yd5g, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, 6hmsrr08cllpl4iumu92zskbt, bdxcd38y99nrbv72uh2v4fhg4, 45bcgucg627rhrdgt8tn9hd9m, auv81snxkpk2ybxzi8giy5azt, 839pm7rmjp6q1bt52f7ek9vys, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4",5379994111,130,8,5379994119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751273113,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-24T14:19:31.264Z,2024-11-24T17:42:05Z,,,,,5380109961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380109951,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5380109959,194,5z7y55t2o577r8ki3i5855as,5380109955,130,17,5380109953,59,"1, 3, 27, 2, 7, 21, 12, 6, 8, 9, 17, 4, 5, 10, 18, 19, 23, 26, 29, 34",5380109949,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 5dlh0fa9yo6z283w9p58xmnoq, 2tcdx5rp7vujnlid4oqqxdogk, 1n4eldqa7h9jvcx1693zqu06i, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, elsygne5tjybbxrqgehtovnro, bop31qof3lon7u6rvmb68ktzp, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5380344599,197,16110,5380109957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319449,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-24T15:00:44.211Z,2024-11-24T15:00:46Z,,,,,5380356297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319441,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-24T15:00:44.211Z,2024-11-24T15:00:44Z,,,,,5380356275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319511,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.9,50.6,2024-11-24T15:00:44.212Z,2024-11-24T15:00:47Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5380356597,213,3.02,5380356593,141,54.9,5380356595,212,23.7,5380356599,279,S,5380356591,140,27.5,5380356589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319563,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,1,28.7,54.6,2024-11-24T15:00:47.817Z,2024-11-24T15:00:50Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5380356817,141,15.5,5380356831,1,,5380356813,56,Right,5380356825,213,5.77,5380356815,140,73.3,5380356821,212,53.9,5380356811,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319579,5,44,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,77.6,10.2,2024-11-24T15:00:50.249Z,2024-11-24T15:00:54Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5380356945,233,3,5380356897,56,Right,5380356903,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319577,3,44,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,22.4,89.8,2024-11-24T15:00:50.250Z,2024-11-24T15:00:56Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,,5380356999,233,5,5380356893,285,,5380356891,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319657,6,1,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,0,73.3,15.5,2024-11-24T15:00:50.640Z,2024-11-24T15:04:49Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5380357289,3,,5380357297,140,83.9,5380357301,141,31.3,5380357309,213,0.77,5380357305,212,15.5,5380357293,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319649,4,1,1,0,7,aqtkb4mgrz8c6iqfufj6qjbv9,0,19.7,60.8,2024-11-24T15:00:51.528Z,2024-11-24T15:00:54Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5380357229,56,Center,5380357237,213,0.02,5380357227,157,,5380357239,1,,5380357231,140,66.6,5380357233,141,62.0,5380357235,212,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
