id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2742169641,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-01T16:58:33.390Z,2024-11-01T17:56:55Z,,,,5330586629,59,"1, 3, 27, 2, 7, 21, 6, 20, 9, 8, 17, 4, 10, 12, 18, 22, 23, 26, 29, 34",5330586635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5330697061,194,5z7y55t2o577r8ki3i5855as,5330586631,130,13,5330586627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5330586625,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, bpldj4qdzfdm1n739atcadbmc, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, bop31qof3lon7u6rvmb68ktzp, 5dlh0fa9yo6z283w9p58xmnoq, 9lsylzgf7e3i5zb0fshnxo6xg, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5330697063,197,16110,5330586633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742169789,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-01T16:59:05.963Z,2024-11-01T17:56:28Z,,,,5330696515,197,19945,5330587385,130,7,5330587377,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, d4w0nytrfhhtw8xqh7rofq6z9, 615e0bjcd0tyge047sy43y5sl, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 3njsc9nturnshsiofmiy19gr8",5330587379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5330587383,59,"1, 15, 23, 6, 5, 2, 22, 88, 24, 14, 9, 8, 10, 16, 17, 27, 28, 29, 30, 26",5330587387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5330587389,194,a30gduuv9d1s4pkthgu2jhyol,5330587391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191213,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-01T18:00:03.749Z,2024-11-01T18:00:05Z,,,,5330701051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191207,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-01T18:00:03.749Z,2024-11-01T18:00:03Z,,,,5330701023,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191221,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,49.3,49.9,2024-11-01T18:00:03.750Z,2024-11-01T18:00:07Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5330701071,56,Back,5330701075,141,47.3,5330701077,212,17.3,5330701073,140,32.9,5330701081,279,S,5330701079,213,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191239,4,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,1,32.9,47.3,2024-11-01T18:00:07.015Z,2024-11-01T18:00:09Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5330701165,56,Back,5330701167,140,24.4,5330701173,213,4.02,5330701169,141,31.6,5330701171,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191251,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,24.4,31.6,2024-11-01T18:00:09.632Z,2024-11-01T18:00:11Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5330701221,213,5.38,5330701215,140,38.1,5330701219,212,23.3,5330701217,141,4.7,5330701213,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191263,6,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,0,38.4,5.5,2024-11-01T18:00:11.600Z,2024-11-01T18:13:50Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5330701257,213,0.19,5330701253,141,17.7,5330701259,1,,5330701249,56,Right,5330701251,140,80.5,5330701255,212,45.0,5330701247,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191287,3,1,1,0,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.3,80.3,2024-11-01T18:00:14.174Z,2024-11-01T18:00:16Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5330701363,213,1.85,5330701357,140,36.2,5330701355,56,Back,5330701361,212,8.1,5330701359,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191301,4,1,1,0,12,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.2,91.7,2024-11-01T18:00:15.942Z,2024-11-01T18:00:18Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5330701439,140,59.5,5330701445,213,6.02,5330701441,141,82.1,5330701437,56,Left,5330701435,157,,5330701443,212,25.3,5330701447,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
