id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2705185521,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-02T16:11:03.392Z,2024-08-02T20:24:54Z,,,,5127783729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127783727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127783721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127823817,194,ezbixgm2km8iapnsl57bn4wkp,5127783723,59,"13, 2, 3, 14, 5, 4, 10, 18, 11, 8, 22, 1, 6, 9, 16, 21, 23, 26, 27, 28",5127823819,197,19798,5127783719,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 2uellcocrvapu7o70g5zdcmad, a0i74nqik3lbi02ngno0m0ys4, as7qhgi67gngq0nb3zmwg8jro, 86mx27krl6c613x6e3t9g3cic, 8i0o1b8rjsab9se3v6vteqmfo, ezbixgm2km8iapnsl57bn4wkp, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5u9zrgsm6wycfcbk04m64wd1w, zpl7lyln792rt0b2oedamvbo, dja68kdmhtsm9x5zqzgtpqas4, ab3nxxoj7bxlnhot9htoex1xw, 38shfw53eg5qtvem3d3ou04r8, 8xfqengyrwgxhhi86ok88vf2s, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85",5127783725,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705185743,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-02T16:12:16.658Z,2024-08-02T16:58:01Z,,,,5127785005,194,139g7ilwvcpl519v3scnweg2d,5127784997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127785001,130,8,5127784999,59,"1, 4, 2, 20, 5, 34, 7, 8, 9, 17, 10, 3, 6, 11, 16, 23, 25, 27, 29, 37",5127785003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127785007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127824315,197,5311,5127784995,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 7j35sfip0xb51mpa91wzikrh0, ef7l91pb4w6yk7lijxjxlievp, 18vvlxsaoloypja4fdddj687o, 139g7ilwvcpl519v3scnweg2d, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, egwhlgopjtjkop7ozy7ltk1cl, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 4csz412vb3lquessbnf999ct0, 9y2jqheyw7vuscwsj9yyxuga, 6t6k24gn6zwxz1g6c3n4ph0q, 78iynnu6cnznv6fxpo4br4mlm, 6xnn9048x2zmwprfsg0lhq61g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192719,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-02T17:00:20.128Z,2024-08-02T17:00:21Z,,,,5127825673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192717,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-02T17:00:20.128Z,2024-08-02T17:00:20Z,,,,5127825671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192739,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.8,49.9,2024-08-02T17:00:20.129Z,2024-08-02T19:10:12Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5127825757,140,45.0,5127825769,279,S,5127825767,213,3.45,5127825761,141,47.5,5127825755,56,Back,5127825765,212,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192741,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,0,45.0,47.5,2024-08-02T17:00:22.427Z,2024-08-02T17:00:23Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,5127825781,56,Center,5127825783,140,71.6,5127825785,141,49.6,5127825789,213,0.05,5127825787,212,28.0,5127825791,1,,5127825779,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193285,16,61,1,0,3,ajtb177oqwawkdwbqhldmq6mx,1,54.7,53.0,2024-08-02T17:00:23.349Z,2024-08-02T20:11:12Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,5127830341,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192749,3,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,1,28.8,70.6,2024-08-02T17:00:23.455Z,2024-08-02T17:00:25Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5127825825,140,36.7,5127825823,56,Back,5127825827,141,57.6,5127825831,213,5.47,5127825829,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192755,5,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,1,36.8,57.6,2024-08-02T17:00:25.453Z,2024-08-02T17:00:26Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,5127825853,212,14.8,5127825849,140,24.2,5127825851,141,47.9,5127825855,213,3.60,5127825847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192767,6,1,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,24.6,47.5,2024-08-02T17:00:26.479Z,2024-08-02T17:00:29Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5127825895,141,67.5,5127825901,1,,5127825889,157,,5127825893,140,78.2,5127825891,56,Center,5127825897,212,57.9,5127825899,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
