id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2722742369,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-20T15:39:10.842Z,2024-09-20T19:59:04Z,,,,5224319841,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, b0yv1pcxifawqx6r1cfqq3otm, 8gdfn7j6xac9p4jh94hk40jdg, 8gqvlydur0v4cpmz1ozqkejh0, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 9xub4z9b3bog8wqhn5yfihecp, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck, 4qyfoq5fjiochtj89w426lm21",5224319853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224319849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224319845,59,"25, 7, 27, 13, 12, 18, 11, 17, 14, 23, 10, 1, 3, 4, 8, 16, 20, 22, 26, 9",5224364071,197,18945,5224319851,194,cflwegqpzch8y30pb3dhigqnd,5224319843,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224319847,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722742579,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-20T15:40:19.401Z,2024-09-20T20:26:26Z,,,,5224321035,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224321039,130,18,5224321043,194,3xz0h3d6r2qgmv9egms8yaz56,5224321045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224321037,59,"1, 9, 22, 15, 32, 4, 18, 8, 24, 16, 17, 2, 12, 13, 19, 21, 25, 27, 29, 33",5224382271,197,12587,5224321041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224321033,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, 6bajck5osvj7trnwt2a5mc3dg, 2qedb8t85t1ieeed9613c9crt, 3ywgt5v070xudujs9f7cuqm7d, 3xz0h3d6r2qgmv9egms8yaz56, 8h3cyhuw5049gcxrsld3rw1ec, f58yr2jmfp8kpgprfxbokt1t6, 9fvf8z6p8ok0n5vu999ysfywa, dyzzo6n83rg4fpvmqqa69moes, 9ircna8pbskreztmy1wiqwx9m, b55jtl3ixolidn6cvc4t90efo, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, 5moycfv7blzfnjqiruao7dv6c, 1u46uhxe7outj2f8tsga2nx0p, cqgmx6eiriomccxfhykh31r10, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc, 4uuqid6t4nspn0wspyltz3bx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755253,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-20T16:32:33.827Z,2024-09-20T16:32:36Z,,,,5224390807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755249,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-20T16:32:33.827Z,2024-09-20T16:32:34Z,,,,5224390795,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755269,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.4,50.0,2024-09-20T16:32:33.828Z,2024-09-20T16:33:13Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,5224390933,212,4.9,5224390923,56,Center,5224390937,279,S,5224390927,140,54.5,5224390931,141,53.3,5224390935,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755271,4,1,1,0,2,b2vft81kyjurzbmekvgrqwr64,0,50.7,51.3,2024-09-20T16:32:36.364Z,2024-09-20T16:33:08Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,5224390949,141,45.8,5224390945,56,Center,5224390947,140,57.3,5224390951,212,7.9,5224390953,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755307,3,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,0,28.4,61.4,2024-09-20T16:32:38.825Z,2024-09-20T16:35:18Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5224391151,212,66.8,5224391143,157,,5224391153,213,0.12,5224391149,141,73.2,5224391145,56,Center,5224391155,1,,5224391147,140,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755347,6,1,1,0,10,b2vft81kyjurzbmekvgrqwr64,1,11.4,32.7,2024-09-20T16:32:44.165Z,2024-09-20T16:32:47Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5224391363,123,,5224391371,212,11.2,5224391367,140,19.9,5224391373,213,0.65,5224391365,56,Back,5224391369,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755399,7,1,1,0,13,b2vft81kyjurzbmekvgrqwr64,1,21.3,41.9,2024-09-20T16:32:47.452Z,2024-09-20T16:32:53Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,5224391581,56,Back,5224391589,213,1.57,5224391585,141,73.9,5224391583,140,21.3,5224391587,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755435,8,1,1,0,19,b2vft81kyjurzbmekvgrqwr64,0,26.9,82.9,2024-09-20T16:32:52.861Z,2024-09-20T16:32:57Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5224391771,141,69.9,5224391775,213,6.17,5224391767,56,Center,5224391773,212,78.8,5224391769,140,100.0,5224391765,155,,5224391777,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755555,4,5,1,0,23,b8oqgvx1ijeyn6y1cn6929ix4,1,-1.4,25.7,2024-09-20T16:32:57.227Z,2024-09-20T18:31:36Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,5224392355,233,9,5224392319,56,Back,5224392321,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755437,9,5,1,0,23,b2vft81kyjurzbmekvgrqwr64,0,101.4,74.3,2024-09-20T16:32:57.227Z,2024-09-20T18:31:36Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5224391787,56,Center,5224391789,346,,5224392389,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755603,5,1,1,0,35,b8oqgvx1ijeyn6y1cn6929ix4,1,5.0,62.0,2024-09-20T16:33:09.727Z,2024-09-20T16:33:14Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5224392565,213,4.54,5224392569,237,,5224392555,124,,5224392561,141,49.7,5224392559,140,3.6,5224392557,56,Back,5224392563,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755617,6,1,1,0,40,b8oqgvx1ijeyn6y1cn6929ix4,1,7.5,45.8,2024-09-20T16:33:14.424Z,2024-09-20T16:33:18Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,5224392647,141,51.0,5224392645,140,49.0,5224392649,212,43.7,5224392643,56,Back,5224392653,1,,5224392651,213,0.08,5224392641,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755625,7,44,1,0,43,b8oqgvx1ijeyn6y1cn6929ix4,1,56.8,52.4,2024-09-20T16:33:17.483Z,2024-09-20T16:33:21Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5224392679,286,,5224392673,56,Center,5224392739,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755615,10,44,1,0,43,b2vft81kyjurzbmekvgrqwr64,0,43.2,47.6,2024-09-20T16:33:17.484Z,2024-09-20T16:33:22Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,5224392639,285,,5224392773,233,7,5224392637,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755651,8,1,1,0,44,b8oqgvx1ijeyn6y1cn6929ix4,0,54.4,53.3,2024-09-20T16:33:17.943Z,2024-09-20T16:33:22Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5224392837,3,,5224392849,213,5.66,5224392845,141,37.7,5224392841,56,Center,5224392839,168,,5224392847,212,18.3,5224392843,140,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755653,11,1,1,0,47,b2vft81kyjurzbmekvgrqwr64,1,21.6,60.9,2024-09-20T16:33:21.822Z,2024-09-20T16:33:23Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5224392863,212,15.6,5224392857,56,Back,5224392859,140,21.5,5224392861,141,38.0,5224392865,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755673,13,1,1,0,49,b2vft81kyjurzbmekvgrqwr64,1,21.5,38.0,2024-09-20T16:33:23.044Z,2024-09-20T16:34:31Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5224392931,140,7.3,5224392929,56,Back,5224392935,212,15.7,5224392933,141,45.2,5224392937,213,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755707,14,1,1,0,50,b2vft81kyjurzbmekvgrqwr64,0,7.3,45.2,2024-09-20T16:33:24.692Z,2024-09-20T16:34:34Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5224393097,141,7.1,5224393103,1,,5224393093,56,Right,5224393101,213,5.93,5224393099,212,75.1,5224393095,140,74.4,5224393091,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755729,9,61,1,0,58,b8oqgvx1ijeyn6y1cn6929ix4,0,18.1,93.2,2024-09-20T16:33:31.880Z,2024-09-20T16:37:22Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5224393233,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755735,10,5,1,0,58,b8oqgvx1ijeyn6y1cn6929ix4,0,29.7,101.8,2024-09-20T16:33:32.639Z,2024-09-20T18:31:37Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5224393247,56,Back,5224393793,233,15,5224393249,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755841,15,5,1,0,58,b2vft81kyjurzbmekvgrqwr64,1,70.3,-1.8,2024-09-20T16:33:32.639Z,2024-09-20T18:31:37Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5224393777,347,,5224393775,56,Right,5224393781,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755873,16,1,1,1,9,b2vft81kyjurzbmekvgrqwr64,1,65.9,0.0,2024-09-20T16:33:43.484Z,2024-09-20T16:33:47Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,5224393895,140,78.2,5224393899,212,17.7,5224393901,213,0.75,5224393891,107,,5224393897,141,16.7,5224393893,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755917,17,1,1,1,13,b2vft81kyjurzbmekvgrqwr64,1,90.6,11.3,2024-09-20T16:33:46.955Z,2024-09-20T16:35:09Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,1.0,5224394061,213,1.46,5224394055,140,93.3,5224394059,212,26.8,5224397363,210,15,5224397539,2,,5224394057,141,50.5,5224397365,154,,5224394053,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755887,11,43,1,1,14,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-20T16:33:48.301Z,2024-09-20T16:38:35Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5224393937,56,Back,5224406651,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755923,18,15,1,1,15,b2vft81kyjurzbmekvgrqwr64,1,92.1,44.0,2024-09-20T16:33:49.700Z,2024-09-20T18:59:37Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,5224394087,22,,5224397219,82,,5225027689,80,,5224397215,20,,5224394091,56,Center,5224397415,231,46.8,5224397407,103,19,5224397399,55,17,5224397395,154,5224397393,29,5224397411,147,44.6,5224397409,146,94.0,5224397405,102,46.5,5224397413,230,98.6,5224397501,233,12,5225027691,328,5224394089,17,,,,,,,,
2722755915,12,10,1,1,15,b8oqgvx1ijeyn6y1cn6929ix4,1,6.6,53.3,2024-09-20T16:33:49.800Z,2024-09-20T16:35:05Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,5224397497,94,,5224394037,56,Back,5224397523,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755921,13,12,1,1,17,b8oqgvx1ijeyn6y1cn6929ix4,1,8.1,39.1,2024-09-20T16:33:51.544Z,2024-09-20T16:35:20Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,5224394081,141,43.7,5224394077,56,Back,5224394085,213,0.16,5224394101,15,,5224394083,212,19.6,5224394079,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755965,14,1,1,1,18,b8oqgvx1ijeyn6y1cn6929ix4,0,26.5,43.7,2024-09-20T16:33:52.224Z,2024-09-20T18:52:35Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,5224394323,140,26.8,5224394327,212,12.3,5224394321,56,Back,5224394331,1,,5224394325,141,25.6,5224394329,213,4.74,5224394319,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722755955,19,1,1,1,20,b2vft81kyjurzbmekvgrqwr64,0,58.1,75.0,2024-09-20T16:33:54.628Z,2024-09-20T16:33:55Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5224394267,141,77.8,5224394269,212,10.3,5224394265,140,67.7,5224394263,56,Center,5224394271,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756039,15,61,1,1,23,b8oqgvx1ijeyn6y1cn6929ix4,0,24.1,30.9,2024-09-20T16:33:57.695Z,2024-09-20T18:52:33Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,5224394695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756041,20,1,1,1,27,b2vft81kyjurzbmekvgrqwr64,1,60.1,77.5,2024-09-20T16:34:00.956Z,2024-09-20T16:34:03Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5224394711,141,71.8,5224394713,212,17.2,5224394715,213,3.37,5224394709,140,44.1,5224394707,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756053,21,1,1,1,29,b2vft81kyjurzbmekvgrqwr64,0,45.8,73.2,2024-09-20T16:34:02.988Z,2024-09-20T16:34:04Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,5224394797,212,12.5,5224394795,141,62.7,5224394799,213,3.75,5224394793,140,36.0,5224394791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756215,16,27,1,1,47,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-20T16:34:20.888Z,2024-09-20T18:06:02Z,,,,5224668253,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756331,22,27,1,1,47,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-20T16:34:20.888Z,2024-09-20T18:06:02Z,,,,5224668231,233,16,5224398233,53,8gdfn7j6xac9p4jh94hk40jdg,5224398231,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756799,17,28,1,3,4,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-20T16:35:38.564Z,2024-09-20T16:35:39Z,,,,5224398721,233,23,5224398685,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756795,23,28,1,3,4,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-20T16:35:38.564Z,2024-09-20T16:35:39Z,,,,5224398677,55,22,5224398703,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756911,25,1,1,3,17,b2vft81kyjurzbmekvgrqwr64,1,35.1,54.6,2024-09-20T16:35:51.579Z,2024-09-20T16:35:54Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,5224399241,140,8.4,5224399245,212,28.1,5224399243,141,51.3,5224399239,56,Back,5224399247,213,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722756957,26,1,1,3,20,b2vft81kyjurzbmekvgrqwr64,1,22.4,58.1,2024-09-20T16:35:53.834Z,2024-09-20T16:42:24Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5224399477,140,30.3,5224399479,141,83.2,5224399475,56,Back,5224399483,213,1.12,5224399481,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
