id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2721510223,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-16T15:47:28.401Z,2024-09-16T19:05:46Z,,,,,5217458441,59,"90, 14, 8, 13, 5, 18, 21, 7, 16, 97, 98, 2, 3, 17, 19, 20, 23, 11",5217458439,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5217458451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217458445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5217458437,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 3od63zrf6cay4d6ync9i2iuqc, ei3xmwfz8dah5e4lcbu4w98t1, 23sc7wc7my7wes6cuaxw1v0no, ayxi2m0g0pm6rl1ba5pto66z9, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 4bojyjyvkdgm1lss6n37q2t5g, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, c8btmt9x3j3yhm8sa4tgch34k, 4m3slt6iikaxklqd12i719rl5",5217458447,194,ei3xmwfz8dah5e4lcbu4w98t1,5217458449,197,11563,5217458443,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721510373,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-16T15:48:10.163Z,2024-09-16T16:27:54Z,,,,,5217489067,197,18945,5217459287,194,cflwegqpzch8y30pb3dhigqnd,5217459283,130,12,5217459289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217459281,59,"25, 7, 27, 13, 12, 18, 11, 10, 14, 23, 17, 1, 3, 4, 9, 16, 20, 26, 28, 22",5217459279,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5217459285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217459277,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 8gdfn7j6xac9p4jh94hk40jdg, 8gqvlydur0v4cpmz1ozqkejh0, b0yv1pcxifawqx6r1cfqq3otm, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 4qyfoq5fjiochtj89w426lm21, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, e0rgqk3gxzs005m9ok9hvp1ck, 4c9cr7oxmbe87rr1yb4dt1p1w, 8q8yol44e42o9hwttlopznvh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519015,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-16T16:33:00.043Z,2024-09-16T16:33:00Z,,,,,5217512069,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519019,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-16T16:33:00.043Z,2024-09-16T16:33:02Z,,,,,5217512083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519021,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,50.2,50.0,2024-09-16T16:33:00.428Z,2024-09-16T16:33:03Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5217512095,213,3.30,5217512091,141,46.6,5217512089,140,36.4,5217512093,212,14.7,5217512097,279,S,5217512087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519053,4,1,1,0,1,6wwwud48qahpwrfxs20334qk5,1,36.4,46.6,2024-09-16T16:33:01.948Z,2024-09-16T16:33:05Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5217512309,141,19.1,5217512311,212,19.2,5217512307,140,40.6,5217512305,56,Back,5217512313,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519065,5,1,1,0,5,6wwwud48qahpwrfxs20334qk5,1,40.8,12.9,2024-09-16T16:33:05.052Z,2024-09-16T16:33:06Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5217512357,140,32.8,5217512363,213,2.50,5217512359,141,22.2,5217512361,212,10.5,5217512355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519091,6,1,1,0,6,6wwwud48qahpwrfxs20334qk5,1,32.8,22.2,2024-09-16T16:33:06.828Z,2024-09-16T16:33:10Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5217512509,213,1.80,5217512503,140,27.1,5217512505,141,59.4,5217512501,56,Back,5217512507,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519115,7,1,1,0,10,6wwwud48qahpwrfxs20334qk5,0,27.1,60.9,2024-09-16T16:33:10.659Z,2024-09-16T16:33:15Z,ei3xmwfz8dah5e4lcbu4w98t1,J. Juelsgård,,,5217512677,213,6.21,5217512669,56,Center,5217512667,155,,5217512673,141,53.9,5217512679,1,,5217512671,140,86.5,5217512675,212,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721519141,4,1,1,0,17,b2vft81kyjurzbmekvgrqwr64,1,13.2,43.1,2024-09-16T16:33:17.438Z,2024-09-16T16:33:20Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5217512777,56,Back,5217512783,212,16.6,5217512785,213,4.90,5217512781,141,19.2,5217512779,140,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
