id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2714927767,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-30T16:41:13.509Z,2024-08-30T17:27:27Z,,,,,5181542461,130,4,5181542463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181542455,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, 3epwf56ozg73hueacwmckk0r9, 81w1fqi66z0ibawynhraybaxg, 4m3slt6iikaxklqd12i719rl5, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, eso2tbbpnxu9qvx6zy07m5jx0, dsfbfzwy3c06mu50ee89qrbsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9, dfxs5u8rdcxhzp33aks3acdn8",5181542457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181625033,197,21756,5181542465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181568543,194,8uhv14rin2znrr0wqgvcc2f2t,5181542459,59,"1, 25, 12, 18, 4, 24, 15, 17, 21, 11, 10, 6, 8, 9, 14, 19, 31, 34, 45, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714930685,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-30T16:48:14.029Z,2024-08-30T21:17:40Z,,,,,5181556275,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 6uwvbagahvoavs630k8uksxjp, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, 1basznqpux0hkrrd06eaxodsl, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, 2cup1vjw8n43kbzzxfflnmplg, 615e0bjcd0tyge047sy43y5sl, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 37rzipex1y0nhv8o2dr7h2bys, 630daj1ef34rczbhng0eoncvd, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 3njsc9nturnshsiofmiy19gr8",5181556283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181556281,130,8,5181556277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181556289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181556285,194,a30gduuv9d1s4pkthgu2jhyol,5181556279,59,"1, 15, 23, 11, 5, 2, 22, 18, 9, 14, 7, 10, 16, 17, 21, 25, 27, 28, 29, 32",5181556287,197,11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944475,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-30T17:30:25.339Z,2024-08-30T17:30:25Z,,,,,5181628777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944483,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-30T17:30:25.339Z,2024-08-30T17:30:27Z,,,,,5181628801,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944501,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.3,49.6,2024-08-30T17:30:25.340Z,2024-08-30T17:30:29Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5181628937,213,3.77,5181628935,212,30.2,5181628939,279,S,5181628929,56,Back,5181628931,140,27.1,5181628933,141,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944511,4,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,1,27.1,23.4,2024-08-30T17:30:29.008Z,2024-08-30T17:30:30Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5181628977,213,5.20,5181628973,141,11.4,5181628975,212,9.2,5181628971,140,31.2,5181628969,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944523,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,31.2,11.4,2024-08-30T17:30:30.519Z,2024-08-30T17:30:32Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181629051,141,23.7,5181629049,140,28.6,5181629055,213,1.89,5181629053,212,8.8,5181629047,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944533,6,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,28.6,23.7,2024-08-30T17:30:32.711Z,2024-08-30T17:30:35Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5181629143,140,34.4,5181629141,56,Back,5181629149,213,5.27,5181629145,141,9.2,5181629147,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944553,7,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,0,34.4,9.2,2024-08-30T17:30:35.288Z,2024-08-30T17:30:39Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181629273,213,0.29,5181629267,140,84.5,5181629271,212,54.9,5181629265,56,Center,5181629269,141,32.1,5181629275,1,,5181629263,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944653,4,1,1,0,20,a9vw7ikerpr4cuweeeka5aneg,1,14.2,59.1,2024-08-30T17:30:45.694Z,2024-08-30T17:30:54Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5181629785,140,13.5,5181629787,141,36.3,5181629783,56,Back,5181629781,123,,5181629791,213,4.67,5181629789,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944661,5,1,1,0,29,a9vw7ikerpr4cuweeeka5aneg,1,19.8,27.6,2024-08-30T17:30:54.564Z,2024-08-30T17:31:24Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5181629839,1,,5181629829,56,Right,5181630907,189,,5181629831,140,80.6,5181629833,141,9.7,5181629837,213,6.09,5181629827,157,,5181629835,212,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944671,6,1,1,0,30,a9vw7ikerpr4cuweeeka5aneg,1,82.2,9.5,2024-08-30T17:30:56.301Z,2024-08-30T17:30:58Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5181629883,141,20.4,5181629885,212,8.6,5181629881,140,78.0,5181629879,56,Right,5181629887,213,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944679,7,1,1,0,32,a9vw7ikerpr4cuweeeka5aneg,1,82.0,17.4,2024-08-30T17:30:58.214Z,2024-08-30T17:30:59Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5181629931,213,5.39,5181629925,140,85.4,5181629923,56,Right,5181629929,212,5.7,5181629927,141,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944693,8,1,1,0,34,a9vw7ikerpr4cuweeeka5aneg,1,85.6,10.4,2024-08-30T17:30:59.588Z,2024-08-30T17:31:01Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5181630005,56,Center,5181630007,140,70.6,5181630009,141,30.4,5181630013,213,2.43,5181630011,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944723,9,1,1,0,36,a9vw7ikerpr4cuweeeka5aneg,1,70.5,30.3,2024-08-30T17:31:01.525Z,2024-08-30T17:31:06Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5181630163,140,84.0,5181630161,56,Right,5181630169,213,5.48,5181630165,141,8.6,5181630167,212,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944727,10,1,1,0,40,a9vw7ikerpr4cuweeeka5aneg,1,78.3,7.1,2024-08-30T17:31:06.149Z,2024-08-30T17:31:07Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5181630187,140,76.0,5181630185,56,Right,5181630189,141,16.2,5181630191,212,6.6,5181630193,213,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944747,11,1,1,0,41,a9vw7ikerpr4cuweeeka5aneg,1,76.0,16.2,2024-08-30T17:31:07.085Z,2024-08-30T17:31:09Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5181630279,140,69.6,5181630277,56,Right,5181630281,141,10.3,5181630283,212,7.8,5181630285,213,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944761,12,1,1,0,44,a9vw7ikerpr4cuweeeka5aneg,1,75.6,22.7,2024-08-30T17:31:09.477Z,2024-08-30T17:31:12Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5181630387,56,Right,5181630391,141,17.7,5181630395,213,6.12,5181630393,212,21.0,5181630389,140,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944769,13,1,1,0,46,a9vw7ikerpr4cuweeeka5aneg,0,95.3,17.7,2024-08-30T17:31:11.916Z,2024-08-30T17:31:14Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5181630437,140,92.5,5181630435,56,Center,5181630439,141,33.3,5181630431,2,,5181630443,213,1.84,5181630441,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944781,8,12,1,0,48,8gxd9ry2580pu1b1dd5ny9ymy,1,8.4,65.4,2024-08-30T17:31:13.367Z,2024-08-30T17:31:15Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5181630499,213,2.51,5181630491,56,Back,5181630493,140,0.0,5181630497,212,12.1,5181630513,167,,5181630495,141,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944783,9,6,1,0,48,8gxd9ry2580pu1b1dd5ny9ymy,0,2.4,72.4,2024-08-30T17:31:14.283Z,2024-08-30T17:31:20Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5181630635,233,14,5181630559,73,,5181630557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944793,14,6,1,0,48,a9vw7ikerpr4cuweeeka5aneg,1,97.6,27.6,2024-08-30T17:31:14.283Z,2024-08-30T19:59:37Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5181630613,233,9,5181630607,75,,5181630605,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944969,15,1,1,1,21,a9vw7ikerpr4cuweeeka5aneg,0,99.5,0.5,2024-08-30T17:31:46.846Z,2024-08-30T17:31:48Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5181631603,224,,5181631601,155,,5181631599,6,,5181631609,141,56.7,5181631613,213,1.69,5181631611,212,38.5,5181631605,56,Center,5181631597,2,,5181631615,1,5181631607,140,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944989,16,1,1,1,26,a9vw7ikerpr4cuweeeka5aneg,0,73.5,52.1,2024-08-30T17:31:51.469Z,2024-08-30T17:31:52Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5181631765,141,47.0,5181631763,140,77.4,5181631761,56,Center,5181631767,212,5.4,5181631769,213,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944993,10,12,1,1,26,8gxd9ry2580pu1b1dd5ny9ymy,1,9.5,41.3,2024-08-30T17:31:51.984Z,2024-08-30T20:05:27Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5181631777,212,12.3,5181631793,15,,5181631775,141,46.3,5181631779,213,0.28,5181631771,56,Back,5181631773,140,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945011,12,1,1,1,28,8gxd9ry2580pu1b1dd5ny9ymy,0,21.5,45.8,2024-08-30T17:31:54.256Z,2024-08-30T17:31:55Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5181631839,141,42.4,5181631837,140,22.9,5181631843,213,5.28,5181631841,212,2.7,5181631835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945007,17,61,1,1,29,a9vw7ikerpr4cuweeeka5aneg,1,75.7,47.0,2024-08-30T17:31:54.635Z,2024-08-30T17:31:54Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5181631823,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945037,18,1,1,1,31,a9vw7ikerpr4cuweeeka5aneg,0,74.1,56.9,2024-08-30T17:31:57.333Z,2024-08-30T17:31:59Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5181631961,212,32.3,5181631955,56,Left,5181631969,1,,5181631957,140,83.8,5181631965,213,1.25,5181631953,155,,5181631959,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945057,13,5,1,1,33,8gxd9ry2580pu1b1dd5ny9ymy,1,16.6,-1.8,2024-08-30T17:31:58.924Z,2024-08-30T20:00:37Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181632123,233,19,5181632101,56,Back,5181632103,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945043,19,5,1,1,33,a9vw7ikerpr4cuweeeka5aneg,0,83.4,101.8,2024-08-30T17:31:58.924Z,2024-08-30T20:00:38Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5181631987,56,Left,5181632129,233,13,5181631989,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
