id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/13/value
2802144725,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-17T12:01:31.127Z,2025-04-17T16:33:00Z,,,,5657719753,197,16110,5657711101,194,5z7y55t2o577r8ki3i5855as,5657646509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657646517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657646511,59,"1, 3, 27, 21, 7, 25, 6, 34, 8, 9, 17, 2, 4, 10, 11, 12, 16, 22, 23, 26",5657646515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657646507,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, khqldwfq14b7giakss24l9t5, 5z7y55t2o577r8ki3i5855as, 559w0q3q2smb3aeotyi724s9g, 2tcdx5rp7vujnlid4oqqxdogk, 7l7f98nn8gohmdacsdb2labkk, 1n4eldqa7h9jvcx1693zqu06i, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 5i6n6yne6fh410vk7p7kkokmi, bop31qof3lon7u6rvmb68ktzp, akiwokthm1z7rbifshqhs24t1, 5dlh0fa9yo6z283w9p58xmnoq, f0nicq49lzng7vjxm5gcpij8, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 74gioldvq6q6xgb3q7k1bv7dg",5657646513,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2802145837,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-17T12:07:17.821Z,2025-04-17T15:59:44Z,,,,5657652959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657723995,197,19798,5657652967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657652961,59,"1, 2, 3, 16, 28, 20, 7, 6, 15, 30, 18, 4, 5, 10, 11, 13, 17, 21, 24, 27",5657652965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657652963,130,8,5657652957,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, dja68kdmhtsm9x5zqzgtpqas4, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 6otr0cifkk9jbmxc2ew2spka, e8vt8711wb40afht2v13omket, x3ad9hfxts6jpfugy3kvq9d5, e3n8xatusmgu7ttqpfdjanp3p, 86mx27krl6c613x6e3t9g3cic, 9213debwtuph6cjborx73sx78, 2uellcocrvapu7o70g5zdcmad, kqj7nh6pqmqbt0abyyu0fcpg, 8i0o1b8rjsab9se3v6vteqmfo, b2gkyjq8emj9pywryc3rycogl, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, 4a0jmv6qmwn01iuqp1mhnyzth",5657913561,194,6dki65mdd3letfjjj51i0w3c9,,,,,,,,,,,,,,,,,,,,,,,,,,
2802156991,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-17T13:00:15.320Z,2025-04-18T11:57:36Z,,,,5657718515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802156993,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-17T13:00:15.320Z,2025-04-17T13:00:17Z,,,,5657718523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802156995,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2025-04-17T13:00:15.321Z,2025-04-17T13:01:10Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,5657718535,212,21.8,5657718537,213,2.73,5657718529,56,Back,5657718531,140,31.0,5657718533,141,62.9,5657718539,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802156999,4,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,1,31.0,62.7,2025-04-17T13:00:18.592Z,2025-04-17T13:00:21Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5657718563,56,Back,5657718565,140,37.3,5657718567,141,25.0,5657718571,213,4.96,5657718569,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157005,5,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,37.3,25.0,2025-04-17T13:00:21.137Z,2025-04-17T13:00:26Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5657718601,56,Center,5657718607,212,46.1,5657718605,141,27.1,5657718611,1,,5657718603,140,81.2,5657718599,157,,5657718609,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157003,3,44,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,23.2,75.3,2025-04-17T13:00:24.480Z,2025-04-17T15:14:02Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657718645,233,6,5657718595,56,Back,5657718597,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157011,6,44,1,0,9,ajtb177oqwawkdwbqhldmq6mx,0,76.8,24.7,2025-04-17T13:00:24.481Z,2025-04-18T12:23:06Z,6otr0cifkk9jbmxc2ew2spka,Ahmed Daghim,,5657718635,56,Center,5657718637,286,,5657718649,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157007,4,12,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,29.0,78.8,2025-04-17T13:00:24.798Z,2025-04-17T13:00:26Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657718619,141,70.8,5657718617,140,41.2,5657718615,56,Back,5657718621,212,13.9,5657718639,15,,5657718623,213,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
