id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/13/value,qualifier/12/value
2804378297,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-21T10:19:10.757Z,2025-04-21T10:59:53Z,,,,,5669797003,130,4,5669797001,59,"1, 2, 3, 7, 4, 25, 14, 18, 17, 10, 31, 11, 13, 15, 21, 23, 26, 29, 32, 40",5669796997,30,"2g019dl7zougqjo7usig0rf11, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, 2uw6m0yavlvkkiob73hoywb56, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 5vwzliaibdlhfm38g8v5z0r8p, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, 1vfh2k9yurk6t5s1vmgmlmfpw, 3ukx6q0q54uzz78gl7k10o2dw",5669797009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669846083,197,24396,5669796999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669797007,194,wha77a8wm7jyn32743y0w79x,5669797005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804378493,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-21T10:20:07.035Z,2025-04-21T17:07:38Z,,,,,5669798109,59,"1, 30, 23, 2, 25, 28, 6, 8, 24, 22, 14, 4, 9, 11, 16, 18, 19, 26, 27, 29",5669798115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669843373,197,11501,5669843371,194,a30gduuv9d1s4pkthgu2jhyol,5669798105,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, 3pk6hii2s8tbv2zux8mvbapec, 4oxf446ya7jwulq6hxlp8r36d, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, dncrhma6gwcn6pxiu7hfc6qz8, 9r07ooissj5mz15g87x5rmbx1, aajgld24isoem1ycoysyxxp1w, 9tt9eo9bsff7dp7aqjal1obo4, 6uwvbagahvoavs630k8uksxjp, 1cumsropo1r0msfzxxteml1w, 1basznqpux0hkrrd06eaxodsl, 7ymn0ytcqi6l43nqraxt9s1zo, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8",5669798111,130,13,5669798113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669798107,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387929,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-21T11:00:21.529Z,2025-04-21T11:00:22Z,,,,,5669846779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387925,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-21T11:00:21.529Z,2025-04-21T11:00:21Z,,,,,5669846761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387953,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-04-21T11:00:21.530Z,2025-04-21T11:00:27Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5669846871,279,S,5669846869,213,3.16,5669846861,56,Back,5669846863,140,32.4,5669846865,141,49.6,5669846867,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387961,4,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,30.2,55.2,2025-04-21T11:00:27.162Z,2025-04-21T11:00:28Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5669846895,212,53.9,5669846887,157,,5669846897,213,0.63,5669846899,1,,5669846893,141,100.0,5669846891,140,71.7,5669846889,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804388017,3,5,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,28.2,-1.5,2025-04-21T11:00:27.175Z,2025-04-21T13:25:46Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5669847111,233,5,5669847099,56,Back,5669847101,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387967,5,5,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,71.8,101.5,2025-04-21T11:00:27.175Z,2025-04-21T13:25:47Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5669846919,347,,5669847139,233,3,5669846917,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804388031,4,1,1,0,15,8gxd9ry2580pu1b1dd5ny9ymy,1,36.5,0.0,2025-04-21T11:00:37.181Z,2025-04-21T11:00:39Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5669847167,213,1.63,5669847157,107,,5669847165,212,14.9,5669847159,56,Back,5669847161,140,35.6,5669847163,141,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804388037,5,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,0,35.6,20.7,2025-04-21T11:00:39.038Z,2025-04-21T11:00:39Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5669847183,155,,5669847191,212,9.3,5669847189,141,13.8,5669847195,213,5.75,5669847187,140,43.2,5669847185,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
