id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/15/value
2797124845,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-06T12:14:05.271Z,2025-04-06T15:39:09Z,,,,,5629889197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629889191,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629889195,130,8,5629889193,59,"1, 25, 12, 20, 24, 34, 15, 18, 11, 22, 10, 3, 9, 14, 16, 17, 21, 23, 27, 33",5629889201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630133885,197,6601,5629889199,194,8uhv14rin2znrr0wqgvcc2f2t,5629889189,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 4lxxyqy78jkglhv2w6crzcnsa, 4i0jiisff5k1efcgf27skpqfo, cl4xl80n4gew1ox03r3ooshrd, 5w0giylttgiapseaw6qky0mxg, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, 6qko3f8w2ap9ynbuq2g55i5n8, a48bpdpt0siemxqtr3rubwbu, eso2tbbpnxu9qvx6zy07m5jx0, 51ymbnikkta369rn3exb1g7bo, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, d9hh01mit4geyadol3gmzco9, 7hso2bszmf4qal560jhrg2904, 61vr9xr91fr4g6ayzga5vn9w5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797126253,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-06T12:15:26.831Z,2025-04-06T19:26:36Z,,,,,5629922895,194,a30gduuv9d1s4pkthgu2jhyol,5629896949,59,"1, 30, 23, 6, 25, 2, 16, 8, 24, 10, 22, 4, 7, 9, 15, 18, 27, 28, 29, 14",5629896953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629896951,130,8,5629896955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629896947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630131639,197,11501,5629896945,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, 615e0bjcd0tyge047sy43y5sl, dncrhma6gwcn6pxiu7hfc6qz8, aajgld24isoem1ycoysyxxp1w, 2cup1vjw8n43kbzzxfflnmplg, 9tt9eo9bsff7dp7aqjal1obo4, bfvdr7ckiersz26ya2kq9f1g4, 1basznqpux0hkrrd06eaxodsl, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 9r07ooissj5mz15g87x5rmbx1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173703,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-06T13:03:27.825Z,2025-04-06T13:03:28Z,,,,,5630151741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173717,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-06T13:03:27.825Z,2025-04-06T13:03:30Z,,,,,5630151805,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173769,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,49.4,49.9,2025-04-06T13:03:27.826Z,2025-04-06T13:03:31Z,615e0bjcd0tyge047sy43y5sl,M. Spelmann,,,5630152069,278,,5630152059,140,46.5,5630152061,141,38.8,5630152067,279,S,5630152065,213,4.33,5630152063,212,8.1,5630152057,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173771,4,1,1,0,1,8gxd9ry2580pu1b1dd5ny9ymy,1,46.5,38.8,2025-04-06T13:03:29.745Z,2025-04-06T13:03:31Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5630152099,213,4.26,5630152093,140,39.6,5630152091,56,Back,5630152097,212,16.7,5630152095,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173835,5,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,1,39.6,16.7,2025-04-06T13:03:31.025Z,2025-04-06T13:03:35Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5630152411,141,32.2,5630152415,213,2.10,5630152407,56,Back,5630152413,212,12.2,5630152409,140,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797173933,6,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,1,33.1,26.3,2025-04-06T13:03:37.026Z,2025-04-06T13:03:42Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5630152917,155,,5630152927,213,0.58,5630152925,212,58.3,5630152921,140,79.6,5630152923,141,73.2,5630152929,1,,5630152919,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797174029,7,1,1,0,13,8gxd9ry2580pu1b1dd5ny9ymy,1,79.0,87.0,2025-04-06T13:03:41.817Z,2025-04-06T13:03:45Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5630153325,213,3.35,5630153321,141,79.8,5630153323,212,23.9,5630153317,56,Left,5630153319,140,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797174069,8,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,1,57.2,78.9,2025-04-06T13:03:45.433Z,2025-04-06T13:03:48Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5630153523,155,,5630153525,56,Center,5630153527,140,74.1,5630153533,213,5.50,5630153529,141,52.7,5630153531,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797174087,9,61,1,0,18,8gxd9ry2580pu1b1dd5ny9ymy,0,72.6,52.7,2025-04-06T13:03:46.593Z,2025-04-06T15:18:28Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5630153639,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797174101,10,43,1,0,21,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-06T13:03:49.737Z,2025-04-06T13:04:00Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5630154551,144,61,5630153691,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797174093,4,50,1,0,22,a9vw7ikerpr4cuweeeka5aneg,1,29.0,38.6,2025-04-06T13:03:49.892Z,2025-04-06T13:03:54Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5630153657,285,,5630153917,233,11,5630153655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
