id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2703604993,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-07-27T10:12:15.085Z,2024-07-27T13:38:55Z,,,,,5119007737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119007731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5119007733,59,"13, 2, 3, 16, 5, 4, 6, 8, 11, 18, 22, 1, 9, 10, 14, 21, 23, 26, 28, 29",5119056833,194,ezbixgm2km8iapnsl57bn4wkp,5119007739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119007735,130,4,5119007729,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, dja68kdmhtsm9x5zqzgtpqas4, 2uellcocrvapu7o70g5zdcmad, a0i74nqik3lbi02ngno0m0ys4, 5u9zrgsm6wycfcbk04m64wd1w, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 86mx27krl6c613x6e3t9g3cic, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, zpl7lyln792rt0b2oedamvbo, as7qhgi67gngq0nb3zmwg8jro, e8vt8711wb40afht2v13omket, ab3nxxoj7bxlnhot9htoex1xw, 38shfw53eg5qtvem3d3ou04r8, 8xfqengyrwgxhhi86ok88vf2s, 8xe0fufxfgf5cuwgysz3r2j85, dme4jqo3w3abg6z0vt1gnkpp0",5119240829,197,19798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703606555,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-07-27T10:19:53.074Z,2024-07-27T10:57:38Z,,,,,5119017049,130,8,5119017053,194,bwozpgcm48s08t1glxfgjajmd,5119017051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5119017045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5119056797,197,17324,5119017055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119017047,59,"1, 2, 3, 14, 19, 4, 18, 6, 11, 7, 10, 12, 15, 17, 20, 24, 25, 30, 8",5119017043,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 4rhxehi019n7z1z1m7a39w1sk, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, 1el3mu4rgcx8tebrawgfvynf8, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 35og29e19w0ykeqcvudhpgr8, m031ocyfq011rual3olkegdm, 6bkuzenpse2kzirt9q7qeisd0, ass2un9by50uzrp6i9njn7nkk, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, 4ieyvppe24gqdkm2xv2xlaluc, 4lac0f1ev5usxpka7gaev3hii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614685,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-07-27T11:01:01.159Z,2024-07-28T11:44:36Z,,,,,5119058345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614687,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-07-27T11:01:01.159Z,2024-07-27T11:01:03Z,,,,,5119058347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614697,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2024-07-27T11:01:01.160Z,2024-07-27T13:43:42Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5119058375,56,Back,5119058383,213,2.91,5119058379,141,57.0,5119058381,212,20.9,5119058385,279,S,5119058377,140,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614703,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,1,30.9,57.3,2024-07-27T11:01:04.513Z,2024-07-27T11:01:10Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5119058403,56,Back,5119058407,141,23.7,5119058405,140,34.2,5119058411,213,4.86,5119058409,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614709,5,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,0,34.5,22.2,2024-07-27T11:01:10.673Z,2024-07-27T11:01:11Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5119058445,1,,5119058435,56,Center,5119058439,141,22.7,5119058433,155,,5119058443,213,0.01,5119058437,140,72.9,5119058441,212,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614711,3,12,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,17.0,88.4,2024-07-27T11:01:11.237Z,2024-07-28T15:59:06Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5119058455,212,19.3,5122646793,15,,5119058453,141,80.8,5119058449,56,Back,5119058457,213,6.01,5119058451,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614717,6,44,1,0,12,bd4qakf7j0wwie8wke9km7uj8,1,73.2,23.6,2024-07-27T11:01:13.569Z,2024-07-27T11:01:15Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5119058469,56,Center,5119058485,233,4,5119058471,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703614723,4,44,1,0,12,ajtb177oqwawkdwbqhldmq6mx,0,26.8,76.4,2024-07-27T11:01:13.570Z,2024-07-27T11:53:25Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5119058501,233,6,5119058477,56,Back,5119058479,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
