id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2707266433,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-10T13:57:30.924Z,2024-08-10T14:58:05Z,,,,,5139246445,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, 7l7f98nn8gohmdacsdb2labkk, 5z7y55t2o577r8ki3i5855as, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, 8gqvlydur0v4cpmz1ozqkejh0, 3rok7i8nrt4yzx2melj4qiuqc, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1",5139246457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5139513443,197,16344,5139246453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5139246451,130,8,5139246449,59,"1, 3, 5, 34, 7, 2, 8, 6, 9, 10, 17, 4, 11, 14, 18, 19, 20, 22, 26, 27",5139246447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5139246455,194,5z7y55t2o577r8ki3i5855as,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707266659,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-10T13:58:53.377Z,2024-08-10T14:59:01Z,,,,,5139247553,59,"1, 20, 2, 8, 4, 29, 6, 18, 17, 11, 30, 5, 10, 14, 15, 19, 26, 28, 40, 32",5139513875,197,4604,5139247557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5139247551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5139247549,30,"2g019dl7zougqjo7usig0rf11, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 1b32j0lqi7ggcabdra4tygxzo, 80s55a7uw8kypoikefwhtdm5m, eq15hjcxpdrl5vca2q7s4tr3e, 5wmik73cqursg7sv3w14ue5pm, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, rbk7g9mpasw3edltliscyzv8, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok, 3vbc9fkmc8rypz1l5n2ln8efo",5139247555,130,4,5139514937,194,e9o7q10wnhex4e8eo47mobbvt,5139247559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316005,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-10T15:00:59.071Z,2024-08-10T15:01:00Z,,,,,5139517995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707315995,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-10T15:00:59.071Z,2024-08-10T15:00:59Z,,,,,5139517947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316039,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.0,50.0,2024-08-10T15:00:59.072Z,2024-08-10T15:01:03Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5139518163,212,24.5,5139518157,140,26.7,5139518153,56,Back,5139518167,279,S,5139518165,213,3.16,5139518159,141,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316057,4,1,1,0,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,26.7,49.3,2024-08-10T15:01:03.039Z,2024-08-10T15:01:04Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5139518243,141,70.5,5139518251,213,1.48,5139518249,212,14.5,5139518239,140,28.0,5139518235,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316079,5,1,1,0,4,aqtkb4mgrz8c6iqfufj6qjbv9,1,28.0,70.5,2024-08-10T15:01:03.991Z,2024-08-10T15:01:07Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5139518405,141,94.4,5139518401,56,Back,5139518409,213,1.06,5139518403,140,36.6,5139518407,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316113,6,1,1,0,7,aqtkb4mgrz8c6iqfufj6qjbv9,0,39.5,95.1,2024-08-10T15:01:06.919Z,2024-08-10T15:01:11Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5139518561,141,80.2,5139518559,140,75.3,5139518565,213,6.02,5139518555,155,,5139518563,212,38.9,5139518557,56,Left,5139518567,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316103,3,44,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,1,27.3,22.3,2024-08-10T15:01:08.943Z,2024-08-10T17:02:03Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5139518515,56,Back,5139518517,285,,5139518675,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707316117,7,44,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,0,72.7,77.7,2024-08-10T15:01:08.944Z,2024-08-10T17:02:03Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5139518713,233,3,5139518577,56,Center,5139518579,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
