id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2743519541,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-03T12:03:44.457Z,2024-11-03T12:03:44Z,,,,,5337775507,59,"1, 2, 5, 10, 25, 15, 19, 17, 14, 7, 12, 3, 4, 6, 9, 11, 16, 21, 27, 39",5337775515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337775503,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5337775521,197,4652,5337775517,194,eas91my7qw7etoha5plxfk9yi,5337775511,130,4,5337775525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337775499,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, bmkwmf5f2ssnw2cq7uga7yd5g, 7wo1hk736v1xhovvu2t2trw89, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, auv81snxkpk2ybxzi8giy5azt, 9n2nm6smh0txgv2482qbwhixg, 4jve632xnmqujh4ioaxpaovai, 6hmsrr08cllpl4iumu92zskbt, ate1ymumg2iwzn8uyyf3ts222, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 1se7wkenvs4elrapvdw9mdnje, 418pvntm5e5kcoeyjjnzm7hg4, 46nx0rm8sod6bbo4a3d7g6jv8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743525045,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-03T12:10:39.818Z,2024-11-03T21:32:07Z,,,,,5337804895,130,10,5337804887,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5337804901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337804899,194,cflwegqpzch8y30pb3dhigqnd,5337804897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337804885,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, 9xub4z9b3bog8wqhn5yfihecp, 8gdfn7j6xac9p4jh94hk40jdg, 4qyfoq5fjiochtj89w426lm21, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 8gqvlydur0v4cpmz1ozqkejh0, bpoqmt2dwwsm57vdfrm9stvro, ebddkdhm6fhar2ir2h7azhslw, beu3ypladd5dexnm9x946kjkk",5337984927,197,18945,5337804891,59,"25, 7, 27, 13, 12, 18, 11, 8, 14, 9, 10, 1, 16, 17, 20, 22, 23, 29, 37, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572481,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-03T13:01:55.263Z,2024-11-03T13:01:57Z,,,,,5338056587,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572471,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-03T13:01:55.263Z,2024-11-03T13:01:55Z,,,,,5338056533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572489,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,50.2,2024-11-03T13:01:55.487Z,2024-11-03T13:01:59Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338056661,279,S,5338056655,212,28.7,5338056647,140,23.3,5338056643,56,Back,5338056659,213,2.95,5338056651,141,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572587,4,1,1,0,4,f1h34qp5zbfl489q8vnkhiq9s,1,23.1,62.0,2024-11-03T13:01:59.456Z,2024-11-03T13:02:02Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5338057179,155,,5338057189,212,59.0,5338057183,140,74.6,5338057181,56,Center,5338057185,141,27.3,5338057191,213,5.87,5338057193,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572613,5,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,74.6,27.3,2024-11-03T13:02:02.431Z,2024-11-03T13:02:03Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5338057295,168,,5338057305,213,5.96,5338057299,140,90.2,5338057297,56,Right,5338057293,3,,5338057301,141,19.2,5338057303,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572707,3,1,1,0,13,b2vft81kyjurzbmekvgrqwr64,0,10.6,83.2,2024-11-03T13:02:08.344Z,2024-11-03T13:04:06Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5338057769,141,83.2,5338057771,212,16.3,5338057773,213,0.00,5338057767,140,26.1,5338057763,157,,5338057765,56,Back,5338057775,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572835,6,1,1,0,17,f1h34qp5zbfl489q8vnkhiq9s,0,91.6,20.1,2024-11-03T13:02:13.094Z,2024-11-03T15:28:49Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5338058403,212,22.8,5338058401,141,53.6,5338058405,213,1.63,5338058391,2,,5338058397,56,Center,5338058399,140,90.3,5338058395,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572871,4,12,1,0,19,b2vft81kyjurzbmekvgrqwr64,1,11.2,48.1,2024-11-03T13:02:15.072Z,2024-11-03T13:02:18Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338058619,15,,5338058605,213,6.27,5338058603,212,26.5,5338058601,141,47.5,5338058597,56,Back,5338058599,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
