id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2702459853,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-07-21T13:27:05.208Z,2024-07-21T14:14:13Z,,,,,5112583287,59,"1, 18, 5, 12, 21, 7, 8, 6, 11, 10, 17, 2, 3, 4, 9, 14, 19, 27, 34, 26",5112583283,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, elsygne5tjybbxrqgehtovnro, 5dlh0fa9yo6z283w9p58xmnoq, khqldwfq14b7giakss24l9t5, 5z7y55t2o577r8ki3i5855as, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 8gqvlydur0v4cpmz1ozqkejh0, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 81gka3mi69fh8gyehyy8xo9as, 5i6n6yne6fh410vk7p7kkokmi, 1fjkjzsei9slx2t4zhsqdkve1, 3rok7i8nrt4yzx2melj4qiuqc, 1hlx5mvl8th7y82gocnuxacd0, 85a9bmnu6fqvhlff28qm0e0a1, 7l7f98nn8gohmdacsdb2labkk, 55qsxtqivxajkxmpdeyccus5w",5112583291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112649191,197,16110,5112583285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5112583293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112649189,194,5z7y55t2o577r8ki3i5855as,5112583289,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702460965,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-07-21T13:29:17.358Z,2024-07-23T18:29:43Z,,,,,5112589625,30,"dxv40hh07gxq4hn0i6dwb2l4a, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, lu9bber07etravimh00k745x, cflwegqpzch8y30pb3dhigqnd, 1f510mbuc4i1mmshqlgim5u6s, bp232fgjrfyok2471ec7u1tcl, 9b89pmcjk6re94bjp0ixeatjo, 8gdfn7j6xac9p4jh94hk40jdg, 1xcf8y3egy8j0g2c6xkcx6o6h, e0rgqk3gxzs005m9ok9hvp1ck, ayhdul772mr22qoly04psb3f8, k3qdvvg6cmatp55ivsa9714a, 6bv0j0ezhh9u5u5hqz64p790q, 4dmz3u7j1eoz4ofr1o8tbxedw, xd4gm9uiq807dri1gs3ltclw, 8q8yol44e42o9hwttlopznvh0, 6xhxqcmi0g6h61y2pl9v89xjo, 5jyv1dctfxa6335l1mlifwavo",5112589627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5112589635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112589629,59,"1, 7, 27, 13, 3, 18, 24, 11, 9, 14, 6, 26, 4, 8, 12, 16, 50, 22, 30, 40",5112648437,197,18945,5112649391,194,lu9bber07etravimh00k745x,5112589631,130,12,5112589633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471711,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-07-21T14:02:56.609Z,2024-07-21T14:02:56Z,,,,,5112652219,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471717,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-07-21T14:02:56.609Z,2024-07-23T12:33:37Z,,,,,5112652237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471741,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.0,50.0,2024-07-21T14:02:56.727Z,2024-07-21T14:03:00Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5112652353,56,Back,5112652357,141,51.1,5112652363,279,S,5112652361,213,3.09,5112652359,212,14.0,5112652355,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471757,4,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,1,37.3,48.2,2024-07-21T14:03:00.452Z,2024-07-21T14:54:19Z,1xcf8y3egy8j0g2c6xkcx6o6h,F. Mortensen,,,5112652453,212,9.8,5112652451,141,34.1,5112652457,213,4.51,5112652447,56,Back,5112652449,140,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471773,5,1,1,0,5,b2vft81kyjurzbmekvgrqwr64,1,35.4,34.1,2024-07-21T14:03:02.260Z,2024-07-21T14:03:23Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5112652543,213,1.91,5112652539,141,48.6,5112652535,56,Back,5112652541,212,10.5,5112652537,140,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471797,6,1,1,0,8,b2vft81kyjurzbmekvgrqwr64,1,32.1,49.9,2024-07-21T14:03:04.964Z,2024-07-21T14:03:08Z,lu9bber07etravimh00k745x,J. Bøge,,,5112652671,213,1.39,5112652665,140,34.8,5112652669,212,15.4,5112652663,56,Back,5112652667,141,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471827,7,1,1,0,12,b2vft81kyjurzbmekvgrqwr64,1,34.8,73.4,2024-07-21T14:03:08.820Z,2024-07-21T14:03:15Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5112652867,56,Back,5112652875,212,29.6,5112652871,141,46.9,5112652879,213,3.80,5112652869,140,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471835,8,1,1,0,18,b2vft81kyjurzbmekvgrqwr64,0,15.7,34.7,2024-07-21T14:03:15.492Z,2024-07-21T14:03:17Z,dxv40hh07gxq4hn0i6dwb2l4a,A. Søndergaard,,,5112652913,141,0.0,5112652911,140,53.5,5112652917,213,5.73,5112652907,155,,5112652915,212,46.6,5112652909,56,Right,5112652919,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
