id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2711514729,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-21T15:34:24.638Z,2024-08-21T20:08:00Z,,,,,5162741509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5162741507,130,4,5162741505,59,"16, 20, 2, 8, 4, 29, 6, 18, 17, 10, 30, 1, 5, 7, 11, 14, 19, 26, 28, 40",5162741501,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 1b32j0lqi7ggcabdra4tygxzo, 2uw6m0yavlvkkiob73hoywb56, rbk7g9mpasw3edltliscyzv8, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5162741513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5162741511,194,4clmd8g8jogdfvauhijd7n55h,5162758457,197,4604,5162741503,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711515183,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-21T15:40:11.843Z,2024-08-21T19:19:41Z,,,,,5162744109,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5162744107,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 3od63zrf6cay4d6ync9i2iuqc, b1kyjkhaaiw32cb4bubbpm7tg, 23sc7wc7my7wes6cuaxw1v0no, ayxi2m0g0pm6rl1ba5pto66z9, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, 6yev7nszmpylpqncom2gdkul1, 6lb4k3g75nzgi8bp1y1mzxkru, 4bojyjyvkdgm1lss6n37q2t5g, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, dmfdjb50l4kw3l634nt7g0xlg, 7rt4wpc0qphwnvhn8jeazesfe",5162758715,197,11563,5162744113,130,4,5162744111,59,"90, 14, 8, 13, 5, 4, 21, 7, 16, 97, 98, 2, 3, 9, 17, 18, 19, 20, 22, 6",5162744115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5162744119,194,3od63zrf6cay4d6ync9i2iuqc,5162744123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517883,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-21T16:31:36.040Z,2024-08-21T16:31:36Z,,,,,5162759079,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517885,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-21T16:31:36.040Z,2024-08-21T16:31:37Z,,,,,5162759081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517887,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-08-21T16:31:36.041Z,2024-08-21T16:33:04Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5162759103,212,26.4,5162759099,140,25.0,5162759101,141,45.8,5162759105,213,3.25,5162759097,56,Back,5162759107,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517889,4,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,1,25.0,45.8,2024-08-21T16:31:39.017Z,2024-08-21T16:31:41Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5162759113,56,Center,5162759119,212,48.0,5162759111,157,,5162759115,140,68.5,5162759121,213,0.31,5162759123,1,,5162759117,141,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517891,5,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,68.5,67.6,2024-08-21T16:31:41.808Z,2024-08-21T17:30:58Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5162759133,140,70.0,5162759135,141,60.9,5162759131,56,Center,5162759139,213,5.05,5162759137,212,4.8,5162759129,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517897,4,1,1,0,8,6wwwud48qahpwrfxs20334qk5,0,26.5,23.9,2024-08-21T16:31:44.672Z,2024-08-21T16:31:46Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759197,141,15.3,5162759201,213,6.11,5162759203,1,,5162759199,212,34.3,5162759195,140,58.7,5162759191,155,,5162759193,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517901,6,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,0,30.3,76.6,2024-08-21T16:31:47.432Z,2024-08-21T16:31:48Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5162759233,212,7.4,5162759235,213,6.00,5162759231,141,73.5,5162759227,56,Back,5162759225,3,,5162759229,140,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517955,12,45,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,0,28.6,76.3,2024-08-21T16:31:48.481Z,2024-08-21T17:26:04Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5162761035,56,Back,5162761037,285,,5162761137,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518003,15,3,1,0,12,6wwwud48qahpwrfxs20334qk5,1,71.4,23.7,2024-08-21T16:31:48.481Z,2024-08-21T17:26:04Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162760867,286,,5162760865,56,Center,5162761107,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517917,5,1,1,0,13,6wwwud48qahpwrfxs20334qk5,1,57.9,12.9,2024-08-21T16:31:49.833Z,2024-08-21T16:31:52Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162759297,141,20.4,5162759301,213,0.55,5162759293,56,Right,5162759299,212,9.7,5162759295,140,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517919,6,61,1,0,16,6wwwud48qahpwrfxs20334qk5,0,70.0,18.3,2024-08-21T16:31:52.417Z,2024-08-21T17:27:58Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5162759307,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517925,8,1,1,0,18,dbl7ir1qugqz8nvp1vzn8im50,1,21.9,69.6,2024-08-21T16:31:54.680Z,2024-08-21T16:31:56Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5162759333,213,3.85,5162759331,212,24.0,5162759327,140,4.5,5162759325,56,Back,5162759329,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517929,9,1,1,0,20,dbl7ir1qugqz8nvp1vzn8im50,0,4.5,46.7,2024-08-21T16:31:56.424Z,2024-08-21T16:32:01Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5162759357,1,,5162759345,157,,5162759349,140,57.2,5162759355,213,5.91,5162759351,141,15.0,5162759353,212,59.4,5162759347,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517933,7,44,1,0,23,6wwwud48qahpwrfxs20334qk5,1,42.8,84.4,2024-08-21T16:32:00.031Z,2024-08-21T17:26:13Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5162759367,285,,5162759369,233,10,5162759365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517931,10,44,1,0,23,dbl7ir1qugqz8nvp1vzn8im50,0,57.2,15.6,2024-08-21T16:32:00.032Z,2024-08-21T17:26:14Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5162759363,286,,5162759361,56,Right,5162759373,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
