id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/10/value,qualifier/13/value,qualifier/15/value
2730025035,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-04T16:14:56.559Z,2024-10-04T16:56:36Z,,,,,5264178269,59,"1, 3, 21, 4, 22, 2, 28, 7, 26, 18, 10, 5, 8, 9, 12, 14, 16, 24, 30, 33",5264178273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264178271,130,13,5264272381,197,26351,5264178265,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 3mgrufy83uhzs9liw8pwxi784, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 74m58jsznzu8l89b8h7rkh1bd, 1icurh5jrnw1e6jdgqxjnhdnu, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 45b72f8szmqnv8tz06j7mj1wq, 67p0s4o54xcmiustgy8k5gljo, eu574m78nqv6a5638b44oquqc, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4",5264178277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264178267,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264178275,194,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730027387,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-04T16:22:59.358Z,2024-10-04T16:59:19Z,,,,,5264192545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264192539,59,"16, 20, 2, 8, 4, 29, 6, 18, 30, 10, 23, 1, 5, 7, 14, 15, 19, 21, 26, 28",5264277875,194,4clmd8g8jogdfvauhijd7n55h,5264192543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264192541,130,4,5264192537,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264192535,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, 80s55a7uw8kypoikefwhtdm5m, 5wmik73cqursg7sv3w14ue5pm, 15jhbyn4wsbd865fd9djcwaok, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, rbk7g9mpasw3edltliscyzv8, 6eg3kxxg5aneckolraz03xzpw, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw",5264263413,197,4604,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044199,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-04T17:00:53.586Z,2024-10-04T17:00:54Z,,,,,5264281403,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044187,3,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-04T17:00:53.586Z,2024-10-04T17:00:53Z,,,,,5264281365,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044225,4,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.1,50.3,2024-10-04T17:00:53.587Z,2024-10-04T17:03:19Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5264281529,213,3.11,5264281521,56,Back,5264281523,140,26.3,5264281527,212,25.0,5264281525,141,51.3,5264281531,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044295,5,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,1,29.7,51.3,2024-10-04T17:00:56.507Z,2024-10-04T17:01:01Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264281829,56,Left,5264281841,212,45.7,5264281849,1,,5264281837,141,84.2,5264281847,213,0.51,5264281825,157,,5264281833,140,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044307,6,44,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,73.4,83.2,2024-10-04T17:01:00.692Z,2024-10-04T19:09:24Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5264281911,233,3,5264281889,56,Left,5264281891,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044283,3,44,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,0,26.6,16.8,2024-10-04T17:01:00.693Z,2024-10-04T17:01:03Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5264281793,56,Back,5264281795,285,,5264281923,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044319,7,1,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,67.5,84.2,2024-10-04T17:01:01.282Z,2024-10-04T19:12:45Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5264281955,141,81.8,5264281949,168,,5264281957,212,8.1,5264281953,140,75.1,5264281951,56,Left,5264281947,3,,5264281959,213,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044327,4,1,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,0,23.1,10.4,2024-10-04T17:01:03.091Z,2024-10-04T17:10:33Z,3mgrufy83uhzs9liw8pwxi784,G. Larsen,,,5264281997,140,41.3,5264282001,212,19.6,5264282003,213,0.23,5264281995,56,Back,5264281999,141,17.1,5264281993,157,,5264282005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
