id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2724202595,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-22T12:01:10.724Z,2024-09-22T12:58:27Z,,,,,5232172725,59,"1, 2, 5, 10, 25, 15, 7, 8, 14, 19, 12, 3, 4, 6, 9, 11, 16, 17, 26, 39",5232172721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232481273,197,7812,5232481271,194,eas91my7qw7etoha5plxfk9yi,5232172737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232172729,130,8,5232172733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232172717,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, bmkwmf5f2ssnw2cq7uga7yd5g, 7wo1hk736v1xhovvu2t2trw89, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, ate1ymumg2iwzn8uyyf3ts222, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 9n2nm6smh0txgv2482qbwhixg, 98mkoolgahktzky97y0khdq1g, 46nx0rm8sod6bbo4a3d7g6jv8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724204063,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-22T12:02:41.038Z,2024-09-22T17:17:20Z,,,,,5232180467,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232180469,59,"1, 10, 23, 2, 25, 5, 22, 88, 9, 14, 7, 16, 17, 19, 21, 27, 28, 29, 30, 11",5232180477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232180471,130,11,5232180465,30,"d9hh01mit4geyadol3gmzco9, 615e0bjcd0tyge047sy43y5sl, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, dshwz1df0rbe0fztksawvd0wl, dncrhma6gwcn6pxiu7hfc6qz8, dm6xpphbyyooqriwaambi7njd, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, 2cup1vjw8n43kbzzxfflnmplg, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 7ymn0ytcqi6l43nqraxt9s1zo, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 6uwvbagahvoavs630k8uksxjp",5232180473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5233485859,197,11501,5232180475,194,a30gduuv9d1s4pkthgu2jhyol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261393,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-22T13:00:48.041Z,2024-09-22T13:00:52Z,,,,,5232491605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261329,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-22T13:00:48.041Z,2024-09-22T13:00:48Z,,,,,5232491223,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261385,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,50.1,2024-09-22T13:00:48.042Z,2024-09-22T13:00:52Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5232491553,140,28.2,5232491557,212,29.4,5232491555,141,77.0,5232491551,56,Back,5232491561,279,S,5232491559,213,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261457,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,26.8,77.0,2024-09-22T13:00:51.913Z,2024-09-22T13:00:56Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5232492031,212,78.3,5232492025,140,100.0,5232492033,213,6.26,5232492029,141,74.0,5232492035,1,,5232492019,157,,5232492021,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261731,3,5,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,-1.2,27.6,2024-09-22T13:00:55.570Z,2024-09-22T16:42:44Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5232493413,56,Back,5232493463,233,5,5232493415,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261461,5,5,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,101.2,72.4,2024-09-22T13:00:55.570Z,2024-09-22T16:42:44Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5232493503,233,3,5232492051,56,Center,5232492053,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261837,4,1,1,0,21,8gxd9ry2580pu1b1dd5ny9ymy,1,4.3,59.0,2024-09-22T13:01:09.617Z,2024-09-22T13:01:15Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5232494009,140,4.3,5232494013,212,11.3,5232494007,56,Back,5232494015,213,4.71,5232494019,237,,5232494011,141,42.4,5232494005,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261939,5,1,1,0,27,8gxd9ry2580pu1b1dd5ny9ymy,0,8.7,35.2,2024-09-22T13:01:15.737Z,2024-09-22T13:01:21Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,,5232494653,213,0.04,5232494655,1,,5232494643,157,,5232494645,56,Center,5232494649,141,38.6,5232494651,212,57.6,5232494647,140,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261973,6,61,1,0,30,8gxd9ry2580pu1b1dd5ny9ymy,0,47.9,36.0,2024-09-22T13:01:18.905Z,2024-09-22T13:04:16Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,,5232494819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724261997,6,1,1,0,34,f1h34qp5zbfl489q8vnkhiq9s,1,66.3,74.0,2024-09-22T13:01:22.705Z,2024-09-22T13:01:24Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5232494979,213,3.45,5232494973,140,60.8,5232494977,212,6.1,5232494971,56,Center,5232494975,141,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262071,8,1,1,0,36,f1h34qp5zbfl489q8vnkhiq9s,1,60.8,71.3,2024-09-22T13:01:24.689Z,2024-09-22T13:01:28Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5232495433,141,44.5,5232495429,56,Center,5232495431,140,68.7,5232495437,213,5.14,5232495435,212,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262087,9,1,1,0,40,f1h34qp5zbfl489q8vnkhiq9s,0,68.7,44.5,2024-09-22T13:01:28.257Z,2024-09-22T13:08:56Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5232495489,213,0.34,5232495479,56,Center,5232495483,140,79.8,5232495485,141,50.6,5232495487,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262123,7,1,1,0,41,8gxd9ry2580pu1b1dd5ny9ymy,0,27.6,44.6,2024-09-22T13:01:30.033Z,2024-09-22T13:50:13Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5232495735,140,34.5,5232495733,56,Back,5232495741,213,5.22,5232495739,212,15.0,5232495737,141,25.3,5232495731,157,,5232495745,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262157,10,1,1,0,42,f1h34qp5zbfl489q8vnkhiq9s,1,59.8,69.8,2024-09-22T13:01:30.921Z,2024-09-22T15:21:28Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5232495925,213,5.32,5232495923,212,7.0,5232495915,3,,5232495919,140,63.6,5232495921,141,61.4,5232495917,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262171,11,1,1,0,44,f1h34qp5zbfl489q8vnkhiq9s,0,63.6,61.4,2024-09-22T13:01:32.617Z,2024-09-22T13:01:33Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5232495995,56,Center,5232495997,140,68.4,5232496001,141,46.6,5232496005,212,11.3,5232496009,213,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262287,8,1,1,0,45,8gxd9ry2580pu1b1dd5ny9ymy,1,30.3,34.0,2024-09-22T13:01:33.873Z,2024-09-22T13:01:39Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5232496713,212,8.1,5232496707,140,35.3,5232496705,56,Back,5232496719,213,0.86,5232496709,141,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262319,9,1,1,0,51,8gxd9ry2580pu1b1dd5ny9ymy,1,62.6,34.0,2024-09-22T13:01:39.649Z,2024-09-22T13:01:40Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5232496863,56,Left,5232496875,213,1.19,5232496873,212,36.6,5232496857,155,,5232496867,140,75.7,5232496877,1,,5232496871,141,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262411,10,43,1,0,52,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-22T13:01:40.665Z,2024-09-22T13:02:18Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5232497413,56,Left,5232497429,213,0.00,5232500983,144,12,5232497421,140,75.7,5232497427,212,0,5232497425,141,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262523,11,1,1,0,58,8gxd9ry2580pu1b1dd5ny9ymy,1,74.3,90.9,2024-09-22T13:01:46.097Z,2024-09-22T13:01:51Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5232497973,140,69.2,5232497975,141,71.4,5232497977,212,14.3,5232497971,56,Center,5232497979,213,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724262471,12,83,1,1,1,f1h34qp5zbfl489q8vnkhiq9s,0,30.2,48.8,2024-09-22T13:01:49.306Z,2024-09-22T13:01:55Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5232498353,399,dm6xpphbyyooqriwaambi7njd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
