id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/14/value
2817971033,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-23T16:07:29.891Z,2025-05-23T20:17:26Z,,,,,5745026975,194,wha77a8wm7jyn32743y0w79x,5744990901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744990893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744990891,30,"2g019dl7zougqjo7usig0rf11, e42jh6bbwn4aybdnysonrvutx, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, auk14ut8cwaqop549u2zmfgt1, ev2s21ogvpjtata4fndi868ve, 2uw6m0yavlvkkiob73hoywb56, 15jhbyn4wsbd865fd9djcwaok, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 1mml4inucvyomv1dcog3c1pt5, dqtarwrqvkopmzbt2ovp2dln9, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 1vfh2k9yurk6t5s1vmgmlmfpw, 3ukx6q0q54uzz78gl7k10o2dw",5744990899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744990895,59,"1, 20, 3, 7, 25, 29, 14, 23, 17, 10, 2, 4, 11, 13, 15, 21, 24, 26, 32, 40",5744990897,130,4,5745026199,197,4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817971699,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-23T16:11:58.967Z,2025-05-23T20:45:24Z,,,,,5744994709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744994705,130,8,5745026265,197,7812,5744994707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5744994703,59,"16, 4, 32, 5, 3, 15, 7, 8, 14, 12, 38, 1, 9, 10, 19, 21, 25, 27, 39",5744994699,30,"45bcgucg627rhrdgt8tn9hd9m, 37mo55lynu3blqnb8k9ln8k16, ayjuukbjjzrldkn4d4shfnggk, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, ate1ymumg2iwzn8uyyf3ts222, 5sha6xhovfmuzd7rolx1om39w, 7fkc01xxyl1trj3uav134ehyi, 4mxciw9jsj9l437fd7bv78p91, 7wo1hk736v1xhovvu2t2trw89, cqgmx6eiriomccxfhykh31r10, 1se7wkenvs4elrapvdw9mdnje, 839pm7rmjp6q1bt52f7ek9vys, 418pvntm5e5kcoeyjjnzm7hg4, a3s2lypc1aceu363i78aczx1w",5745026263,194,6hmsrr08cllpl4iumu92zskbt,5744994701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977125,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-23T17:02:15.799Z,2025-05-23T17:02:16Z,,,,,5745027665,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977127,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-23T17:02:15.799Z,2025-05-23T17:02:18Z,,,,,5745027671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977131,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.0,50.0,2025-05-23T17:02:15.979Z,2025-05-23T17:02:19Z,5sha6xhovfmuzd7rolx1om39w,J. Lucena,,,5745027697,213,3.21,5745027695,212,20.0,5745027699,279,S,5745027691,140,31.0,5745027693,141,47.9,5745027689,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977143,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,30.3,50.1,2025-05-23T17:02:19.065Z,2025-05-23T17:07:47Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5745027777,213,5.87,5745027775,212,53.6,5745027779,1,,5745027771,140,77.1,5745027769,56,Right,5745027767,157,,5745027773,141,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977149,3,44,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,23.4,81.9,2025-05-23T17:02:22.880Z,2025-05-23T19:16:07Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5745027809,56,Back,5745027811,285,,5745027833,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977147,5,44,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,76.6,18.1,2025-05-23T17:02:22.881Z,2025-05-23T20:29:59Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5745027805,56,Right,5745027843,233,3,5745027807,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977155,4,1,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,27.8,85.0,2025-05-23T17:02:23.431Z,2025-05-23T17:02:27Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5745027863,56,Back,5745027865,140,32.5,5745027869,212,6.7,5745027871,213,0.75,5745027861,3,,5745027867,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977159,5,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,0,32.4,92.0,2025-05-23T17:02:26.839Z,2025-05-23T20:30:12Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5745027891,56,Back,5745027897,212,9.7,5745027893,140,40.1,5745027895,141,84.2,5745027899,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
