id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2792470287,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-03-29T11:01:13.929Z,2025-03-29T12:04:23Z,,,,,5604471065,130,8,5604471061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604471063,59,"90, 14, 12, 6, 4, 5, 8, 13, 7, 11, 98, 1, 2, 3, 9, 10, 17, 20, 22, 97",5604471067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604471073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604471059,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6lb4k3g75nzgi8bp1y1mzxkru, 45ssaw51hm80y1tfalyesap9m, 4bojyjyvkdgm1lss6n37q2t5g, 2zt1yrfv8m2mhpo720n0uydck, 876cmwkx9p9wsqgdddfzmipzo, y4dl1rer075c9wz6zhx7skbt",5604471071,197,11563,5604471069,194,3od63zrf6cay4d6ync9i2iuqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792470453,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-29T11:01:52.621Z,2025-03-29T12:11:38Z,,,,,5604472059,130,17,5604472067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604472057,59,"99, 7, 11, 3, 2, 4, 18, 23, 14, 12, 10, 1, 8, 9, 15, 17, 19, 16, 33, 30",5604472055,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604472065,197,12587,5604472053,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 8h3cyhuw5049gcxrsld3rw1ec, 5u9zrgsm6wycfcbk04m64wd1w, b6l4m6bmqgil9bjjov4tnuivo, e3546n3qj447qgmizao50zx1w, 4zpmxlmdfa5wx79cr0q14pfx1, 7xde75gwrng67wvjkugv9xih, 44gqeji9twbkdtrcr2ias4efo, 9618hk1lq7i6see347k7plkyy, e2aqcawslcbpp88nia8eko2y1, 9ircna8pbskreztmy1wiqwx9m, 5moycfv7blzfnjqiruao7dv6c, bq76t7rh2vynmvwx9mtvnl9g4, 4uuqid6t4nspn0wspyltz3bx0, 9delpquqv81o7ftrgefb0wpp0",5604472063,194,3xz0h3d6r2qgmv9egms8yaz56,5604472061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495513,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-03-29T11:59:50.051Z,2025-03-29T11:59:52Z,,,,,5604607731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495507,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-29T11:59:50.051Z,2025-04-01T08:30:24Z,,,,,5604607703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495533,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,49.9,50.3,2025-03-29T11:59:50.052Z,2025-03-29T11:59:52Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5604607825,212,17.9,5604607821,140,34.5,5604607823,141,61.5,5604607827,213,2.70,5604607819,56,Back,5604607829,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495551,4,1,1,0,2,b8oqgvx1ijeyn6y1cn6929ix4,1,34.4,61.4,2025-03-29T11:59:52.740Z,2025-03-29T11:59:55Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5604607913,56,Back,5604607915,140,20.0,5604607917,141,52.7,5604607921,213,3.51,5604607919,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495583,5,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,1,24.4,58.3,2025-03-29T11:59:55.044Z,2025-04-01T08:36:45Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5604608087,212,14.7,5604608079,56,Back,5604608089,213,1.39,5604608083,140,26.9,5604608085,141,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495609,6,1,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,24.5,91.2,2025-03-29T11:59:57.427Z,2025-04-01T08:37:12Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5604608233,157,,5604608235,56,Left,5604608245,1,,5604608237,140,61.3,5604608243,213,6.14,5604608241,212,39.1,5604608239,141,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495635,3,1,1,0,10,6wwwud48qahpwrfxs20334qk5,1,38.6,21.0,2025-03-29T12:00:00.067Z,2025-03-29T12:00:03Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5604608407,213,5.25,5604608397,3,,5604608405,212,13.1,5604608399,56,Back,5604608403,141,4.4,5604608401,140,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792495641,4,61,1,0,11,6wwwud48qahpwrfxs20334qk5,0,41.5,5.2,2025-03-29T12:00:01.090Z,2025-03-29T12:00:14Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5604608423,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
