id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2781673689,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-02-28T17:04:32.465Z,2025-02-28T22:45:39Z,,,,,5545388827,194,5lu7bn7uec3zjqpoi1x81gbu1,5545294971,30,"d9hh01mit4geyadol3gmzco9, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, 3epwf56ozg73hueacwmckk0r9, 81w1fqi66z0ibawynhraybaxg, 8uhv14rin2znrr0wqgvcc2f2t, a48bpdpt0siemxqtr3rubwbu, bdz03qovxerzrv12lgljae1p0, 77zrjzfkfp7hozuj05ktwhtqt, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, dfxs5u8rdcxhzp33aks3acdn8, c2x3pewqx6d9q3c5dup0udxw, 4m9sp9mxlsjk6fv7v218yqfv9",5545294979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545294975,59,"23, 25, 14, 18, 4, 24, 22, 17, 21, 11, 10, 1, 9, 12, 13, 15, 16, 20, 26, 45",5545388415,197,21756,5545294977,130,2,5545294981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545294973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781677137,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-02-28T17:19:34.394Z,2025-02-28T21:36:56Z,,,,,5545315345,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5545315347,59,"16, 7, 2, 73, 9, 19, 6, 22, 8, 17, 10, 4, 3, 18, 27, 31, 37, 47, 49, 13",5545315343,30,"dy7tdtffhczukm4vrkgp1ctn8, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 9l89n30nejpn2u22ygvchwnze, 8rn42gm9xm3yunk883yan9vdg, egwhlgopjtjkop7ozy7ltk1cl, 5hr1cb6e6xb3eyjnau7w4825l, a7eramyy1bd8msxmg84ctc8ut, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, duahzgqspyuy2gu31u3s8ky96, 6gi9kejni27hjp7b43djczz6d, ag1psg17osvgbq5fz9xo7kmj8, 6t6k24gn6zwxz1g6c3n4ph0q, 9vbxe5gvruap8h546efz3nx1w, 6xnn9048x2zmwprfsg0lhq61g, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe, cah3jvfqu1p9qqqrmncy5d4pg",5545389161,197,23642,5545315351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545315353,194,139g7ilwvcpl519v3scnweg2d,5545315355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545315349,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691789,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-02-28T18:00:02.679Z,2025-02-28T18:00:04Z,,,,,5545392313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691781,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-02-28T18:00:02.679Z,2025-02-28T18:00:02Z,,,,,5545392273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691809,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.2,50.1,2025-02-28T18:00:02.680Z,2025-02-28T18:00:06Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5545392439,213,2.88,5545392431,56,Back,5545392441,279,S,5545392433,140,28.6,5545392437,212,23.5,5545392435,141,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691823,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,1,28.5,59.3,2025-02-28T18:00:06.529Z,2025-02-28T18:00:09Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5545392495,157,,5545392497,56,Center,5545392503,212,45.0,5545392505,213,5.76,5545392507,1,,5545392499,140,65.6,5545392501,141,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691825,5,44,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,1,68.8,34.2,2025-02-28T18:00:08.346Z,2025-02-28T18:07:04Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5545392517,286,,5545392515,56,Center,5545392519,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691815,3,44,1,0,5,a9vw7ikerpr4cuweeeka5aneg,0,31.2,65.8,2025-02-28T18:00:08.347Z,2025-02-28T20:19:08Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5545392473,285,,5545392523,233,5,5545392471,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691829,6,1,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,0,65.6,26.2,2025-02-28T18:00:09.144Z,2025-02-28T20:23:16Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5545392547,141,33.7,5545392553,212,8.7,5545392545,140,72.3,5545392543,56,Center,5545392557,213,0.63,5545392541,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781691947,8,44,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,21.6,65.8,2025-02-28T18:00:11.375Z,2025-02-28T21:09:01Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5545398225,285,,5545403871,233,52,5545398223,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
