id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2806082899,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-26T11:16:01.787Z,2025-04-26T14:38:33Z,,,,,5679372361,130,8,5679372359,59,"1, 4, 2, 22, 8, 73, 17, 6, 49, 20, 47, 3, 5, 10, 11, 18, 19, 27, 30, 31",5679372357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5679372355,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 5hr1cb6e6xb3eyjnau7w4825l, a7eramyy1bd8msxmg84ctc8ut, oywgthoxa153nf48la1j8v10, 11cna826ls27ahux2w0ckapqt, egwhlgopjtjkop7ozy7ltk1cl, ju24rgwcctj5yizl54o91gfe, bh06w40pwo6dy3cjrw3r2i0ru, 9gr9rdahnavv0irjauh5xim8k, 6gi9kejni27hjp7b43djczz6d, abrdu87vmuqj50ebgalr3c7op, 9nafz0c0x2qvmo5ldm0djmcq1, 7ar33yy0wd5ah5o8om1l12pgq, ag1psg17osvgbq5fz9xo7kmj8, 8rn42gm9xm3yunk883yan9vdg, 6t6k24gn6zwxz1g6c3n4ph0q, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w",5679372363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679535327,197,5311,5679372365,194,a7eramyy1bd8msxmg84ctc8ut,5679372367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806084693,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-26T11:19:19.808Z,2025-04-26T12:02:53Z,,,,,5679381791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5679381789,130,13,5679532271,197,17324,5679381793,194,bwozpgcm48s08t1glxfgjajmd,5679381787,59,"30, 25, 3, 4, 14, 26, 18, 6, 15, 11, 9, 2, 7, 10, 12, 16, 22, 27, 34",5679381785,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5679381795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679381783,30,"4ieyvppe24gqdkm2xv2xlaluc, e0nkqbugb4xkpluu5e42zf2ms, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, m031ocyfq011rual3olkegdm, 1el3mu4rgcx8tebrawgfvynf8, d1qyvtgj16160ufegxkspgb9w, duvhbifjh37mvlm46akiy431m, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 3wx08y3aabvejd8phcglis3dg, d106tu53y5q02yu36iojbou8k, em0yawcqyqwf53hbj0zlz4duc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115837,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-26T12:00:53.038Z,2025-04-26T12:00:53Z,,,,,5679543087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115839,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-26T12:00:53.038Z,2025-04-26T12:00:55Z,,,,,5679543107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115855,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-04-26T12:00:53.039Z,2025-04-26T12:00:56Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5679543281,213,2.81,5679543273,56,Back,5679543275,140,28.3,5679543277,141,61.7,5679543279,212,24.1,5679543283,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115865,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,28.3,61.7,2025-04-26T12:00:55.252Z,2025-04-26T12:00:57Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5679543377,213,0.98,5679543375,212,14.2,5679543371,140,35.8,5679543369,56,Back,5679543373,141,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115911,5,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,1,37.0,75.4,2025-04-26T12:00:57.596Z,2025-04-26T12:01:02Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5679543657,213,0.47,5679543655,212,19.8,5679543651,140,53.8,5679543653,141,88.6,5679543647,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115917,6,1,1,0,8,bd4qakf7j0wwie8wke9km7uj8,1,41.5,90.8,2025-04-26T12:01:02.020Z,2025-04-26T12:01:02Z,d1qyvtgj16160ufegxkspgb9w,M. Uhd,,,5679543679,56,Back,5679543687,213,3.79,5679543685,212,25.0,5679543681,140,22.6,5679543683,141,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115941,7,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,1,22.6,68.5,2025-04-26T12:01:02.716Z,2025-04-26T12:01:05Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5679543809,140,35.1,5679543811,141,71.4,5679543807,56,Back,5679543813,212,13.3,5679543815,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806115955,8,1,1,0,11,bd4qakf7j0wwie8wke9km7uj8,1,35.1,71.4,2025-04-26T12:01:05.035Z,2025-04-26T12:01:07Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5679543917,140,12.0,5679543915,56,Back,5679543919,141,44.5,5679543923,213,3.79,5679543921,212,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
