id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/12/value
2751207577,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-24T13:10:35.359Z,2024-11-24T16:12:39Z,,,,5379973937,197,6601,5379759307,59,"1, 25, 12, 18, 4, 34, 22, 20, 11, 9, 21, 10, 14, 15, 17, 24, 31, 32, 33, 45",5379759303,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4i0jiisff5k1efcgf27skpqfo, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, a48bpdpt0siemxqtr3rubwbu, cqsc3mj8klukkgutdrpegybdg, 81w1fqi66z0ibawynhraybaxg, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, 4lxxyqy78jkglhv2w6crzcnsa, 2h94np282g0qtzal1czznequi, 51ymbnikkta369rn3exb1g7bo, 61vr9xr91fr4g6ayzga5vn9w5, 4m9sp9mxlsjk6fv7v218yqfv9",5379759309,130,8,5379759305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379759311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379759315,194,8uhv14rin2znrr0wqgvcc2f2t,5379759319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2751208239,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-24T13:11:09.435Z,2024-11-24T16:12:03Z,,,,5379762429,194,619s1phj5bkgkug3aszc1y9cl,5379762425,130,13,5379762421,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5379762427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5379762431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380793057,197,9535,5379762423,59,"1, 16, 21, 4, 22, 2, 6, 7, 26, 18, 11, 3, 9, 10, 12, 14, 27, 28, 30",5379762419,30,"dqqswfn9s1tdxjoslts8ks6xg, 67p0s4o54xcmiustgy8k5gljo, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 11ngumxajbizagbzpm5kompxx, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, e2aqcawslcbpp88nia8eko2y1, 4m7gr5z6b40dj02yrmlwgeluc, 98zlz2sscsf6vb7d52ici074k, 74m58jsznzu8l89b8h7rkh1bd, bwxxfcjd31gykfbpomwr1od90, 45b72f8szmqnv8tz06j7mj1wq, c8exa9vh1xxpieov380g8r3hm, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10",,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249683,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-24T14:01:13.831Z,2024-11-24T14:01:16Z,,,,5379985759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249667,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-24T14:01:13.831Z,2024-11-24T14:01:14Z,,,,5379985693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249711,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,49.9,49.9,2024-11-24T14:01:13.832Z,2024-11-24T14:54:06Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,5379985917,213,3.49,5379985911,140,27.6,5379985915,212,24.9,5379985919,279,S,5379985909,56,Back,5379985913,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249763,4,1,1,0,3,8cfkisxf1fkxdqtt6tx1tup48,1,27.6,37.4,2024-11-24T14:01:17.015Z,2024-11-24T14:01:21Z,am3509ake84cde1xhb9264i22,M. Gudmann,,5379986151,213,0.40,5379986147,141,66.4,5379986141,157,,5379986145,140,72.5,5379986149,212,51.1,5379986143,56,Center,5379986153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249781,5,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,0,72.5,66.4,2024-11-24T14:01:20.967Z,2024-11-24T14:01:22Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,5379986255,213,1.08,5379986245,56,Left,5379986249,140,84.6,5379986251,141,100.0,5379986253,212,27.1,5379986235,3,,5379986239,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249787,6,5,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,0,83.8,101.5,2024-11-24T14:01:21.987Z,2024-11-24T14:01:33Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,5379986273,347,,5379986271,56,Left,5379987175,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249963,3,5,1,0,9,a9vw7ikerpr4cuweeeka5aneg,1,15.8,-1.6,2024-11-24T14:01:23.749Z,2024-11-24T14:01:33Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,5379987105,347,,5379987101,56,Back,5379987113,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250015,4,1,1,0,18,a9vw7ikerpr4cuweeeka5aneg,1,17.0,0.0,2024-11-24T14:01:32.442Z,2024-11-24T14:01:35Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,5379987431,1,,5379987425,141,6.4,5379987429,213,0.22,5379987421,56,Back,5379987427,212,23.9,5379987419,107,,5379987423,140,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
