id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2778736141,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-02-21T16:37:23.027Z,2025-02-21T21:46:57Z,,,,5529249055,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529249053,30,"9yxhg70gpwi3e9s84c8qwg0yx, 8q8yol44e42o9hwttlopznvh0, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, 9xub4z9b3bog8wqhn5yfihecp, dwuxps3jv2852642q000wep6, 4qyfoq5fjiochtj89w426lm21, efubck8twu1elbhlomltnjjtg, e19g5bz7s9wqcvj8mttztxi0a, dxv40hh07gxq4hn0i6dwb2l4a, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, ebddkdhm6fhar2ir2h7azhslw, 5jyv1dctfxa6335l1mlifwavo, 3sog1gsk11bwwrf7l7wm2j7dg",5529249063,194,cflwegqpzch8y30pb3dhigqnd,5529249065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529329381,197,18945,5529249057,59,"25, 22, 27, 13, 12, 18, 8, 10, 9, 19, 7, 1, 16, 17, 23, 26, 29, 37, 40, 5",5529249061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529249059,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778738679,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-02-21T16:51:51.309Z,2025-02-21T20:15:10Z,,,,5529264639,59,"1, 7, 2, 73, 9, 19, 20, 22, 49, 6, 4, 3, 10, 16, 17, 18, 27, 37, 47, 31",5529264637,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529264641,130,11,5529264647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529264635,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 9l89n30nejpn2u22ygvchwnze, 8rn42gm9xm3yunk883yan9vdg, bh06w40pwo6dy3cjrw3r2i0ru, 5hr1cb6e6xb3eyjnau7w4825l, ju24rgwcctj5yizl54o91gfe, egwhlgopjtjkop7ozy7ltk1cl, duahzgqspyuy2gu31u3s8ky96, 6gi9kejni27hjp7b43djczz6d, 9nafz0c0x2qvmo5ldm0djmcq1, dy7tdtffhczukm4vrkgp1ctn8, 11cna826ls27ahux2w0ckapqt, ag1psg17osvgbq5fz9xo7kmj8, 6t6k24gn6zwxz1g6c3n4ph0q, 6xnn9048x2zmwprfsg0lhq61g, 9gr9rdahnavv0irjauh5xim8k, 9vbxe5gvruap8h546efz3nx1w",5529264643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529264645,194,139g7ilwvcpl519v3scnweg2d,5529330283,197,11731,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778750935,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-02-21T17:29:47.776Z,2025-02-21T17:29:49Z,,,,5529335555,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778750939,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-02-21T17:29:47.776Z,2025-02-21T17:29:48Z,,,,5529335583,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778750967,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.0,50.1,2025-02-21T17:29:47.822Z,2025-02-21T17:50:21Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,5529335731,279,S,5529335729,213,1.12,5529335725,141,53.6,5529335723,140,51.1,5529335721,56,Center,5529335727,212,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778750991,4,1,1,0,1,b2vft81kyjurzbmekvgrqwr64,1,50.7,48.9,2025-02-21T17:29:49.519Z,2025-02-21T17:50:32Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,5529335867,212,17.6,5529335861,140,56.0,5529335865,141,24.4,5529335855,56,Center,5529335871,213,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751015,5,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,1,59.3,18.0,2025-02-21T17:29:51.423Z,2025-02-21T17:50:41Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,5529335979,140,36.0,5529335981,141,15.4,5529335977,56,Back,5529335985,213,3.21,5529335983,212,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751045,6,1,1,0,6,b2vft81kyjurzbmekvgrqwr64,1,38.0,14.8,2025-02-21T17:29:53.823Z,2025-02-21T17:51:22Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5529336141,213,1.11,5529336137,141,29.1,5529336133,56,Back,5529336139,212,10.9,5529336135,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751053,7,1,1,0,8,b2vft81kyjurzbmekvgrqwr64,0,42.9,28.4,2025-02-21T17:29:56.159Z,2025-02-21T17:52:02Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5529407909,157,,5529336185,1,,5529336183,213,6.27,5529336173,56,Center,5529336179,141,27.8,5529336177,140,73.6,5529336181,212,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751081,3,1,1,0,8,7gkglopz9cjsysn2u6sbhuvc5,1,23.9,70.5,2025-02-21T17:29:56.591Z,2025-02-21T17:52:14Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5529336291,141,70.3,5529336285,3,,5529336287,56,Back,5529336289,140,45.3,5529336293,212,22.5,5529336295,213,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751095,5,3,1,0,14,7gkglopz9cjsysn2u6sbhuvc5,0,66.3,82.0,2025-02-21T17:30:02.703Z,2025-02-21T17:30:07Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5529336369,286,,5529336417,233,8,5529336367,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751101,8,7,1,0,14,b2vft81kyjurzbmekvgrqwr64,1,33.7,18.0,2025-02-21T17:30:02.704Z,2025-02-21T17:52:42Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,5529336391,233,5,5529336383,56,Back,5529336385,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778755533,64,61,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,33.9,21.9,2025-02-21T17:30:02.833Z,2025-02-21T17:37:15Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,5529362355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751105,6,1,1,0,15,7gkglopz9cjsysn2u6sbhuvc5,1,66.3,80.9,2025-02-21T17:30:03.542Z,2025-02-21T17:30:04Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5529336401,140,63.0,5529336407,213,2.25,5529336399,56,Left,5529336403,141,87.2,5529336405,212,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751153,7,1,1,0,16,7gkglopz9cjsysn2u6sbhuvc5,1,63.3,87.7,2025-02-21T17:30:04.495Z,2025-02-21T17:30:08Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5529336663,56,Center,5529336665,140,63.2,5529336671,213,4.70,5529336669,212,11.6,5529336667,141,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751171,8,1,1,0,21,7gkglopz9cjsysn2u6sbhuvc5,0,63.2,70.6,2025-02-21T17:30:08.790Z,2025-02-21T17:54:11Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5529336759,141,88.1,5529336757,140,100.0,5529336761,212,41.0,5529336755,56,Left,5529336753,155,,5529336763,213,0.29,5529336765,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751345,9,5,1,0,23,b2vft81kyjurzbmekvgrqwr64,1,-1.2,10.9,2025-02-21T17:30:11.092Z,2025-02-21T20:07:42Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5529338239,233,9,5529337653,56,Back,5529337655,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778751467,9,5,1,0,23,7gkglopz9cjsysn2u6sbhuvc5,0,101.2,89.1,2025-02-21T17:30:11.092Z,2025-02-21T20:07:43Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,5529338199,56,Left,5529338201,346,,5529338255,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
