id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value
2727821133,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-29T11:04:52.039Z,2024-09-29T15:18:26Z,,,,,5252038191,59,"1, 2, 3, 23, 5, 4, 10, 6, 27, 18, 15, 7, 8, 11, 12, 14, 16, 17, 22, 26",5252038195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252201641,197,17324,5252038193,130,8,5252038187,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 6zhj070huc77sl5o5bx6ey5g4, 4brcvdxviy9f03iwcavxll80l, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, bwozpgcm48s08t1glxfgjajmd, d106tu53y5q02yu36iojbou8k, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, 4rhxehi019n7z1z1m7a39w1sk, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, g2cgdv428rmpmb0om40ldses",5252038199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252038197,194,bwozpgcm48s08t1glxfgjajmd,5252038189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727821979,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-29T11:06:41.618Z,2024-09-29T11:56:39Z,,,,,5252042663,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 3mgrufy83uhzs9liw8pwxi784, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 74m58jsznzu8l89b8h7rkh1bd, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 45b72f8szmqnv8tz06j7mj1wq, 67p0s4o54xcmiustgy8k5gljo, eu574m78nqv6a5638b44oquqc, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4",5252200383,197,25633,5252042665,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5252042673,194,619s1phj5bkgkug3aszc1y9cl,5252042667,59,"1, 3, 21, 4, 22, 2, 28, 7, 26, 18, 10, 8, 9, 12, 14, 16, 24, 30, 33",5252042675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252042671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5252042669,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854243,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-29T11:59:36.400Z,2024-09-29T11:59:38Z,,,,,5252210505,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854235,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-29T11:59:36.400Z,2024-09-29T11:59:36Z,,,,,5252210473,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854261,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2024-09-29T11:59:36.401Z,2024-09-29T11:59:39Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5252210597,56,Back,5252210601,141,42.4,5252210605,213,3.39,5252210599,140,30.4,5252210603,212,21.2,5252210607,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854325,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,0,30.4,42.4,2024-09-29T11:59:39.438Z,2024-09-29T11:59:59Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5252210939,1,,5252210931,140,73.2,5252210929,56,Center,5252210935,212,46.7,5252210937,213,0.28,5252210933,141,61.1,5252210927,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854319,3,61,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,24.8,25.6,2024-09-29T11:59:43.933Z,2024-09-29T11:59:44Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5252210885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854371,4,1,1,0,11,8cfkisxf1fkxdqtt6tx1tup48,0,20.6,30.9,2024-09-29T11:59:47.440Z,2024-09-29T13:04:53Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5252211213,212,71.7,5252211209,140,71.1,5252211217,1,,5252211215,213,0.74,5252211207,56,Left,5252211205,157,,5252211211,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854381,5,5,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,0,66.2,101.7,2024-09-29T11:59:50.567Z,2024-09-29T14:12:30Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5252211441,233,5,5252211293,56,Left,5252211297,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727854409,5,5,1,0,14,bd4qakf7j0wwie8wke9km7uj8,1,33.8,-1.7000000000000002,2024-09-29T11:59:50.567Z,2024-09-29T14:12:30Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5252211413,56,Back,5252211415,347,,5252211437,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
