id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2815273217,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-16T16:03:03.965Z,2025-05-16T21:16:06Z,,,,,5730119061,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730119065,130,13,5730119063,59,"16, 2, 3, 34, 14, 26, 6, 18, 15, 11, 9, 5, 7, 8, 22, 23, 24, 25, 27, 30",5730119059,30,"emakjdiju8z2peey3ytjahz6y, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, em0yawcqyqwf53hbj0zlz4duc, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, bwozpgcm48s08t1glxfgjajmd, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 1el3mu4rgcx8tebrawgfvynf8, d1qyvtgj16160ufegxkspgb9w, 4brcvdxviy9f03iwcavxll80l, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, 3wx08y3aabvejd8phcglis3dg, 4olk8vflmyc2wo0uq37qbi9zo, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc",5730119069,194,bwozpgcm48s08t1glxfgjajmd,5730265703,197,17324,5730119071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730119067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273979,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-16T16:04:25.874Z,2025-05-16T17:16:00Z,,,,,5730123095,59,"1, 11, 27, 2, 25, 3, 6, 34, 8, 23, 12, 5, 7, 9, 10, 16, 21, 22, 26",5730123091,30,"8mswl5vzza12hylodrrsq3zvu, akiwokthm1z7rbifshqhs24t1, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 559w0q3q2smb3aeotyi724s9g, 81gka3mi69fh8gyehyy8xo9as, 2tcdx5rp7vujnlid4oqqxdogk, 7l7f98nn8gohmdacsdb2labkk, 1n4eldqa7h9jvcx1693zqu06i, 3avg1grraylzm6xjt5kt18is4, 5dlh0fa9yo6z283w9p58xmnoq, elsygne5tjybbxrqgehtovnro, 5z7y55t2o577r8ki3i5855as, 1fjkjzsei9slx2t4zhsqdkve1, bop31qof3lon7u6rvmb68ktzp, f0nicq49lzng7vjxm5gcpij8, khqldwfq14b7giakss24l9t5, e0u730to91qqtvvx16uhajz10, 74gioldvq6q6xgb3q7k1bv7dg",5730123101,194,5dlh0fa9yo6z283w9p58xmnoq,5730123093,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5730123103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730123099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5730266043,197,16110,5730123097,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299243,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-16T16:59:11.238Z,2025-05-16T16:59:11Z,,,,,5730267691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299245,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-16T16:59:11.238Z,2025-05-16T16:59:13Z,,,,,5730267695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299247,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-05-16T16:59:11.239Z,2025-05-16T16:59:14Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5730267709,279,S,5730267707,213,3.91,5730267701,140,34.7,5730267705,212,22.4,5730267703,141,27.1,5730267699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299255,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,37.0,23.6,2025-05-16T16:59:14.206Z,2025-05-16T16:59:17Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5730267757,56,Right,5730267761,141,3.1,5730267765,213,5.73,5730267759,140,58.3,5730267763,212,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299259,5,1,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,59.2,3.7,2025-05-16T16:59:17.022Z,2025-05-16T16:59:19Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5730267791,212,23.4,5730267787,140,38.3,5730267793,213,2.79,5730267789,141,15.5,5730267785,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299263,6,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,39.2,20.0,2025-05-16T16:59:18.974Z,2025-05-16T16:59:22Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5730267823,140,34.5,5730267821,56,Back,5730267825,141,58.8,5730267827,212,26.8,5730267829,213,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299265,7,1,1,0,11,bd4qakf7j0wwie8wke9km7uj8,1,33.8,63.6,2025-05-16T16:59:22.358Z,2025-05-16T16:59:24Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5730267865,212,18.7,5730267861,140,36.4,5730267867,213,1.42,5730267863,141,90.8,5730267859,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299271,8,1,1,0,12,bd4qakf7j0wwie8wke9km7uj8,1,36.4,90.8,2025-05-16T16:59:23.997Z,2025-05-16T16:59:25Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5730267911,141,96.3,5730267909,140,45.1,5730267915,213,0.39,5730267913,212,9.9,5730267907,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
