id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2720117579,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-14T16:18:54.977Z,2024-09-14T20:23:26Z,,,,,5209913355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209913345,30,"52vwj2s29n7wngablotd7pboq, 8h3cyhuw5049gcxrsld3rw1ec, f58yr2jmfp8kpgprfxbokt1t6, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, dyzzo6n83rg4fpvmqqa69moes, 9fvf8z6p8ok0n5vu999ysfywa, 9ircna8pbskreztmy1wiqwx9m, 9618hk1lq7i6see347k7plkyy, 6bajck5osvj7trnwt2a5mc3dg, b55jtl3ixolidn6cvc4t90efo, 2qedb8t85t1ieeed9613c9crt, 5moycfv7blzfnjqiruao7dv6c, cqgmx6eiriomccxfhykh31r10, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0, 1u46uhxe7outj2f8tsga2nx0p",5209913353,130,24,5209913349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5209913361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209913351,59,"1, 18, 8, 3, 5, 4, 16, 24, 17, 9, 22, 2, 15, 19, 25, 27, 29, 32, 33, 21",5209913357,194,3xz0h3d6r2qgmv9egms8yaz56,5209913359,197,12587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720119867,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-14T16:21:17.702Z,2024-09-14T20:01:51Z,,,,,5209925225,130,7,5210117465,197,9535,5209925231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209925223,59,"1, 22, 3, 10, 2, 4, 18, 28, 26, 7, 30, 9, 12, 14, 21, 24, 31, 32, 33, 34",5209925221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5209925227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209925219,30,"dqqswfn9s1tdxjoslts8ks6xg, 5nved2kta2hk8103hkyhq33hm, 4m7gr5z6b40dj02yrmlwgeluc, 74m58jsznzu8l89b8h7rkh1bd, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, abhfq12njxxutqjtb9zvcusyc, 3mgrufy83uhzs9liw8pwxi784, 3mcj3wypzq3lno1ehc0vif1sl, 619s1phj5bkgkug3aszc1y9cl, e0u730to91qqtvvx16uhajz10, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 45b72f8szmqnv8tz06j7mj1wq, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, k43cten7yb6p59yo0firhb84, egxik3guom123v43rthy89c7o, d2ukggo2v5jsw4pctznmaijo4, 4iypayr7a6oylzojn4houu5n8",5209925229,194,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158617,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-14T17:01:06.769Z,2024-09-14T17:01:07Z,,,,,5210127887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158637,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-14T17:01:06.769Z,2024-09-14T17:01:09Z,,,,,5210127959,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158663,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-09-14T17:01:06.770Z,2024-09-14T17:05:05Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5210128161,279,S,5210128151,56,Back,5210128155,141,51.2,5210128157,212,22.3,5210128159,213,3.10,5210128153,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158709,4,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,0,28.5,50.9,2024-09-14T17:01:10.431Z,2024-09-14T17:01:15Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5210128407,213,5.78,5210128409,1,,5210128401,140,72.0,5210128399,56,Right,5210128397,157,,5210128403,141,14.0,5210128405,212,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158717,3,44,1,0,6,8cfkisxf1fkxdqtt6tx1tup48,1,21.0,89.4,2024-09-14T17:01:13.172Z,2024-09-14T19:07:04Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5210128427,56,Back,5210128641,233,5,5210128429,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158723,5,44,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,79.0,10.6,2024-09-14T17:01:13.173Z,2024-09-14T19:07:05Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5210128679,233,3,5210128463,286,,5210128461,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720158729,4,1,1,0,6,8cfkisxf1fkxdqtt6tx1tup48,0,9.3,95.1,2024-09-14T17:01:13.300Z,2024-09-14T17:05:08Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5210128503,141,81.1,5210128507,213,5.48,5210128497,3,,5210128505,212,13.3,5210128501,140,18.1,5210128499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720161317,38,1,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,1,64.5,21.7,2024-09-14T17:01:15.493Z,2024-09-14T17:04:43Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5210148611,213,1.85,5210148603,56,Center,5210148605,140,61.5,5210148609,212,11.4,5210148607,141,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
