id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2703391133,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-07-26T16:02:33.477Z,2024-07-26T17:19:48Z,,,,,5117891613,197,16344,5117825271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117825269,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, elsygne5tjybbxrqgehtovnro, 5dlh0fa9yo6z283w9p58xmnoq, 5z7y55t2o577r8ki3i5855as, 5i6n6yne6fh410vk7p7kkokmi, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 8gqvlydur0v4cpmz1ozqkejh0, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 81gka3mi69fh8gyehyy8xo9as, 1fjkjzsei9slx2t4zhsqdkve1, 3rok7i8nrt4yzx2melj4qiuqc, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1, 7l7f98nn8gohmdacsdb2labkk",5117825275,130,8,5117825279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117891611,194,5z7y55t2o577r8ki3i5855as,5117825277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117825273,59,"1, 18, 5, 12, 7, 4, 8, 6, 11, 10, 17, 2, 3, 9, 14, 19, 20, 26, 27, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703393247,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-07-26T16:10:56.850Z,2024-07-26T20:34:48Z,,,,,5117837181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117891573,197,6601,5117837185,130,23,5117837189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117837187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117837183,59,"1, 25, 12, 18, 4, 24, 19, 7, 45, 11, 14, 21, 9, 17, 20, 22, 27, 33, 34, 30",5117837179,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, c1p51x3fg0dgss14z9vozfqc4, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, dsfbfzwy3c06mu50ee89qrbsa, 4mxciw9jsj9l437fd7bv78p91, 4m9sp9mxlsjk6fv7v218yqfv9, 3epwf56ozg73hueacwmckk0r9, eso2tbbpnxu9qvx6zy07m5jx0, cqsc3mj8klukkgutdrpegybdg, a48bpdpt0siemxqtr3rubwbu, 9dh7cnu4uzbraeck0t5iqlj4k, 4bkqvwlmbwul0s8lbbq6mifp, 9tdl50o579ut0oj2eec0dprtg, b9g3gwxlao9u6y4elz1sdukmh, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 7odg3dte6eh3uuv1cjnd3oefo",5117891571,194,8uhv14rin2znrr0wqgvcc2f2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402793,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-07-26T16:59:38.584Z,2024-07-26T16:59:38Z,,,,,5117891775,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402795,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-07-26T16:59:38.584Z,2024-07-27T12:33:22Z,,,,,5117891777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402797,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.2,50.1,2024-07-26T16:59:38.585Z,2024-07-26T16:59:43Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5117891787,212,20.8,5117891783,140,33.8,5117891789,213,2.54,5117891785,141,67.3,5117891791,279,S,5117891781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402801,4,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,0,33.8,67.3,2024-07-26T16:59:43.152Z,2024-07-26T16:59:46Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5117891805,141,30.4,5117891801,56,Center,5117891799,157,,5117891807,212,45.5,5117891803,140,69.9,5117891811,1,,5117891809,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402799,3,44,1,0,5,aqtkb4mgrz8c6iqfufj6qjbv9,1,31.9,80.5,2024-07-26T16:59:44.405Z,2024-07-27T12:57:14Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5117891797,285,,5117891831,233,5,5117891795,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402803,5,44,1,0,5,a9vw7ikerpr4cuweeeka5aneg,0,68.1,19.5,2024-07-26T16:59:44.406Z,2024-07-27T12:57:14Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5117891817,286,,5117891815,56,Right,5117891835,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402805,4,1,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,29.3,85.9,2024-07-26T16:59:44.715Z,2024-07-26T19:36:16Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5117891821,56,Back,5117891819,3,,5117891827,212,20.2,5117891823,140,35.9,5117891825,141,58.0,5117891829,213,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402807,6,1,1,0,6,a9vw7ikerpr4cuweeeka5aneg,0,68.6,40.0,2024-07-26T16:59:45.080Z,2024-07-26T17:01:33Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5117891843,56,Center,5117891847,141,35.2,5117891849,212,11.6,5117891851,213,6.00,5117891845,140,79.2,5117891841,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
