id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2738890127,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-10-26T10:06:05.261Z,2024-10-26T10:59:50Z,,,,,5312678541,197,11501,5312608619,130,7,5312608623,194,a30gduuv9d1s4pkthgu2jhyol,5312608615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5312608625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5312608613,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, d4w0nytrfhhtw8xqh7rofq6z9, 615e0bjcd0tyge047sy43y5sl, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 3njsc9nturnshsiofmiy19gr8",5312608617,59,"1, 15, 23, 6, 5, 2, 22, 88, 24, 14, 9, 8, 10, 16, 17, 27, 28, 29, 30, 26",5312608621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738890279,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-26T10:07:47.223Z,2024-10-26T13:50:39Z,,,,,5312609577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5312609573,59,"1, 4, 73, 8, 5, 19, 17, 22, 9, 20, 6, 3, 7, 10, 11, 16, 31, 34, 49",5312629349,194,ef7l91pb4w6yk7lijxjxlievp,5312609579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5312609569,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, ef7l91pb4w6yk7lijxjxlievp, 8rn42gm9xm3yunk883yan9vdg, 11cna826ls27ahux2w0ckapqt, 5hr1cb6e6xb3eyjnau7w4825l, 9l89n30nejpn2u22ygvchwnze, 7j35sfip0xb51mpa91wzikrh0, egwhlgopjtjkop7ozy7ltk1cl, 6gi9kejni27hjp7b43djczz6d, 139g7ilwvcpl519v3scnweg2d, 9nafz0c0x2qvmo5ldm0djmcq1, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 9vbxe5gvruap8h546efz3nx1w, 18vvlxsaoloypja4fdddj687o, ju24rgwcctj5yizl54o91gfe",5312609575,130,7,5312678645,197,5311,5312609571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738903893,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-10-26T11:00:29.475Z,2024-10-29T09:30:57Z,,,,,5312685289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738903879,3,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-26T11:00:29.475Z,2024-10-26T11:00:29Z,,,,,5312685237,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738903931,4,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.1,50.0,2024-10-26T11:00:29.476Z,2024-10-26T11:00:33Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5312685399,140,34.2,5312685401,141,58.8,5312685397,56,Back,5312685403,212,17.7,5312685407,279,S,5312685405,213,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738903999,5,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,1,34.2,58.8,2024-10-26T11:00:33.405Z,2024-10-29T09:31:47Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5324117693,157,,5312685681,56,Center,5312685689,213,5.77,5312685685,141,21.3,5312685691,1,,5312685687,212,52.4,5312685683,140,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904005,6,4,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,1,73.8,19.0,2024-10-26T11:00:35.510Z,2024-10-26T11:00:56Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5312685723,56,Right,5312685729,286,,5312686615,264,,5312685725,152,,5312686073,233,3,5312685721,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738903957,3,4,1,0,6,8gxd9ry2580pu1b1dd5ny9ymy,0,26.2,81.0,2024-10-26T11:00:35.511Z,2024-10-26T11:01:00Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5312686077,233,6,5312686053,152,,5312685521,285,,5312686241,264,,5312685519,56,Back,5312686049,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904449,7,2,1,0,43,7gkglopz9cjsysn2u6sbhuvc5,1,74.8,20.9,2024-10-26T11:01:12.613Z,2024-10-26T11:16:41Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5312749237,5,,5312687797,56,Center,5312687795,7,ef7l91pb4w6yk7lijxjxlievp,5312749239,152,,5312687707,140,95.8,5312687709,141,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904693,5,1,1,1,2,8gxd9ry2580pu1b1dd5ny9ymy,1,7.5,56.0,2024-10-26T11:01:31.545Z,2024-10-26T11:01:35Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,,5312688753,141,72.0,5312688757,213,1.18,5312688755,212,11.8,5312688749,56,Back,5312688745,5,,5312688751,140,11.8,5312688747,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904751,6,1,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,1,12.8,69.4,2024-10-26T11:01:35.738Z,2024-10-26T11:01:39Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5312689035,140,45.1,5312689049,1,,5312689045,213,6.05,5312689033,56,Back,5312689037,141,57.3,5312689041,212,34.9,5312689031,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904761,7,1,1,1,10,8gxd9ry2580pu1b1dd5ny9ymy,0,51.3,53.8,2024-10-26T11:01:39.698Z,2024-10-29T09:34:54Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5312704289,212,9.0,5312704285,140,52.3,5312704291,213,1.45,5312704287,141,66.9,5312689083,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738904833,8,1,1,1,10,7gkglopz9cjsysn2u6sbhuvc5,0,48.4,32.7,2024-10-26T11:01:40.084Z,2024-10-26T12:00:16Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5312689431,157,,5312689441,213,0.52,5312689439,212,35.7,5312689435,140,77.9,5312689443,1,,5312689433,56,Center,5312689437,141,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
