id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2785128471,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-08T11:07:10.272Z,2025-03-08T19:26:01Z,,,,,5564254665,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 9dh7cnu4uzbraeck0t5iqlj4k, 3epwf56ozg73hueacwmckk0r9, cqsc3mj8klukkgutdrpegybdg, 81w1fqi66z0ibawynhraybaxg, a48bpdpt0siemxqtr3rubwbu, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, dfxs5u8rdcxhzp33aks3acdn8, d9hh01mit4geyadol3gmzco9, c2x3pewqx6d9q3c5dup0udxw, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",5564254667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5564254671,130,2,5564254669,59,"1, 25, 12, 18, 4, 24, 22, 17, 11, 21, 10, 9, 14, 15, 20, 23, 26, 33, 34, 45",5564254675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564319463,197,21756,5564254673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564260443,194,8uhv14rin2znrr0wqgvcc2f2t,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785128953,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-08T11:09:47.925Z,2025-03-08T15:29:53Z,,,,,5564257973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564257959,30,"9yxhg70gpwi3e9s84c8qwg0yx, 8q8yol44e42o9hwttlopznvh0, ea2x4o6ufsqoz2zz7tqcnvo16, 3sog1gsk11bwwrf7l7wm2j7dg, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e19g5bz7s9wqcvj8mttztxi0a, 9xub4z9b3bog8wqhn5yfihecp, efubck8twu1elbhlomltnjjtg, 4qyfoq5fjiochtj89w426lm21, b0yv1pcxifawqx6r1cfqq3otm, dxv40hh07gxq4hn0i6dwb2l4a, dwuxps3jv2852642q000wep6, 4dmz3u7j1eoz4ofr1o8tbxedw, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, ebddkdhm6fhar2ir2h7azhslw, 5jyv1dctfxa6335l1mlifwavo, b1ui9n9jlos5a6lofi8fshmvo",5564257961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5564257965,130,12,5564257963,59,"25, 22, 27, 5, 12, 18, 7, 8, 19, 9, 17, 1, 10, 16, 23, 26, 29, 37, 40, 28",5564257971,197,18945,5564257967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564257969,194,cflwegqpzch8y30pb3dhigqnd,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141583,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-08T12:01:16.242Z,2025-03-08T12:01:18Z,,,,,5564323215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141579,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-08T12:01:16.242Z,2025-03-08T12:01:16Z,,,,,5564323211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141603,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.0,50.3,2025-03-08T12:01:16.243Z,2025-03-08T12:50:49Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564323291,141,54.0,5564323293,212,2.9,5564323297,279,S,5564323287,56,Center,5564323289,140,51.3,5564323299,278,,5564323295,213,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141833,4,1,1,0,1,b2vft81kyjurzbmekvgrqwr64,0,49.8,50.3,2025-03-08T12:01:17.747Z,2025-03-08T12:01:56Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5564324427,140,58.2,5564324423,56,Center,5564324437,213,5.39,5564324431,141,34.3,5564324433,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141691,4,1,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,63.3,62.0,2025-03-08T12:01:22.585Z,2025-03-08T19:27:54Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,1.0,,5564323731,141,67.0,5564325019,210,16,5564325021,154,,5564323733,212,24.3,5564323735,213,0.14,5564323729,140,86.2,5564323727,56,Center,5566778295,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785141699,5,16,1,0,9,a9vw7ikerpr4cuweeeka5aneg,1,86.7,59.9,2025-03-08T12:01:25.561Z,2025-03-08T19:27:55Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5564324621,17,,5564325039,29,,5564325049,102,47.3,5564324629,375,00:08.389,5564324619,20,,5564325041,154,,5564324625,374,2025-03-08 12:01:24.631,5564325055,214,,5564325037,80,5564325043,55,4,5566778343,23,5564323757,56,Center,5564325051,103,9.5,5564325063,230,98.2,5564325067,231,51.6,,,,,,,,
2785142047,5,1,1,1,1,b2vft81kyjurzbmekvgrqwr64,1,50.1,50.1,2025-03-08T12:02:18.045Z,2025-03-08T12:02:18Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564325481,141,36.7,5564325479,140,35.4,5564325477,56,Back,5564325483,212,17.9,5564325487,279,G,5564325485,213,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142063,6,1,1,1,2,b2vft81kyjurzbmekvgrqwr64,0,35.4,36.7,2025-03-08T12:02:18.819Z,2025-03-08T12:52:23Z,3sog1gsk11bwwrf7l7wm2j7dg,M. Kristensen,,,5564325545,213,5.90,5564325543,212,35.0,5564325767,189,,5564325539,140,66.3,5564325549,1,,5564325537,56,Right,5564491183,157,,5564325541,141,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
