id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2815607645,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-17T11:04:28.885Z,2025-05-17T12:16:33Z,,,,,5731980861,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5731980863,59,"99, 7, 11, 2, 4, 30, 23, 20, 17, 18, 14, 1, 6, 8, 12, 16, 19, 22, 24, 33",5731980867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5731980859,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, 77ukg02lmfn6r70xfkw9607op, 44gqeji9twbkdtrcr2ias4efo, e3546n3qj447qgmizao50zx1w, bq76t7rh2vynmvwx9mtvnl9g4, 5moycfv7blzfnjqiruao7dv6c, 6bajck5osvj7trnwt2a5mc3dg, 9fvf8z6p8ok0n5vu999ysfywa, 4uuqid6t4nspn0wspyltz3bx0",5731980869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732100719,194,3xz0h3d6r2qgmv9egms8yaz56,5732092243,197,12587,5731980865,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815609121,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-17T11:10:12.403Z,2025-05-17T18:16:58Z,,,,,5731988377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5731988371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5731988369,30,"2g019dl7zougqjo7usig0rf11, e42jh6bbwn4aybdnysonrvutx, bxamae8lo647u6k3kruigir8q, 6eg3kxxg5aneckolraz03xzpw, 4n002w0ii1wqwx8t5xc1bzf2s, ev2s21ogvpjtata4fndi868ve, 19wdr5lrjw3aqm0ap9nklwefo, 15jhbyn4wsbd865fd9djcwaok, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 1mml4inucvyomv1dcog3c1pt5, dqtarwrqvkopmzbt2ovp2dln9, wha77a8wm7jyn32743y0w79x, 1b32j0lqi7ggcabdra4tygxzo, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, auk14ut8cwaqop549u2zmfgt1, ewh6t7yo6clfewu89uznll9uc, 1vfh2k9yurk6t5s1vmgmlmfpw",5731988373,59,"1, 20, 3, 21, 13, 29, 24, 23, 17, 10, 2, 4, 7, 11, 14, 15, 25, 26, 32",5732077341,197,24396,5731988375,130,4,5732097917,194,2g019dl7zougqjo7usig0rf11,5731988379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629613,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-17T12:01:46.950Z,2025-05-17T12:01:49Z,,,,,5732101097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629609,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-17T12:01:46.950Z,2025-05-17T12:01:47Z,,,,,5732101083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629625,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-05-17T12:01:46.951Z,2025-05-17T12:01:49Z,19wdr5lrjw3aqm0ap9nklwefo,Y. Bojang,,,5732101167,140,32.1,5732101175,279,S,5732101169,141,38.3,5732101171,212,20.4,5732101173,213,3.54,5732101163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629659,4,1,1,0,3,dbl7ir1qugqz8nvp1vzn8im50,1,32.5,40.0,2025-05-17T12:01:50.268Z,2025-05-17T12:01:52Z,4n002w0ii1wqwx8t5xc1bzf2s,J. Berthel Askou,,,5732101379,213,0.72,5732101375,141,86.0,5732101381,1,,5732101373,140,66.6,5732101369,155,,5732101371,56,Left,5732101377,212,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629675,5,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,66.6,86.0,2025-05-17T12:01:52.581Z,2025-05-17T12:01:53Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5732101431,3,,5732101433,56,Center,5732101437,141,66.3,5732101441,213,5.42,5732101439,212,17.6,5732101435,140,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629713,3,1,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,21.7,34.0,2025-05-17T12:01:54.549Z,2025-05-17T12:01:57Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732101645,56,Center,5732101649,141,34.6,5732101653,213,0.01,5732101651,212,37.3,5732101647,140,57.2,5732101643,3,,5732101657,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629735,6,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,1,44.5,66.4,2025-05-17T12:01:58.028Z,2025-05-17T12:02:01Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5732101769,140,39.6,5732101771,141,30.0,5732101773,212,25.3,5732101775,213,4.51,5732101767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629781,7,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,0,39.3,29.4,2025-05-17T12:02:00.884Z,2025-05-17T12:02:06Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5732102027,213,6.14,5732102025,212,32.5,5732102019,56,Center,5732102017,155,,5732102029,1,,5732102021,140,69.9,5732102023,141,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629795,4,1,1,0,20,b8oqgvx1ijeyn6y1cn6929ix4,0,26.9,74.7,2025-05-17T12:02:07.504Z,2025-05-17T12:03:03Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732102115,141,100.0,5732102119,213,1.02,5732103847,3,,5732102117,212,21.7,5732102111,56,Back,5732102113,140,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629805,5,5,1,0,21,b8oqgvx1ijeyn6y1cn6929ix4,0,36.0,102.0,2025-05-17T12:02:08.723Z,2025-05-17T12:02:14Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732102173,347,,5732102171,56,Back,5732102247,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629801,8,5,1,0,22,dbl7ir1qugqz8nvp1vzn8im50,1,64.0,-2.0,2025-05-17T12:02:09.156Z,2025-05-17T12:02:35Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5732102145,347,,5732102211,233,5,5732102141,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629879,9,1,1,0,26,dbl7ir1qugqz8nvp1vzn8im50,1,66.7,0.0,2025-05-17T12:02:13.716Z,2025-05-17T12:02:17Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5732102551,140,45.8,5732102553,141,13.5,5732102547,107,,5732102559,213,2.69,5732102561,1,,5732102549,56,Back,5732102555,212,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629921,10,1,1,0,30,dbl7ir1qugqz8nvp1vzn8im50,1,45.5,19.7,2025-05-17T12:02:17.429Z,2025-05-17T12:02:21Z,4n002w0ii1wqwx8t5xc1bzf2s,J. Berthel Askou,,,5732102763,140,49.0,5732102761,56,Back,5732102767,212,27.0,5732102769,213,1.43,5732102765,141,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629937,11,1,1,0,34,dbl7ir1qugqz8nvp1vzn8im50,1,60.3,69.6,2025-05-17T12:02:21.620Z,2025-05-17T12:02:24Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5732102847,212,19.5,5732102845,141,94.1,5732102849,213,1.02,5732102841,56,Left,5732102843,140,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815629997,12,1,1,0,36,dbl7ir1qugqz8nvp1vzn8im50,1,70.0,94.1,2025-05-17T12:02:23.821Z,2025-05-17T12:02:30Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5732103185,213,6.10,5732103177,56,Left,5732103179,140,89.0,5732103181,141,88.7,5732103183,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630005,13,61,1,0,43,dbl7ir1qugqz8nvp1vzn8im50,0,93.3,88.4,2025-05-17T12:02:30.004Z,2025-05-17T12:02:30Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5732103231,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630017,14,5,1,0,44,dbl7ir1qugqz8nvp1vzn8im50,0,101.5,70.9,2025-05-17T12:02:30.973Z,2025-05-17T12:02:37Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5732103301,56,Center,5732103303,346,,5732103447,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630031,6,5,1,0,44,b8oqgvx1ijeyn6y1cn6929ix4,1,-1.5,32.0,2025-05-17T12:02:31.480Z,2025-05-17T12:02:34Z,9delpquqv81o7ftrgefb0wpp0,L. Callø,,,5732103351,56,Back,5732103353,346,,5732103425,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630185,7,1,1,0,59,b8oqgvx1ijeyn6y1cn6929ix4,1,2.4,41.8,2025-05-17T12:02:46.104Z,2025-05-17T12:02:49Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732104205,140,5.1,5732104215,237,,5732104209,212,5.5,5732104211,213,1.03,5732104207,141,48.7,5732104203,56,Back,5732104201,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630201,8,1,1,1,2,b8oqgvx1ijeyn6y1cn6929ix4,1,5.1,48.7,2025-05-17T12:02:49.561Z,2025-05-17T12:02:50Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5732104291,140,15.3,5732104289,56,Back,5732104293,141,38.5,5732104297,213,5.71,5732104295,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630205,9,1,1,1,3,b8oqgvx1ijeyn6y1cn6929ix4,1,15.3,38.5,2025-05-17T12:02:50.424Z,2025-05-17T12:03:24Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5732104313,213,3.77,5732104311,212,11.2,5732104305,56,Back,5732104307,140,6.7,5732104309,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630213,10,1,1,1,4,b8oqgvx1ijeyn6y1cn6929ix4,1,6.7,28.8,2025-05-17T12:02:51.329Z,2025-05-17T12:02:52Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732104367,141,7.9,5732104365,140,10.9,5732104363,56,Back,5732104371,213,5.01,5732104369,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630237,11,1,1,1,5,b8oqgvx1ijeyn6y1cn6929ix4,1,10.9,7.9,2025-05-17T12:02:52.632Z,2025-05-17T12:02:54Z,9delpquqv81o7ftrgefb0wpp0,L. Callø,,,5732104509,213,6.12,5732104501,56,Back,5732104503,140,23.8,5732104507,212,13.7,5732104505,141,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630243,12,61,1,1,7,b8oqgvx1ijeyn6y1cn6929ix4,0,23.8,4.7,2025-05-17T12:02:54.576Z,2025-05-17T12:03:48Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5732104535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630355,15,5,1,1,7,dbl7ir1qugqz8nvp1vzn8im50,1,74.8,101.8,2025-05-17T12:02:54.636Z,2025-05-17T12:03:08Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5732105117,347,,5732105115,56,Left,5732105135,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630255,13,5,1,1,9,b8oqgvx1ijeyn6y1cn6929ix4,0,25.3,-1.8,2025-05-17T12:02:56.080Z,2025-05-17T12:03:07Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5732104611,347,,5732105183,233,15,5732104609,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630387,16,1,1,1,19,dbl7ir1qugqz8nvp1vzn8im50,1,75.6,100.0,2025-05-17T12:03:06.558Z,2025-05-17T12:03:09Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5732105277,213,5.04,5732105275,212,16.2,5732105265,56,Left,5732105263,107,,5732105269,140,80.5,5732105273,141,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630397,17,1,1,1,22,dbl7ir1qugqz8nvp1vzn8im50,0,81.0,80.6,2025-05-17T12:03:09.516Z,2025-05-17T12:03:10Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5732105317,213,0.63,5732105309,56,Left,5732105315,212,5.7,5732105311,140,85.4,5732105313,141,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630421,14,61,1,1,24,b8oqgvx1ijeyn6y1cn6929ix4,1,18.7,7.0,2025-05-17T12:03:11.541Z,2025-05-17T12:03:11Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5732105435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630597,18,5,1,1,25,dbl7ir1qugqz8nvp1vzn8im50,1,83.0,101.5,2025-05-17T12:03:12.468Z,2025-05-17T12:03:29Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5732106377,56,Left,5732106435,233,15,5732106379,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630431,15,5,1,1,25,b8oqgvx1ijeyn6y1cn6929ix4,0,16.0,-1.6,2025-05-17T12:03:12.472Z,2025-05-17T12:03:29Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5732106459,233,18,5732105479,56,Back,5732105481,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630617,19,1,1,1,41,dbl7ir1qugqz8nvp1vzn8im50,0,85.9,100.0,2025-05-17T12:03:28.132Z,2025-05-17T12:03:31Z,19wdr5lrjw3aqm0ap9nklwefo,Y. Bojang,,,5732106563,1,,5732106561,213,4.82,5732106555,140,88.9,5732106557,141,59.0,5732106553,56,Center,5732106551,107,,5732106559,212,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630633,16,12,1,1,45,b8oqgvx1ijeyn6y1cn6929ix4,1,9.6,50.1,2025-05-17T12:03:32.335Z,2025-05-17T12:03:34Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5732106649,141,60.5,5732106645,56,Back,5732106651,212,15.4,5732106653,213,0.48,5732106687,15,,5732106647,140,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630657,20,1,1,1,46,dbl7ir1qugqz8nvp1vzn8im50,0,84.1,45.1,2025-05-17T12:03:32.965Z,2025-05-17T12:03:33Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5732106761,213,5.77,5732106757,141,39.5,5732106755,140,90.5,5732106751,3,,5732106753,56,Center,5732106759,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630763,17,12,1,1,47,b8oqgvx1ijeyn6y1cn6929ix4,1,10.6,59.0,2025-05-17T12:03:34.232Z,2025-05-17T12:06:05Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5732107277,141,84.8,5732107275,140,29.6,5732107273,56,Back,5732107279,212,26.6,5732107281,213,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630755,21,1,1,1,53,dbl7ir1qugqz8nvp1vzn8im50,1,64.6,9.8,2025-05-17T12:03:40.020Z,2025-05-17T12:03:42Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5732107229,212,10.0,5732107223,56,Right,5732107231,213,2.60,5732107225,140,56.4,5732107227,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630811,22,1,1,1,56,dbl7ir1qugqz8nvp1vzn8im50,1,54.6,23.1,2025-05-17T12:03:43.748Z,2025-05-17T12:03:45Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5732107525,141,50.9,5732107517,56,Center,5732107529,213,1.81,5732107527,212,19.4,5732107523,140,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815630901,23,1,1,1,58,dbl7ir1qugqz8nvp1vzn8im50,1,50.3,50.9,2025-05-17T12:03:45.661Z,2025-05-17T12:03:50Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5732108007,140,54.4,5732108013,213,1.35,5732108011,212,20.1,5732108009,141,79.7,5732108005,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
