id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value
2795579685,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-04T16:25:20.790Z,2025-04-04T17:06:20Z,,,,,5621576969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621576959,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, d106tu53y5q02yu36iojbou8k, 7h02v4ymnko5fh01iylbh34es, m031ocyfq011rual3olkegdm, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, d1qyvtgj16160ufegxkspgb9w, 1el3mu4rgcx8tebrawgfvynf8, emakjdiju8z2peey3ytjahz6y, ass2un9by50uzrp6i9njn7nkk, 3wx08y3aabvejd8phcglis3dg, e0nkqbugb4xkpluu5e42zf2ms, em0yawcqyqwf53hbj0zlz4duc",5621576963,59,"1, 2, 3, 4, 14, 26, 18, 6, 27, 10, 15, 7, 8, 9, 11, 16, 20, 22, 25, 34",5621576965,130,13,5621576967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621576961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5621653539,194,bwozpgcm48s08t1glxfgjajmd,5621653541,197,17324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795588473,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-04T16:43:53.175Z,2025-04-04T20:19:20Z,,,,,5621624181,130,2,5621624185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621624183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621655843,197,25972,5621624177,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5621624175,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, ab3nxxoj7bxlnhot9htoex1xw, e8vt8711wb40afht2v13omket, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, e3n8xatusmgu7ttqpfdjanp3p, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 8viazilbghyogmhd7w3lg2six, 86mx27krl6c613x6e3t9g3cic, eyvv6b94feknnp1uew6n0ytat, 9213debwtuph6cjborx73sx78, 6otr0cifkk9jbmxc2ew2spka, kqj7nh6pqmqbt0abyyu0fcpg, x3ad9hfxts6jpfugy3kvq9d5, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, 2k5289tevc2gxo04i83io5a3u, 7k2c7wgoywy7boesjer5578q1",5621634665,194,ezbixgm2km8iapnsl57bn4wkp,5621624179,59,"1, 2, 21, 6, 28, 20, 30, 8, 11, 29, 18, 3, 4, 7, 10, 15, 16, 17, 24, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594363,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-04T17:00:00.872Z,2025-04-04T17:00:01Z,,,,,5621656127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594371,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-04T17:00:00.872Z,2025-04-04T17:00:03Z,,,,,5621656165,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594367,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2025-04-04T17:00:00.873Z,2025-04-04T17:00:02Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5621656151,279,S,5621656149,213,2.52,5621656141,56,Back,5621656147,212,18.0,5621656145,141,65.4,5621656143,140,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594383,4,1,1,0,1,ajtb177oqwawkdwbqhldmq6mx,0,36.0,65.4,2025-04-04T17:00:02.560Z,2025-04-04T17:00:04Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5621656189,157,,5621656201,1,,5621656199,213,5.53,5621656193,140,63.8,5621656195,141,25.0,5621656191,56,Center,5621656197,212,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594401,3,8,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,29.0,75.7,2025-04-04T17:00:08.578Z,2025-04-04T17:18:51Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5621656259,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594407,4,5,1,0,8,bd4qakf7j0wwie8wke9km7uj8,0,49.0,101.0,2025-04-04T17:00:09.529Z,2025-04-04T19:46:25Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621656291,56,Back,5621656293,347,,5621656553,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594449,5,5,1,0,8,ajtb177oqwawkdwbqhldmq6mx,1,51.0,-1.0,2025-04-04T17:00:09.529Z,2025-04-04T19:46:24Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5621656499,347,,5621656497,56,Right,5621656517,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594489,6,1,1,0,16,ajtb177oqwawkdwbqhldmq6mx,0,23.8,0.0,2025-04-04T17:00:17.217Z,2025-04-04T17:00:21Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5621656681,141,20.4,5621656687,1,,5621656685,213,0.40,5621656683,212,38.9,5621656679,140,57.9,5621656677,56,Right,5621656675,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
