id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,qualifier/15/value
2709572063,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-17T12:05:27.084Z,2024-08-17T13:03:15Z,,,,,5151963713,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, bmkwmf5f2ssnw2cq7uga7yd5g, efh8bbfaqg4riyedthbbviuad, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, cod92jjb3qqrg6n1tu15ciwpg, 98mkoolgahktzky97y0khdq1g, 46nx0rm8sod6bbo4a3d7g6jv8, 4yyiv4t6irqpeayug5qgvmkmh",5151963715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5152169121,197,4652,5152169119,194,eas91my7qw7etoha5plxfk9yi,5151963717,59,"1, 2, 21, 10, 25, 15, 7, 8, 14, 19, 12, 4, 5, 6, 11, 16, 18, 26, 39, 22",5151963719,130,8,5151963723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5151963721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709580321,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-17T12:15:08.500Z,2024-08-17T15:20:19Z,,,,,5152069449,194,ef7l91pb4w6yk7lijxjxlievp,5152010179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5152010177,30,"64vlnkuqfh7rnymg8qku8amwa, 6gi9kejni27hjp7b43djczz6d, bvw5oc4c040ey5dt5wn0choiy, 78iynnu6cnznv6fxpo4br4mlm, ef7l91pb4w6yk7lijxjxlievp, 18vvlxsaoloypja4fdddj687o, 11cna826ls27ahux2w0ckapqt, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, 7j35sfip0xb51mpa91wzikrh0, 9nafz0c0x2qvmo5ldm0djmcq1, duahzgqspyuy2gu31u3s8ky96, egwhlgopjtjkop7ozy7ltk1cl, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, 6xnn9048x2zmwprfsg0lhq61g, ju24rgwcctj5yizl54o91gfe",5152010187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5152010181,59,"1, 3, 2, 29, 5, 34, 17, 8, 9, 20, 10, 4, 6, 11, 16, 22, 23, 27, 37, 49",5152168437,197,25474,5152010183,130,8,5152010185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709609847,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-17T13:00:48.986Z,2024-08-17T13:00:49Z,,,,,5152176175,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709609857,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-17T13:00:48.986Z,2024-08-17T13:00:51Z,,,,,5152176239,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709609897,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.9,50.4,2024-08-17T13:00:48.987Z,2024-08-17T13:00:52Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5152176471,141,56.7,5152176473,212,24.0,5152176475,213,2.96,5152176469,140,27.4,5152176467,56,Back,5152176477,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709609985,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,1,27.5,57.6,2024-08-17T13:00:52.650Z,2024-08-17T13:00:58Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5152176897,213,5.71,5152176899,1,,5152176891,140,78.4,5152176889,56,Right,5152176887,157,,5152176895,212,63.5,5152176893,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610011,5,1,1,0,9,f1h34qp5zbfl489q8vnkhiq9s,1,78.4,7.1,2024-08-17T13:00:58.026Z,2024-08-17T13:03:11Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5152177051,141,18.5,5152177055,213,1.68,5152177053,212,7.8,5152177049,140,77.6,5152177047,56,Right,5152177045,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610087,6,1,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,1,74.4,11.1,2024-08-17T13:01:00.426Z,2024-08-17T13:03:24Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5152177439,56,Right,5152177447,213,0.08,5152177445,212,11.5,5152177443,141,12.5,5152177441,140,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610097,8,1,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,0,88.5,7.4,2024-08-17T13:01:00.883Z,2024-08-17T13:04:19Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5152191079,212,8.2,5152191077,141,16.2,5152191073,56,Right,5152191075,140,83.1,5152191081,213,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610069,4,1,1,0,12,7gkglopz9cjsysn2u6sbhuvc5,1,27.6,72.3,2024-08-17T13:01:01.498Z,2024-08-17T15:16:20Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5152177315,56,Back,5152177321,212,11.0,5152177319,141,85.6,5152177317,140,33.6,5152177323,213,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
