id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2706887125,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-09T16:00:52.162Z,2024-08-09T20:54:16Z,,,,,5137191097,130,8,5137191093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5137280335,197,11501,5137191099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137191101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137281127,194,a30gduuv9d1s4pkthgu2jhyol,5137191095,59,"1, 15, 23, 6, 25, 2, 16, 11, 9, 14, 22, 5, 8, 10, 12, 21, 24, 29, 30, 32",5137191091,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, 6uwvbagahvoavs630k8uksxjp, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, dncrhma6gwcn6pxiu7hfc6qz8, dshwz1df0rbe0fztksawvd0wl, d4w0nytrfhhtw8xqh7rofq6z9, 615e0bjcd0tyge047sy43y5sl, g2cgdv428rmpmb0om40ldses, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 3njsc9nturnshsiofmiy19gr8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706887389,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-09T16:03:22.333Z,2024-08-09T20:13:43Z,,,,,5137192533,194,ezbixgm2km8iapnsl57bn4wkp,5137192527,59,"13, 2, 3, 6, 5, 23, 8, 18, 11, 26, 22, 1, 10, 12, 14, 16, 21, 27, 28, 9",5137192529,130,4,5137282811,197,19798,5137192523,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 38shfw53eg5qtvem3d3ou04r8, ezbixgm2km8iapnsl57bn4wkp, 86mx27krl6c613x6e3t9g3cic, 8i0o1b8rjsab9se3v6vteqmfo, 8xfqengyrwgxhhi86ok88vf2s, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, as7qhgi67gngq0nb3zmwg8jro, 9213debwtuph6cjborx73sx78, e8vt8711wb40afht2v13omket, dja68kdmhtsm9x5zqzgtpqas4, ab3nxxoj7bxlnhot9htoex1xw, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, zpl7lyln792rt0b2oedamvbo",5137192525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5137192535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137192531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904739,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-09T17:00:10.299Z,2024-08-09T17:00:10Z,,,,,5137283681,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904747,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-09T17:00:10.299Z,2024-08-09T17:00:11Z,,,,,5137283701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904755,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.1,50.0,2024-08-09T17:00:10.300Z,2024-08-09T17:00:13Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5137283733,56,Back,5137283741,213,2.68,5137283739,212,21.9,5137283737,141,64.2,5137283743,279,S,5137283735,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904765,4,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,1,31.4,64.2,2024-08-09T17:00:13.279Z,2024-08-09T17:00:14Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5137283769,56,Back,5137283771,140,35.4,5137283775,212,23.8,5137283777,213,4.89,5137283773,141,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904775,5,1,1,0,4,ajtb177oqwawkdwbqhldmq6mx,1,35.4,29.8,2024-08-09T17:00:14.599Z,2024-08-09T17:00:38Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5137283823,1,,5137283811,157,,5137283815,140,75.6,5137283817,141,42.7,5137283819,212,43.1,5137283813,56,Center,5137283821,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904781,6,61,1,0,10,ajtb177oqwawkdwbqhldmq6mx,0,82.8,62.9,2024-08-09T17:00:20.671Z,2024-08-09T17:01:56Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5137283843,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904795,3,43,1,0,10,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-09T17:00:21.293Z,2024-08-09T17:03:12Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5137283935,141,50.1,5137283931,56,Back,5137289379,144,12,5137283937,212,12.5,5137283933,140,26.6,5137283939,213,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904809,4,12,1,0,12,8gxd9ry2580pu1b1dd5ny9ymy,1,23.2,24.6,2024-08-09T17:00:22.428Z,2024-08-09T17:07:21Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5137283977,56,Back,5137283979,140,36.9,5137283981,141,31.5,5137283985,213,0.32,5137283983,212,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
