id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2711315919,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-20T15:58:47.255Z,2024-08-20T16:58:27Z,,,,5161614695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161614689,59,"1, 3, 27, 20, 21, 2, 8, 6, 9, 10, 17, 4, 11, 12, 14, 18, 22, 23, 26, 34",5161658485,197,16344,5161614691,130,8,5161614693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161614687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5161614685,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, bpldj4qdzfdm1n739atcadbmc, khqldwfq14b7giakss24l9t5, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, 8gqvlydur0v4cpmz1ozqkejh0, 5dlh0fa9yo6z283w9p58xmnoq, 3rok7i8nrt4yzx2melj4qiuqc, 9lsylzgf7e3i5zb0fshnxo6xg, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 7l7f98nn8gohmdacsdb2labkk",5161658483,194,bpldj4qdzfdm1n739atcadbmc,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316981,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-20T16:06:16.660Z,2024-08-20T19:21:08Z,,,,5161620869,59,"1, 15, 23, 30, 5, 2, 22, 6, 24, 11, 9, 10, 16, 17, 21, 27, 28, 29, 32, 7",5161658451,197,11501,5161620873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161620867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5161620875,194,a30gduuv9d1s4pkthgu2jhyol,5161620877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161620865,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 45dqseup0cmujyl4nprr29y0a, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, 4oxf446ya7jwulq6hxlp8r36d, 5e5fuj7mbkpvf0bug32ixxc5x, 6uwvbagahvoavs630k8uksxjp, 9tt9eo9bsff7dp7aqjal1obo4, 615e0bjcd0tyge047sy43y5sl, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 3njsc9nturnshsiofmiy19gr8, 2cup1vjw8n43kbzzxfflnmplg",5161620871,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323215,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-20T17:00:49.238Z,2024-08-20T17:00:49Z,,,,5161659377,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323217,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-20T17:00:49.238Z,2024-08-20T17:00:51Z,,,,5161659381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323223,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.0,50.0,2024-08-20T17:00:49.239Z,2024-08-20T17:00:51Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,5161659409,279,S,5161659403,141,31.5,5161659407,213,3.84,5161659405,212,19.6,5161659401,140,35.7,5161659399,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323235,4,1,1,0,2,8gxd9ry2580pu1b1dd5ny9ymy,1,33.5,32.4,2024-08-20T17:00:51.672Z,2024-08-20T17:00:58Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5161659475,56,Back,5161659477,140,35.1,5161659481,212,24.4,5161659479,141,68.2,5161659483,213,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323241,5,1,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,1,36.8,79.9,2024-08-20T17:00:57.840Z,2024-08-20T17:01:01Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5161659517,140,66.7,5161659521,212,31.6,5161659523,213,6.18,5161659515,56,Center,5161659519,141,75.1,5161659513,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323243,6,3,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,0,67.2,69.8,2024-08-20T17:01:00.967Z,2024-08-20T17:56:34Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5161659527,56,Center,5161659529,286,,5161659597,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323255,3,7,1,0,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,32.8,30.2,2024-08-20T17:01:00.968Z,2024-08-20T17:56:34Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5161659593,233,6,5161659587,56,Back,5161659589,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323373,17,61,1,0,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,29.3,39.5,2024-08-20T17:01:02.458Z,2024-08-20T17:02:09Z,bpldj4qdzfdm1n739atcadbmc,B. Kücükylidiz,,5161660611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
