id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2705185407,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-02T16:10:37.043Z,2024-08-02T17:07:59Z,,,,,5127783031,130,4,5127825181,194,3od63zrf6cay4d6ync9i2iuqc,5127783025,30,"cu2l7ju3t72stqhwaurrnqbqh, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, 3od63zrf6cay4d6ync9i2iuqc, b1kyjkhaaiw32cb4bubbpm7tg, 23sc7wc7my7wes6cuaxw1v0no, ayxi2m0g0pm6rl1ba5pto66z9, 9jqox80arzpytv1b136jobhpm, 6wfu6s6xo5zjeke21fgbouql0, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, 6yev7nszmpylpqncom2gdkul1, 6lb4k3g75nzgi8bp1y1mzxkru, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, eiy7fhqxdx3ypg4dq4454hpbe",5127783027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5127783029,59,"1, 14, 17, 13, 5, 4, 21, 7, 16, 8, 98, 2, 3, 9, 18, 19, 90",5127783035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127783033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5127825183,197,11563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705185673,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T16:11:54.253Z,2024-08-02T21:10:36Z,,,,,5127784621,194,1nn1wc14k9zd3wtu73loj7kes,5127784619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127784611,30,"6sdv4s8oz558wfhx72vwlpvu2, 6bajck5osvj7trnwt2a5mc3dg, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, f58yr2jmfp8kpgprfxbokt1t6, 8h3cyhuw5049gcxrsld3rw1ec, 9ircna8pbskreztmy1wiqwx9m, 1nn1wc14k9zd3wtu73loj7kes, 9fvf8z6p8ok0n5vu999ysfywa, 9618hk1lq7i6see347k7plkyy, e3546n3qj447qgmizao50zx1w, b6l4m6bmqgil9bjjov4tnuivo, 2qedb8t85t1ieeed9613c9crt, dyzzo6n83rg4fpvmqqa69moes, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0",5127784625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127784613,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127784615,59,"99, 22, 11, 3, 5, 4, 8, 18, 17, 7, 24, 9, 12, 14, 15, 16, 27, 29, 32, 33",5127784623,197,12587,5127784617,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192687,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T17:00:10.032Z,2024-08-05T11:07:37Z,,,,,5127825533,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192685,6,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-02T17:00:10.032Z,2024-08-02T17:00:10Z,,,,,5127825531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192695,7,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,49.9,50.0,2024-08-02T17:00:10.033Z,2024-08-02T17:00:13Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5127825553,56,Back,5127825563,279,S,5127825557,141,36.8,5127825555,140,34.9,5127825559,212,18.1,5127825561,213,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192705,8,1,1,0,3,6wwwud48qahpwrfxs20334qk5,1,35.8,33.1,2024-08-02T17:00:13.228Z,2024-08-02T17:00:16Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5127825605,213,5.08,5127825601,141,8.5,5127825597,56,Back,5127825599,140,42.0,5127825603,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192709,9,1,1,0,6,6wwwud48qahpwrfxs20334qk5,1,41.7,5.5,2024-08-02T17:00:16.716Z,2024-08-02T17:00:17Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127825623,140,45.9,5127825627,212,6.3,5127825625,141,12.2,5127825629,213,0.80,5127825621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192713,10,1,1,0,7,6wwwud48qahpwrfxs20334qk5,1,45.9,12.7,2024-08-02T17:00:17.676Z,2024-08-02T17:00:19Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5127825651,212,9.9,5127825649,141,4.1,5127825645,56,Back,5127825647,140,38.3,5127825653,213,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192725,11,1,1,0,9,6wwwud48qahpwrfxs20334qk5,1,38.3,4.3,2024-08-02T17:00:19.307Z,2024-08-02T17:00:21Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127825697,56,Back,5127825713,213,2.44,5127825705,141,16.7,5127825701,140,28.8,5127825709,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192747,12,1,1,0,11,6wwwud48qahpwrfxs20334qk5,1,28.8,20.2,2024-08-02T17:00:21.243Z,2024-08-02T17:00:25Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127825819,213,1.72,5127825813,140,26.0,5127825815,141,48.7,5127825811,56,Back,5127825817,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
