id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2787800991,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-14T17:05:50.862Z,2025-03-14T17:58:33Z,,,,5578871239,194,3xz0h3d6r2qgmv9egms8yaz56,5578871233,59,"99, 7, 10, 3, 2, 4, 23, 20, 17, 24, 14, 1, 8, 9, 11, 12, 16, 18, 19, 30",5578871235,130,17,5578871241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578871237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578966499,197,12587,5578871229,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, 44gqeji9twbkdtrcr2ias4efo, 9618hk1lq7i6see347k7plkyy, f1ba9g771s0zeel0titcj3omi, e3546n3qj447qgmizao50zx1w, bq76t7rh2vynmvwx9mtvnl9g4, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 9delpquqv81o7ftrgefb0wpp0",5578871231,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2787806969,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-14T17:27:09.393Z,2025-03-14T18:05:47Z,,,,5578905553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578973031,194,cflwegqpzch8y30pb3dhigqnd,5578905547,59,"25, 27, 22, 5, 12, 18, 7, 8, 19, 9, 17, 1, 10, 13, 16, 23, 26, 29, 37, 40",5578905549,130,12,5578963415,197,18945,5578905543,30,"9yxhg70gpwi3e9s84c8qwg0yx, ea2x4o6ufsqoz2zz7tqcnvo16, 8q8yol44e42o9hwttlopznvh0, 3sog1gsk11bwwrf7l7wm2j7dg, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e19g5bz7s9wqcvj8mttztxi0a, 9xub4z9b3bog8wqhn5yfihecp, efubck8twu1elbhlomltnjjtg, 4qyfoq5fjiochtj89w426lm21, b0yv1pcxifawqx6r1cfqq3otm, dxv40hh07gxq4hn0i6dwb2l4a, dwuxps3jv2852642q000wep6, ebd3uvtt54wkdsahc2127j02c, 4dmz3u7j1eoz4ofr1o8tbxedw, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, ebddkdhm6fhar2ir2h7azhslw, 5jyv1dctfxa6335l1mlifwavo",5578905545,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578905551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820563,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-14T18:03:13.799Z,2025-03-14T18:03:14Z,,,,5578976867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820565,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-14T18:03:13.799Z,2025-03-14T18:03:16Z,,,,5578976871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820571,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2025-03-14T18:03:14.214Z,2025-03-14T18:03:16Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5578976891,141,59.0,5578976889,140,36.5,5578976897,279,S,5578976887,56,Back,5578976895,213,2.73,5578976893,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820613,4,1,1,0,2,b8oqgvx1ijeyn6y1cn6929ix4,1,36.2,59.6,2025-03-14T18:03:15.917Z,2025-03-14T18:03:19Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,5578977127,213,1.59,5578977121,140,35.8,5578977123,141,91.7,5578977125,212,21.8,5578977119,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820631,5,1,1,0,5,b8oqgvx1ijeyn6y1cn6929ix4,1,35.8,91.7,2025-03-14T18:03:18.884Z,2025-03-14T18:03:20Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,5578977219,140,23.9,5578977217,56,Back,5578977221,141,45.5,5578977225,213,4.33,5578977223,212,33.8,5578977227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820671,6,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,1,23.9,45.5,2025-03-14T18:03:20.700Z,2025-03-14T18:03:24Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,5578977455,213,1.50,5578977453,212,18.7,5578977449,140,25.2,5578977451,141,72.9,5578977447,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820711,7,1,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,0,25.2,77.2,2025-03-14T18:03:24.022Z,2025-03-14T18:03:27Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5578977691,212,47.0,5578977693,213,0.35,5578977695,1,,5578977687,140,67.2,5578977685,56,Left,5578977683,155,,5578977689,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820737,3,5,1,0,13,b2vft81kyjurzbmekvgrqwr64,1,33.2,-1.3,2025-03-14T18:03:27.552Z,2025-03-14T20:41:50Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5578977835,233,8,5578977831,347,,5578977829,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820713,8,5,1,0,13,b8oqgvx1ijeyn6y1cn6929ix4,0,66.8,101.3,2025-03-14T18:03:27.552Z,2025-03-14T20:41:51Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5578977881,233,3,5578977699,56,Left,5578977701,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820779,4,1,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,34.1,0.0,2025-03-14T18:03:29.645Z,2025-03-14T18:03:34Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5578978071,107,,5578978081,213,2.49,5578978083,1,,5578978077,141,19.4,5578978079,212,23.6,5578978075,140,16.2,5578978073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
