id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2812390493,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-10T10:58:33.870Z,2025-05-10T20:20:34Z,,,,,5714216893,130,13,5714216891,59,"1, 31, 21, 4, 23, 3, 7, 6, 8, 11, 10, 5, 14, 17, 20, 22, 26, 28, 29, 33",5714216895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714216887,30,"dqqswfn9s1tdxjoslts8ks6xg, k43cten7yb6p59yo0firhb84, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 7al9w77ailhli8g487tkl32tw, 4m7gr5z6b40dj02yrmlwgeluc, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, 444n8m1tirk6lp739iigw42c5, abhfq12njxxutqjtb9zvcusyc, 74m58jsznzu8l89b8h7rkh1bd, 1icurh5jrnw1e6jdgqxjnhdnu, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, 5nved2kta2hk8103hkyhq33hm, 3mcj3wypzq3lno1ehc0vif1sl, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g",5714216889,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5714244021,194,619s1phj5bkgkug3aszc1y9cl,5714216897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714364943,197,9535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812391677,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-10T11:02:12.464Z,2025-05-10T18:33:11Z,,,,,5714222091,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, bh06w40pwo6dy3cjrw3r2i0ru, a7eramyy1bd8msxmg84ctc8ut, oywgthoxa153nf48la1j8v10, 139g7ilwvcpl519v3scnweg2d, egwhlgopjtjkop7ozy7ltk1cl, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, 6t6k24gn6zwxz1g6c3n4ph0q, 9nafz0c0x2qvmo5ldm0djmcq1, 7ar33yy0wd5ah5o8om1l12pgq, ag1psg17osvgbq5fz9xo7kmj8, 8rn42gm9xm3yunk883yan9vdg, 5hr1cb6e6xb3eyjnau7w4825l, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, 1655gyu9bjnslw7vfloe40h2i, 38jmonnxtgyvddm5yird951xw",5714222097,130,2,5714222095,59,"1, 4, 2, 20, 8, 73, 7, 6, 49, 17, 27, 10, 11, 18, 19, 22, 31, 47, 30, 5",5714222101,194,139g7ilwvcpl519v3scnweg2d,5714222099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714222093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5714222103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714366901,197,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422341,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-10T12:00:33.174Z,2025-05-10T12:00:33Z,,,,,5714375855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422347,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-10T12:00:33.174Z,2025-05-10T12:00:35Z,,,,,5714375877,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422371,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2025-05-10T12:00:33.175Z,2025-05-10T12:00:36Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5714376009,213,3.43,5714376003,140,24.9,5714376007,212,27.5,5714376005,141,38.5,5714376001,56,Back,5714376011,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422405,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,1,26.1,37.3,2025-05-10T12:00:35.482Z,2025-05-10T12:00:39Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5714376165,141,83.8,5714376161,56,Left,5714376163,140,63.8,5714376167,212,50.7,5714376169,213,0.67,5714376159,157,,5714376171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422417,5,44,1,0,4,7gkglopz9cjsysn2u6sbhuvc5,1,63.2,83.0,2025-05-10T12:00:38.096Z,2025-05-10T14:08:53Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714376219,56,Left,5714376221,286,,5714376281,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422397,3,44,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,0,36.8,17.0,2025-05-10T12:00:38.097Z,2025-05-10T14:08:53Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5714376335,233,5,5714376147,56,Back,5714376149,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422425,6,1,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,63.8,83.8,2025-05-10T12:00:38.262Z,2025-05-10T14:09:32Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714376247,213,5.39,5714376237,3,,5714376239,56,Center,5714376243,141,77.5,5714376245,212,5.5,5714376241,140,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422461,4,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,0,25.2,39.0,2025-05-10T12:00:40.586Z,2025-05-10T12:00:42Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5714376433,212,32.3,5714376435,213,6.10,5714376425,157,,5714376431,141,30.3,5714376429,140,55.4,5714376437,1,,5714376427,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
