id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2809152535,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-03T09:46:23.924Z,2025-05-03T17:01:03Z,,,,,5696341115,59,"16, 2, 21, 5, 25, 15, 7, 10, 14, 17, 12, 1, 3, 4, 6, 9, 8, 27, 32, 38",5696341117,130,7,5696341113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696341123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696341111,30,"45bcgucg627rhrdgt8tn9hd9m, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 7wo1hk736v1xhovvu2t2trw89, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 7fkc01xxyl1trj3uav134ehyi, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, 8k4wwchytdstpn0yhrxd5nbv9, 4mxciw9jsj9l437fd7bv78p91, 15yli690oxmbr4dl1ksti2p9m, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5696341121,194,1se7wkenvs4elrapvdw9mdnje,5696341119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696393901,197,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809153793,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-03T09:52:59.396Z,2025-05-03T10:37:46Z,,,,,5696348921,59,"1, 3, 12, 24, 34, 4, 17, 20, 11, 22, 10, 14, 15, 16, 18, 21, 26, 27, 28, 31",5696396391,194,8uhv14rin2znrr0wqgvcc2f2t,5696348919,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696348925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696348917,30,"8uhv14rin2znrr0wqgvcc2f2t, 6qko3f8w2ap9ynbuq2g55i5n8, bdz03qovxerzrv12lgljae1p0, 4lxxyqy78jkglhv2w6crzcnsa, 4i0jiisff5k1efcgf27skpqfo, 5lu7bn7uec3zjqpoi1x81gbu1, 9dh7cnu4uzbraeck0t5iqlj4k, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, 5w0giylttgiapseaw6qky0mxg, cqsc3mj8klukkgutdrpegybdg, c2x3pewqx6d9q3c5dup0udxw, 7hso2bszmf4qal560jhrg2904, 7353ysa16qgg30b9z5qiagys4, 2h94np282g0qtzal1czznequi",5696348927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696396393,197,6601,5696348923,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163845,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-03T10:32:05.300Z,2025-05-03T10:32:05Z,,,,,5696400275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163851,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-03T10:32:05.300Z,2025-05-03T10:32:08Z,,,,,5696400299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163855,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,50.1,2025-05-03T10:32:05.429Z,2025-05-03T10:32:07Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5696400315,140,24.4,5696400317,141,67.8,5696400313,56,Back,5696400323,279,S,5696400321,213,2.72,5696400319,212,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163885,4,1,1,0,2,f1h34qp5zbfl489q8vnkhiq9s,0,24.9,66.9,2025-05-03T10:32:07.919Z,2025-05-03T10:32:12Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5696400483,1,,5696400473,56,Center,5696400479,212,54.0,5696400477,141,23.0,5696400475,140,67.8,5696400471,155,,5696400481,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163891,3,12,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,29.3,82.3,2025-05-03T10:32:13.456Z,2025-05-03T10:35:53Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5696400509,56,Back,5696400511,140,28.8,5696400513,141,100.0,5696400577,167,,5696400547,15,,5696400517,213,1.61,5696400515,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163903,4,5,1,0,8,a9vw7ikerpr4cuweeeka5aneg,0,26.0,101.0,2025-05-03T10:32:14.167Z,2025-05-03T12:36:01Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5696400573,56,Back,5696400949,233,5,5696400575,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163959,5,5,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,1,74.0,-1.0,2025-05-03T10:32:14.167Z,2025-05-03T12:36:01Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5696400913,233,4,5696400897,347,,5696400895,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163987,6,1,1,0,23,f1h34qp5zbfl489q8vnkhiq9s,1,83.1,0.0,2025-05-03T10:32:29.278Z,2025-05-03T10:32:32Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5696401023,141,16.7,5696401017,107,,5696401027,212,13.3,5696401031,213,1.93,5696401019,56,Right,5696401021,140,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
