id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/14/value,qualifier/11/value
2712374545,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-24T14:13:08.462Z,2024-08-24T14:57:49Z,,,,,5167457987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167457971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5167859427,197,6601,5167457981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167457985,194,8uhv14rin2znrr0wqgvcc2f2t,5167457973,59,"1, 25, 12, 18, 4, 33, 15, 14, 45, 11, 10, 6, 7, 8, 9, 17, 21, 24, 31, 34",5167457977,130,4,5167457969,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 61vr9xr91fr4g6ayzga5vn9w5, cl4xl80n4gew1ox03r3ooshrd, eso2tbbpnxu9qvx6zy07m5jx0, 4m9sp9mxlsjk6fv7v218yqfv9, 3epwf56ozg73hueacwmckk0r9, 81w1fqi66z0ibawynhraybaxg, 4m3slt6iikaxklqd12i719rl5, 4mxciw9jsj9l437fd7bv78p91, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, 4lxxyqy78jkglhv2w6crzcnsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712377703,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-24T14:14:37.037Z,2024-08-24T17:50:43Z,,,,,5167474393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167859625,197,5311,5167474385,30,"64vlnkuqfh7rnymg8qku8amwa, bvw5oc4c040ey5dt5wn0choiy, duahzgqspyuy2gu31u3s8ky96, 78iynnu6cnznv6fxpo4br4mlm, a7eramyy1bd8msxmg84ctc8ut, 6xnn9048x2zmwprfsg0lhq61g, 4csz412vb3lquessbnf999ct0, 7j35sfip0xb51mpa91wzikrh0, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, 7ar33yy0wd5ah5o8om1l12pgq, ef7l91pb4w6yk7lijxjxlievp, egwhlgopjtjkop7ozy7ltk1cl, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, 9nafz0c0x2qvmo5ldm0djmcq1, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 18vvlxsaoloypja4fdddj687o",5167474389,59,"1, 2, 4, 29, 8, 37, 23, 20, 49, 17, 11, 5, 6, 7, 9, 10, 16, 22, 27, 34",5167474387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5167474395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167859965,194,a7eramyy1bd8msxmg84ctc8ut,5167474391,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450029,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-24T14:59:37.857Z,2024-08-24T14:59:40Z,,,,,5167864141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450021,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-24T14:59:37.857Z,2024-08-24T14:59:38Z,,,,,5167864119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450043,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.3,49.9,2024-08-24T14:59:37.858Z,2024-08-24T14:59:40Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5167864237,212,10.0,5167864239,213,3.00,5167864235,141,51.9,5167864231,56,Back,5167864233,140,40.9,5167864241,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450089,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,1,40.9,51.9,2024-08-24T14:59:40.544Z,2024-08-24T14:59:46Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5167864487,212,13.6,5167864489,213,4.97,5167864483,140,44.2,5167864481,56,Back,5167864485,141,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450101,5,1,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,45.8,32.4,2024-08-24T14:59:43.241Z,2024-08-24T15:16:22Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5167864545,213,5.45,5167864541,141,0.0,5167864537,56,Right,5167864539,140,65.8,5167864543,212,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450121,3,5,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,29.7,101.2,2024-08-24T14:59:44.649Z,2024-08-24T17:10:41Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5167864647,233,6,5167864633,56,Back,5167864635,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450103,6,5,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,0,70.3,-1.2,2024-08-24T14:59:44.649Z,2024-08-24T17:22:08Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5167864549,347,,5167864547,56,Right,5167864685,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712450163,4,1,1,0,11,a9vw7ikerpr4cuweeeka5aneg,1,22.3,100.0,2024-08-24T14:59:49.104Z,2024-08-24T14:59:52Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5167864777,56,Back,5167864781,140,19.1,5167864785,141,84.2,5167864771,107,,5167864789,213,4.43,5167864787,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
