id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2703393025,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-07-26T16:09:37.748Z,2024-07-26T20:30:11Z,,,,,5117835889,130,12,5117891579,197,18945,5117835891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117835893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117835887,59,"1, 7, 27, 13, 3, 18, 24, 11, 9, 14, 6, 26, 4, 8, 10, 12, 50, 17, 22, 30",5117835883,30,"dxv40hh07gxq4hn0i6dwb2l4a, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, lu9bber07etravimh00k745x, cflwegqpzch8y30pb3dhigqnd, 1f510mbuc4i1mmshqlgim5u6s, bp232fgjrfyok2471ec7u1tcl, 9b89pmcjk6re94bjp0ixeatjo, 8gdfn7j6xac9p4jh94hk40jdg, 1xcf8y3egy8j0g2c6xkcx6o6h, e0rgqk3gxzs005m9ok9hvp1ck, ayhdul772mr22qoly04psb3f8, k3qdvvg6cmatp55ivsa9714a, dwuxps3jv2852642q000wep6, 6bv0j0ezhh9u5u5hqz64p790q, xd4gm9uiq807dri1gs3ltclw, b0yv1pcxifawqx6r1cfqq3otm, 8q8yol44e42o9hwttlopznvh0, 6xhxqcmi0g6h61y2pl9v89xjo",5117891577,194,lu9bber07etravimh00k745x,5117835885,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703393103,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-07-26T16:10:11.788Z,2024-07-26T20:37:47Z,,,,,5117836345,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, auv81snxkpk2ybxzi8giy5azt, bmkwmf5f2ssnw2cq7uga7yd5g, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 7wo1hk736v1xhovvu2t2trw89, dkuinrikn3htd1kilcsce2bit, ate1ymumg2iwzn8uyyf3ts222, 9xxdec5pv5plas9ve4ehs4nop, 15jis83lol1yvu17js2m0g8b8, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 45bcgucg627rhrdgt8tn9hd9m, 4yyiv4t6irqpeayug5qgvmkmh, 98mkoolgahktzky97y0khdq1g, 46nx0rm8sod6bbo4a3d7g6jv8",5117891575,197,7812,5117836347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117836351,130,8,5117836357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117836353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117836349,59,"1, 2, 21, 19, 5, 15, 7, 10, 11, 12, 9, 3, 4, 6, 8, 14, 16, 22, 26, 39",5117836355,194,dkuinrikn3htd1kilcsce2bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402843,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-07-26T17:00:17.812Z,2024-07-26T17:00:18Z,,,,,5117892085,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402845,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-07-26T17:00:17.812Z,2024-07-27T09:40:43Z,,,,,5117892087,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402851,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.0,50.0,2024-07-26T17:00:17.813Z,2024-07-26T17:00:21Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5117892113,56,Back,5117892117,141,42.7,5117892121,213,3.34,5117892123,279,S,5117892119,212,25.4,5117892115,140,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402855,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,1,26.9,43.9,2024-07-26T17:00:21.649Z,2024-07-26T17:00:25Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5117892141,140,45.3,5117892139,56,Back,5117892145,212,20.6,5117892143,141,54.6,5117892147,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402859,5,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,42.2,37.3,2024-07-26T17:00:25.202Z,2024-07-26T17:00:29Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5117892173,213,4.95,5117892169,141,9.8,5117892165,56,Back,5117892171,212,19.2,5117892167,140,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402861,6,1,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,1,47.0,7.7,2024-07-26T17:00:29.227Z,2024-07-26T17:00:30Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5117892177,56,Back,5117892185,213,1.88,5117892183,212,16.0,5117892181,141,30.1,5117892179,140,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402865,7,1,1,0,12,f1h34qp5zbfl489q8vnkhiq9s,1,41.5,30.1,2024-07-26T17:00:30.346Z,2024-07-26T17:00:31Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5117892191,56,Back,5117892199,213,2.66,5117892195,141,40.3,5117892193,140,28.8,5117892197,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402873,8,1,1,0,13,f1h34qp5zbfl489q8vnkhiq9s,1,29.0,41.5,2024-07-26T17:00:31.379Z,2024-07-26T17:00:35Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5117892243,140,28.8,5117892247,212,27.9,5117892241,56,Back,5117892249,213,1.58,5117892245,141,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
