id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value
2805748091,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-25T16:13:56.746Z,2025-04-26T12:00:40Z,,,,,5677535661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677535663,194,3xz0h3d6r2qgmv9egms8yaz56,5677535657,59,"99, 7, 11, 3, 4, 30, 23, 20, 17, 24, 14, 1, 2, 8, 12, 16, 18, 19, 22, 33",5677535655,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677535665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677535659,130,17,5677632629,197,12588,5677535653,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, 3xz0h3d6r2qgmv9egms8yaz56, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, b55jtl3ixolidn6cvc4t90efo, 44gqeji9twbkdtrcr2ias4efo, e3546n3qj447qgmizao50zx1w, bq76t7rh2vynmvwx9mtvnl9g4, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 6bajck5osvj7trnwt2a5mc3dg, 4uuqid6t4nspn0wspyltz3bx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805748779,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-25T16:16:35.190Z,2025-04-26T12:00:47Z,,,,,5677629487,194,5lu7bn7uec3zjqpoi1x81gbu1,5677539889,59,"31, 3, 12, 34, 24, 4, 17, 20, 11, 22, 10, 13, 14, 15, 16, 18, 21, 23, 27, 28",5677539893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677539891,130,13,5677539897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677539887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677539885,30,"2h94np282g0qtzal1czznequi, 6qko3f8w2ap9ynbuq2g55i5n8, bdz03qovxerzrv12lgljae1p0, 4i0jiisff5k1efcgf27skpqfo, 4lxxyqy78jkglhv2w6crzcnsa, 5lu7bn7uec3zjqpoi1x81gbu1, 9dh7cnu4uzbraeck0t5iqlj4k, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, 77zrjzfkfp7hozuj05ktwhtqt, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, 5w0giylttgiapseaw6qky0mxg, cqsc3mj8klukkgutdrpegybdg, d9hh01mit4geyadol3gmzco9, 7hso2bszmf4qal560jhrg2904, 7353ysa16qgg30b9z5qiagys4",5677539895,197,6601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766587,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-25T17:01:46.736Z,2025-04-26T16:18:13Z,,,,,5677635345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766601,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-25T17:01:46.736Z,2025-04-25T17:01:47Z,,,,,5677635393,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766619,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-04-25T17:01:46.737Z,2025-04-25T17:01:49Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5677635485,279,S,5677635479,141,46.4,5677635475,56,Back,5677635483,213,3.24,5677635481,212,24.0,5677635477,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766637,4,1,1,0,2,a9vw7ikerpr4cuweeeka5aneg,1,26.0,46.4,2025-04-25T17:01:49.584Z,2025-04-25T17:01:52Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5677635565,56,Back,5677635567,140,29.0,5677635573,213,4.89,5677635569,141,20.6,5677635571,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766659,5,1,1,0,5,a9vw7ikerpr4cuweeeka5aneg,1,29.6,13.1,2025-04-25T17:01:52.663Z,2025-04-25T17:01:56Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5677635729,213,1.14,5677635721,56,Back,5677635723,140,36.9,5677635727,212,18.2,5677635725,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766691,6,1,1,0,9,a9vw7ikerpr4cuweeeka5aneg,1,32.0,47.2,2025-04-25T17:01:56.016Z,2025-04-25T17:01:59Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5677635927,212,17.4,5677635925,141,72.7,5677635929,213,1.66,5677635923,140,30.6,5677635921,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766747,7,1,1,0,12,a9vw7ikerpr4cuweeeka5aneg,1,30.2,77.5,2025-04-25T17:01:59.264Z,2025-04-25T17:02:04Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5677636215,141,60.8,5677636217,212,12.8,5677636211,56,Back,5677636213,140,24.6,5677636219,213,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766757,8,1,1,0,17,a9vw7ikerpr4cuweeeka5aneg,1,24.6,60.6,2025-04-25T17:02:04.192Z,2025-04-25T17:03:57Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5677636279,140,28.9,5677636285,213,4.89,5677636277,56,Back,5677636281,141,23.7,5677636283,212,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
