id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/value
2734767323,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-18T16:14:00.754Z,2024-10-18T20:04:41Z,,,,,5290104869,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, b0yv1pcxifawqx6r1cfqq3otm, 8gqvlydur0v4cpmz1ozqkejh0, 4qyfoq5fjiochtj89w426lm21, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, ayhdul772mr22qoly04psb3f8, 8gdfn7j6xac9p4jh94hk40jdg, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, beu3ypladd5dexnm9x946kjkk",5290104877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290104881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290105079,197,18945,5290104879,194,cflwegqpzch8y30pb3dhigqnd,5290104875,130,10,5290104873,59,"25, 7, 27, 13, 12, 18, 11, 17, 23, 9, 10, 1, 4, 14, 16, 20, 22, 26, 29, 47",5290104871,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734771813,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-18T16:26:13.073Z,2024-10-18T20:01:02Z,,,,,5290130571,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 74m58jsznzu8l89b8h7rkh1bd, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, 45b72f8szmqnv8tz06j7mj1wq, 67p0s4o54xcmiustgy8k5gljo, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4, 4iypayr7a6oylzojn4houu5n8, 3wu2xz4b1gx81bvn53pktoges, bwxxfcjd31gykfbpomwr1od90",5290130573,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290130575,59,"1, 3, 21, 4, 22, 2, 10, 7, 26, 18, 5, 8, 9, 14, 16, 30, 33, 32, 31, 12",5290130579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290130581,194,619s1phj5bkgkug3aszc1y9cl,5290131377,197,9535,5290130583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290130577,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789843,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-18T17:01:43.001Z,2024-10-18T17:01:43Z,,,,,5290223419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789861,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-18T17:01:43.001Z,2024-10-18T17:01:44Z,,,,,5290223499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789885,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.4,50.1,2024-10-18T17:01:43.002Z,2024-10-18T17:01:46Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5290223583,56,Back,5290223585,140,37.6,5290223593,279,S,5290223587,141,50.1,5290223589,212,13.4,5290223591,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789887,4,1,1,0,3,8cfkisxf1fkxdqtt6tx1tup48,1,37.6,50.1,2024-10-18T17:01:46.444Z,2024-10-18T17:01:47Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290223607,141,46.1,5290223611,213,6.11,5290223609,212,15.9,5290223603,56,Center,5290223605,140,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789907,5,1,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,1,52.5,46.1,2024-10-18T17:01:47.220Z,2024-10-18T17:01:49Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5290223679,56,Back,5290223681,140,44.2,5290223683,141,55.8,5290223685,212,10.9,5290223687,213,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789923,6,1,1,0,6,8cfkisxf1fkxdqtt6tx1tup48,1,44.2,55.8,2024-10-18T17:01:49.100Z,2024-10-18T17:01:51Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5290223805,56,Back,5290223811,212,12.4,5290223809,141,47.2,5290223807,140,33.8,5290223813,213,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789955,7,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,33.8,47.2,2024-10-18T17:01:51.188Z,2024-10-18T17:01:54Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290223943,213,4.13,5290223939,141,27.0,5290223937,140,25.2,5290223941,212,16.4,5290223935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789987,8,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,25.2,27.0,2024-10-18T17:01:53.836Z,2024-10-18T17:01:58Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5290224111,157,,5290224113,56,Center,5290224115,140,71.0,5290224119,212,48.1,5290224121,213,6.25,5290224117,141,25.0,5290224123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
