id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2707871433,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-11T10:14:57.829Z,2024-08-11T14:00:13Z,,,,,5142521831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142635051,197,6601,5142521835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142521823,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, b9g3gwxlao9u6y4elz1sdukmh, 4mxciw9jsj9l437fd7bv78p91, 3epwf56ozg73hueacwmckk0r9, 4m9sp9mxlsjk6fv7v218yqfv9, 9dh7cnu4uzbraeck0t5iqlj4k, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, bdz03qovxerzrv12lgljae1p0, cl4xl80n4gew1ox03r3ooshrd, cqsc3mj8klukkgutdrpegybdg, e2157naqwp1qdsgaxre307cb8, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo",5142521829,130,23,5142521825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5142521833,194,8uhv14rin2znrr0wqgvcc2f2t,5142521827,59,"1, 25, 14, 18, 4, 24, 27, 7, 11, 45, 17, 8, 9, 12, 15, 21, 23, 31, 33, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707872685,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-11T10:17:11.008Z,2024-08-11T13:53:34Z,,,,,5142635577,197,9535,5142528573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5142528579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142528575,59,"1, 3, 5, 22, 2, 4, 10, 7, 26, 9, 11, 6, 12, 21, 24, 27, 28, 30, 33, 8",5142528577,130,4,5142528581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142538745,194,619s1phj5bkgkug3aszc1y9cl,5142528571,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, 74m58jsznzu8l89b8h7rkh1bd, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, 98zlz2sscsf6vb7d52ici074k, e2aqcawslcbpp88nia8eko2y1, 11ngumxajbizagbzpm5kompxx, 2lc9bt5639t572il73e9y044, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, bmvcofmie6om4muxij4kdkro4, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4, 69h930ebovyl7rut5dz4r2iok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894219,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-11T11:00:58.601Z,2024-08-11T11:00:58Z,,,,,5142641251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894223,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-11T11:00:58.601Z,2024-08-11T11:01:00Z,,,,,5142641261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894237,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.0,50.0,2024-08-11T11:00:58.602Z,2024-08-11T11:01:01Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5142641343,56,Back,5142641349,212,12.2,5142641345,140,40.0,5142641347,141,59.1,5142641353,279,S,5142641351,213,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894249,4,1,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,1,40.0,59.1,2024-08-11T11:01:00.774Z,2024-08-11T11:01:03Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5142641415,213,4.06,5142641413,212,21.9,5142641411,141,33.4,5142641407,56,Back,5142641409,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894265,5,1,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,1,27.4,33.4,2024-08-11T11:01:02.910Z,2024-08-11T12:01:01Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5142641491,212,10.1,5142641485,56,Back,5142641487,140,36.7,5142641489,141,37.1,5142641493,213,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894279,6,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,32.9,30.3,2024-08-11T11:01:06.303Z,2024-08-11T11:01:07Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5142641607,212,14.9,5142641605,141,22.5,5142641609,213,3.50,5142641601,56,Back,5142641603,140,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894307,7,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,19.6,22.5,2024-08-11T11:01:07.398Z,2024-08-11T11:01:11Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5142641775,141,40.1,5142641781,213,2.50,5142641773,140,4.2,5142641779,212,20.1,5142641771,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894333,8,1,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,1,5.2,43.9,2024-08-11T11:01:11.398Z,2024-08-11T11:01:15Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5142641913,1,,5142641905,140,17.1,5142641907,141,92.0,5142641903,56,Back,5142641909,212,35.0,5142641911,213,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894353,9,1,1,0,16,8cfkisxf1fkxdqtt6tx1tup48,1,22.0,93.8,2024-08-11T11:01:15.422Z,2024-08-11T11:01:18Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5142641987,141,83.2,5142641985,140,26.8,5142641989,212,8.8,5142641983,56,Back,5142641991,213,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894359,10,1,1,0,19,8cfkisxf1fkxdqtt6tx1tup48,1,30.6,85.0,2024-08-11T11:01:17.854Z,2024-08-11T11:01:20Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5142642035,56,Back,5142642037,140,37.6,5142642039,141,94.8,5142642043,213,0.74,5142642041,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894365,11,1,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,0,36.1,96.0,2024-08-11T11:01:19.390Z,2024-08-11T11:01:21Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5142642071,213,0.00,5142642069,212,1.8,5142642063,56,Back,5142642065,140,37.8,5142642067,141,96.0,5142642077,233,3,5142642081,286,,5142642075,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894357,3,74,1,0,20,a9vw7ikerpr4cuweeeka5aneg,1,65.7,7.0,2024-08-11T11:01:19.391Z,2024-08-11T11:01:21Z,b9g3gwxlao9u6y4elz1sdukmh,E. Just,,,5142642023,56,Right,5142642025,285,,5142642093,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894373,4,5,1,0,22,a9vw7ikerpr4cuweeeka5aneg,0,66.2,-1.4,2024-08-11T11:01:21.014Z,2024-08-11T11:53:26Z,b9g3gwxlao9u6y4elz1sdukmh,E. Just,,,5142642613,233,12,5142642125,347,,5142642121,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894463,12,5,1,0,22,8cfkisxf1fkxdqtt6tx1tup48,1,33.8,101.4,2024-08-11T11:01:21.014Z,2024-08-11T11:53:26Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5142642577,56,Back,5142642579,347,,5142642609,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894473,13,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,1,36.0,100.0,2024-08-11T11:01:32.093Z,2024-08-11T11:01:34Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5142642663,141,86.9,5142642667,213,5.33,5142642665,212,12.3,5142642661,140,42.8,5142642659,56,Back,5142642657,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894485,14,1,1,0,35,8cfkisxf1fkxdqtt6tx1tup48,1,39.4,90.2,2024-08-11T11:01:34.517Z,2024-08-11T11:01:35Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5142642717,212,7.2,5142642715,141,96.6,5142642713,140,33.9,5142642719,213,2.50,5142642711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894513,15,1,1,0,37,8cfkisxf1fkxdqtt6tx1tup48,1,33.9,96.6,2024-08-11T11:01:35.734Z,2024-08-11T11:01:39Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5142642843,212,15.2,5142642845,213,3.28,5142642839,140,19.6,5142642837,56,Back,5142642841,141,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894537,16,1,1,0,40,8cfkisxf1fkxdqtt6tx1tup48,1,13.6,89.1,2024-08-11T11:01:39.454Z,2024-08-11T11:01:42Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5142642963,213,4.65,5142642965,1,,5142642961,212,34.8,5142642959,141,38.0,5142642957,140,11.6,5142642955,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894549,17,1,1,0,44,8cfkisxf1fkxdqtt6tx1tup48,1,15.2,31.0,2024-08-11T11:01:42.757Z,2024-08-11T11:01:44Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5142643023,141,4.4,5142643027,213,5.50,5142643019,56,Back,5142643025,212,25.7,5142643021,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894571,18,1,1,0,45,8cfkisxf1fkxdqtt6tx1tup48,1,32.6,4.4,2024-08-11T11:01:44.574Z,2024-08-11T11:01:48Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5142643115,212,12.9,5142643117,213,1.62,5142643113,141,23.4,5142643111,140,32.0,5142643109,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894583,19,1,1,0,49,8cfkisxf1fkxdqtt6tx1tup48,1,33.3,28.9,2024-08-11T11:01:48.150Z,2024-08-11T11:01:52Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5142643217,212,53.0,5142643215,141,73.3,5142643219,213,0.61,5142643213,140,74.8,5142643209,155,,5142643221,1,,5142643211,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894607,20,1,1,0,53,8cfkisxf1fkxdqtt6tx1tup48,0,74.8,73.2,2024-08-11T11:01:52.133Z,2024-08-11T11:01:56Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,,5142643341,3,,5142643351,213,5.35,5142643343,56,Center,5142643349,212,28.8,5142643347,141,39.2,5142643345,140,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894615,5,1,1,0,56,a9vw7ikerpr4cuweeeka5aneg,1,13.2,61.5,2024-08-11T11:01:54.693Z,2024-08-11T11:01:56Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5142643389,212,10.7,5142643383,56,Back,5142643387,141,57.9,5142643385,140,3.3,5142643381,3,,5142643391,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894631,7,1,1,0,59,a9vw7ikerpr4cuweeeka5aneg,1,9.4,58.8,2024-08-11T11:01:58.283Z,2024-08-11T11:02:08Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5142643453,123,,5142643459,141,88.7,5142643457,140,20.0,5142643455,56,Back,5142643461,212,23.2,5142643483,287,,5142643463,213,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894673,8,61,1,1,9,a9vw7ikerpr4cuweeeka5aneg,0,77.2,93.9,2024-08-11T11:02:07.845Z,2024-08-11T11:02:08Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5142643745,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894683,21,12,1,1,9,8cfkisxf1fkxdqtt6tx1tup48,1,23.9,4.0,2024-08-11T11:02:08.574Z,2024-08-11T11:02:10Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5142643857,167,,5142643803,56,Back,5142643809,212,7.2,5142643807,141,0.0,5142643805,140,29.6,5142643811,213,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894743,9,5,1,1,10,a9vw7ikerpr4cuweeeka5aneg,1,71.4,102.0,2024-08-11T11:02:09.025Z,2024-08-11T11:53:26Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5142644177,56,Left,5142644193,233,22,5142644179,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894687,22,5,1,1,10,8cfkisxf1fkxdqtt6tx1tup48,0,28.6,-2.0,2024-08-11T11:02:09.025Z,2024-08-11T11:53:27Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5142643839,347,,5142644205,233,9,5142643837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894751,10,1,1,1,18,a9vw7ikerpr4cuweeeka5aneg,1,72.4,100.0,2024-08-11T11:02:16.684Z,2024-08-11T11:02:18Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5142644231,141,84.4,5142644233,212,12.1,5142644227,56,Left,5142644225,107,,5142644229,140,75.3,5142644235,213,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894767,11,1,1,1,19,a9vw7ikerpr4cuweeeka5aneg,1,75.3,84.4,2024-08-11T11:02:18.436Z,2024-08-11T11:02:19Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5142644313,213,0.34,5142644311,212,16.2,5142644307,140,89.8,5142644305,56,Left,5142644309,141,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894773,12,1,1,1,21,a9vw7ikerpr4cuweeeka5aneg,0,89.9,92.4,2024-08-11T11:02:19.700Z,2024-08-11T11:02:21Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5142644355,2,,5142644359,155,,5142644361,56,Center,5142644365,141,61.8,5142644367,212,20.9,5142644369,213,4.80,5142644363,140,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894779,23,12,1,1,23,8cfkisxf1fkxdqtt6tx1tup48,1,9.2,38.3,2024-08-11T11:02:21.836Z,2024-08-11T12:00:46Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5142644435,15,,5142644405,213,5.85,5142644399,140,18.7,5142644397,56,Back,5142644401,141,31.5,5142644403,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894801,24,83,1,1,23,8cfkisxf1fkxdqtt6tx1tup48,0,17.9,31.5,2024-08-11T11:02:22.477Z,2024-08-11T12:00:41Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5142644711,399,b9g3gwxlao9u6y4elz1sdukmh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894803,13,1,1,1,24,a9vw7ikerpr4cuweeeka5aneg,1,82.8,65.7,2024-08-11T11:02:23.556Z,2024-08-11T11:02:25Z,b9g3gwxlao9u6y4elz1sdukmh,E. Just,,,5142644515,213,0.01,5142644513,212,9.2,5142644507,56,Center,5142644509,140,91.6,5142644511,141,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707894829,14,1,1,1,26,a9vw7ikerpr4cuweeeka5aneg,1,91.5,66.0,2024-08-11T11:02:25.045Z,2024-08-11T11:02:51Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,1.0,,5142644651,212,15.8,5142645403,210,15,5142645405,154,,5142644645,56,Center,5142644653,213,3.84,5142644647,140,80.0,5142644649,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
