id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2713198081,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-25T11:13:51.358Z,2024-08-25T12:03:16Z,,,,,5171924383,194,e9o7q10wnhex4e8eo47mobbvt,5172071541,197,4604,5171924375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5171924379,130,4,5171924377,59,"16, 20, 2, 6, 4, 29, 8, 18, 17, 10, 30, 1, 5, 7, 11, 13, 19, 26, 28, 40",5171924381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5171924373,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, e9o7q10wnhex4e8eo47mobbvt, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, rbk7g9mpasw3edltliscyzv8, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5171924385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713201149,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-25T11:23:29.682Z,2024-08-25T12:23:31Z,,,,,5171943365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5171943367,194,cflwegqpzch8y30pb3dhigqnd,5171943363,130,12,5171943357,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 9b89pmcjk6re94bjp0ixeatjo, 8gdfn7j6xac9p4jh94hk40jdg, b0yv1pcxifawqx6r1cfqq3otm, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 1f510mbuc4i1mmshqlgim5u6s, e0rgqk3gxzs005m9ok9hvp1ck, xd4gm9uiq807dri1gs3ltclw, 6xhxqcmi0g6h61y2pl9v89xjo, 9xub4z9b3bog8wqhn5yfihecp",5171943361,59,"25, 7, 27, 13, 12, 18, 11, 10, 9, 14, 17, 3, 4, 20, 22, 24, 26, 50, 30, 8",5171943369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5171943359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5172076239,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227459,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-25T12:02:55.346Z,2024-08-25T12:02:55Z,,,,,5172070165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227465,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-25T12:02:55.346Z,2024-08-25T12:02:57Z,,,,,5172070177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227475,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-08-25T12:02:55.486Z,2024-08-25T12:56:11Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5172070223,212,21.9,5172070217,56,Back,5172070227,279,S,5172070225,213,3.28,5172070219,140,29.3,5172070221,141,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227543,4,1,1,0,4,dbl7ir1qugqz8nvp1vzn8im50,0,29.3,45.7,2024-08-25T12:03:00.135Z,2024-08-25T12:04:25Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5172070649,1,,5172070639,56,Left,5172070641,140,79.7,5172070643,141,79.4,5172070645,212,57.7,5172070647,213,0.41,5172070637,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227573,3,44,1,0,6,b2vft81kyjurzbmekvgrqwr64,1,21.8,19.7,2024-08-25T12:03:01.621Z,2024-08-25T12:57:46Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172070821,285,,5172070819,56,Back,5172076099,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227551,5,44,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,78.2,80.3,2024-08-25T12:03:01.622Z,2024-08-25T13:04:57Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5172076115,233,3,5172070691,56,Left,5172070693,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227621,4,1,1,0,6,b2vft81kyjurzbmekvgrqwr64,0,27.3,22.7,2024-08-25T12:03:01.713Z,2024-08-25T14:07:29Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172071021,213,6.03,5172071013,56,Back,5172071019,212,4.0,5172071017,141,21.2,5172071015,140,31.0,5172071011,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713269383,463,61,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,82.4,91.4,2024-08-25T12:03:02.346Z,2024-08-25T14:07:23Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5172291149,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227569,6,43,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-25T12:03:03.150Z,2024-08-25T12:04:28Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5172070791,141,73.2,5172070785,3,0,5172070787,56,Center,5172070795,213,3.53,5172076301,144,1,5172070789,140,69.8,5172070793,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713270241,432,1,1,0,8,b2vft81kyjurzbmekvgrqwr64,0,28.6,25.9,2024-08-25T12:03:03.346Z,2024-08-25T12:57:50Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5172295415,140,48.6,5172295419,212,21.3,5172295417,141,20.3,5172295411,3,,5172295421,213,6.10,5172295413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227589,7,44,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,62.6,74.2,2024-08-25T12:03:06.345Z,2024-08-25T12:57:51Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5172070883,286,,5172296777,233,433,5172070881,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713270381,433,44,1,0,11,b2vft81kyjurzbmekvgrqwr64,0,35.0,26.2,2024-08-25T12:03:06.346Z,2024-08-25T12:57:51Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5172296167,56,Back,5172296169,285,,5172296801,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227593,8,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,0,69.8,73.0,2024-08-25T12:03:06.702Z,2024-08-25T12:03:07Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5172070891,140,80.7,5172070895,212,13.1,5172070897,213,0.50,5172070893,141,82.3,5172070887,3,,5172070889,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
