id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2742170045,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-01T17:00:29.713Z,2024-11-01T21:36:26Z,,,,,5330588833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5330588837,130,8,5330588841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5331323531,194,8uhv14rin2znrr0wqgvcc2f2t,5330699149,197,6601,5330588831,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 61vr9xr91fr4g6ayzga5vn9w5, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, 81w1fqi66z0ibawynhraybaxg, cqsc3mj8klukkgutdrpegybdg, a48bpdpt0siemxqtr3rubwbu, bdz03qovxerzrv12lgljae1p0, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, dsfbfzwy3c06mu50ee89qrbsa, 4lxxyqy78jkglhv2w6crzcnsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",5330588839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5330588835,59,"1, 25, 14, 18, 4, 33, 22, 20, 11, 10, 21, 9, 12, 15, 17, 19, 24, 31, 34, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742173881,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-01T17:13:02.538Z,2024-11-01T18:01:25Z,,,,,5330610859,59,"13, 2, 3, 14, 5, 20, 6, 8, 9, 27, 22, 1, 11, 16, 17, 18, 21, 23, 28, 29",5330610865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5330610855,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 2uellcocrvapu7o70g5zdcmad, 6dki65mdd3letfjjj51i0w3c9, 5u9zrgsm6wycfcbk04m64wd1w, ezbixgm2km8iapnsl57bn4wkp, 5mmgppapbchmcj9zdtyw0w5xw, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 8i0o1b8rjsab9se3v6vteqmfo, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, 86mx27krl6c613x6e3t9g3cic, ab3nxxoj7bxlnhot9htoex1xw, 38shfw53eg5qtvem3d3ou04r8, 8xe0fufxfgf5cuwgysz3r2j85, 8viazilbghyogmhd7w3lg2six",5330610863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5330610857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5330610861,130,9,5330697411,197,19798,5330697889,194,ezbixgm2km8iapnsl57bn4wkp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191445,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-01T18:00:37.147Z,2024-11-01T18:00:39Z,,,,,5330702167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191437,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-01T18:00:37.147Z,2024-11-01T18:00:37Z,,,,,5330702131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191449,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.1,49.6,2024-11-01T18:00:37.547Z,2024-11-01T18:00:40Z,5mmgppapbchmcj9zdtyw0w5xw,J. Voldby,,,5330702181,213,3.33,5330702183,279,S,5330702177,141,45.7,5330702173,56,Back,5330702175,140,37.1,5330702179,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191487,4,43,1,0,3,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-01T18:00:40.524Z,2024-11-01T18:06:12Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5330702353,140,28.5,5330702357,212,10.6,5330715553,144,1,5330702351,56,Back,5330702359,213,3.71,5330702355,141,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191495,5,1,1,0,4,ajtb177oqwawkdwbqhldmq6mx,1,29.2,38.3,2024-11-01T18:00:41.492Z,2024-11-01T18:00:42Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5330702389,141,52.7,5330702391,212,9.8,5330702387,140,29.5,5330702385,56,Back,5330702393,213,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191523,6,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,1,27.8,58.1,2024-11-01T18:00:42.660Z,2024-11-01T18:00:46Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5330702525,141,88.6,5330702529,213,1.23,5330702521,56,Back,5330702527,212,22.0,5330702523,140,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191527,7,1,1,0,9,ajtb177oqwawkdwbqhldmq6mx,0,40.5,90.3,2024-11-01T18:00:46.236Z,2024-11-01T18:00:47Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5330702555,141,81.7,5330702561,1,,5330702551,140,75.2,5330702557,212,36.9,5330702543,155,,5330702547,56,Left,5330702559,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191543,3,1,1,0,10,a9vw7ikerpr4cuweeeka5aneg,0,29.7,20.4,2024-11-01T18:00:47.813Z,2024-11-01T18:05:27Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5330702625,213,5.34,5330702619,140,31.1,5330702615,3,,5330702617,56,Back,5330702621,141,17.4,5330702623,212,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
