id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2750066539,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-22T17:07:59.993Z,2024-11-22T18:03:30Z,,,,,5373745891,30,"d9hh01mit4geyadol3gmzco9, 3pk6hii2s8tbv2zux8mvbapec, 615e0bjcd0tyge047sy43y5sl, bfvdr7ckiersz26ya2kq9f1g4, 630daj1ef34rczbhng0eoncvd, dshwz1df0rbe0fztksawvd0wl, dm6xpphbyyooqriwaambi7njd, 9r07ooissj5mz15g87x5rmbx1, 5e5fuj7mbkpvf0bug32ixxc5x, 9tt9eo9bsff7dp7aqjal1obo4, 4oxf446ya7jwulq6hxlp8r36d, 2cup1vjw8n43kbzzxfflnmplg, d4w0nytrfhhtw8xqh7rofq6z9, 1cumsropo1r0msfzxxteml1w, 1basznqpux0hkrrd06eaxodsl, 7ymn0ytcqi6l43nqraxt9s1zo, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a",5373837205,194,615e0bjcd0tyge047sy43y5sl,5373745901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373745897,130,12,5373745899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373745893,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5373745895,59,"1, 28, 10, 15, 25, 5, 88, 14, 24, 9, 6, 7, 8, 16, 18, 19, 21, 27, 29, 30",5373842321,197,11501,,,,,,,,,,,,,,,,,,,,,,,,,,
2750066931,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-22T17:08:55.880Z,2024-11-22T19:32:55Z,,,,,5373837329,197,17324,5373748025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5373748035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373748029,130,4,5373748033,194,bwozpgcm48s08t1glxfgjajmd,5373748031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373748021,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 35og29e19w0ykeqcvudhpgr8, 81c40rn7lrb39qu0sam8kv6dw, 6zhj070huc77sl5o5bx6ey5g4, 7h02v4ymnko5fh01iylbh34es, cf6zq49y8v1ekw07e7yi3uac, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, 4rhxehi019n7z1z1m7a39w1sk, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc",5373748027,59,"1, 2, 3, 6, 12, 4, 23, 10, 18, 7, 15, 8, 11, 14, 17, 22, 24, 25, 27, 30",,,,,,,,,,,,,,,,,,,,,,,,,,
2750084109,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-22T18:01:21.919Z,2024-11-22T18:01:23Z,,,,,5373839049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084105,3,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-22T18:01:21.919Z,2024-11-22T18:01:22Z,,,,,5373839041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084115,4,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2024-11-22T18:01:21.920Z,2024-11-22T18:01:25Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5373839077,141,39.5,5373839075,140,29.8,5373839083,279,S,5373839081,213,3.47,5373839073,56,Back,5373839079,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084119,5,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,1,30.4,39.2,2024-11-22T18:01:25.158Z,2024-11-22T18:01:27Z,35og29e19w0ykeqcvudhpgr8,N. Vesterbæk,,,5373839109,213,1.67,5373839103,140,28.8,5373839101,56,Back,5373839107,212,17.7,5373839105,141,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084125,6,1,1,0,5,bd4qakf7j0wwie8wke9km7uj8,0,28.3,73.6,2024-11-22T18:01:26.966Z,2024-11-22T18:01:29Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5373839155,213,6.26,5373839151,141,72.1,5373839145,157,,5373839157,1,,5373839147,56,Center,5373839149,140,69.6,5373839153,212,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084141,3,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,0,35.4,27.4,2024-11-22T18:01:31.494Z,2024-11-22T18:01:32Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5373839209,56,Back,5373839213,141,28.9,5373839211,140,43.9,5373839207,3,,5373839215,212,9.0,5373839217,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084147,7,61,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,52.5,74.4,2024-11-22T18:01:32.894Z,2024-11-22T20:04:13Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5373839245,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084151,4,44,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,49.8,33.2,2024-11-22T18:01:33.217Z,2024-11-22T20:02:14Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5374307547,285,,5373839253,56,Back,5373839307,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
