id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2739979843,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-27T13:17:06.417Z,2024-10-27T20:15:26Z,,,,,5318459597,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5318459603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318459595,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ayhdul772mr22qoly04psb3f8, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, b0yv1pcxifawqx6r1cfqq3otm, 8gdfn7j6xac9p4jh94hk40jdg, 4qyfoq5fjiochtj89w426lm21, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, 9xub4z9b3bog8wqhn5yfihecp, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 8gqvlydur0v4cpmz1ozqkejh0, bpoqmt2dwwsm57vdfrm9stvro, 5jyv1dctfxa6335l1mlifwavo, beu3ypladd5dexnm9x946kjkk",5318459605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318459599,59,"25, 7, 27, 4, 12, 18, 11, 17, 14, 9, 10, 1, 8, 16, 20, 22, 23, 29, 40, 47",5318459601,130,10,5318549805,194,cflwegqpzch8y30pb3dhigqnd,5318661907,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739986117,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-27T13:24:23.626Z,2024-10-27T22:05:58Z,,,,,5319734905,197,11563,5318493125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318493105,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 7ztdirfvd9d0x2yw1v051xzbo, 6wfu6s6xo5zjeke21fgbouql0, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 23sc7wc7my7wes6cuaxw1v0no, 289rctmvd5ppy9zqn98jbe4et",5318581741,194,3od63zrf6cay4d6ync9i2iuqc,5318493119,130,4,5318493115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5318493121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5318493117,59,"90, 14, 17, 6, 4, 5, 13, 8, 16, 97, 7, 1, 2, 3, 18, 19, 20, 21, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020141,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-27T14:01:43.476Z,2024-10-27T14:01:43Z,,,,,5318673559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020153,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-27T14:01:43.476Z,2024-10-27T14:01:45Z,,,,,5318673609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020187,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,49.8,49.3,2024-10-27T14:01:43.477Z,2024-10-27T20:16:50Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5318673773,279,S,5318673761,56,Back,5318673769,212,29.0,5318673763,140,26.6,5318673771,213,3.72,5318673767,141,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020217,4,1,1,0,2,b2vft81kyjurzbmekvgrqwr64,0,26.6,24.0,2024-10-27T14:01:46.437Z,2024-10-27T14:51:15Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5318673931,56,Center,5318673939,213,0.56,5318673941,1,,5318673935,141,55.2,5318673923,157,,5318673933,140,59.0,5318673937,212,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020247,3,1,1,0,5,6wwwud48qahpwrfxs20334qk5,1,38.0,37.3,2024-10-27T14:01:49.156Z,2024-10-27T14:01:50Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5318674129,212,14.8,5318674115,3,,5318674121,140,47.1,5318674131,213,0.87,5318674119,56,Back,5318674125,141,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020267,5,1,1,0,7,6wwwud48qahpwrfxs20334qk5,1,46.6,59.3,2024-10-27T14:01:50.795Z,2024-10-27T14:01:51Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5318674221,212,7.8,5318674215,56,Center,5318674217,140,53.8,5318674219,141,56.3,5318674223,213,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020283,6,1,1,0,8,6wwwud48qahpwrfxs20334qk5,0,54.4,55.5,2024-10-27T14:01:51.525Z,2024-10-27T22:07:34Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5318674289,56,Center,5318674297,213,1.23,5318674293,141,65.5,5318674291,140,56.7,5318674295,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740080751,457,8,1,0,9,b2vft81kyjurzbmekvgrqwr64,1,39.2,27.9,2024-10-27T14:01:52.476Z,2024-10-27T14:50:22Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5319003781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
