id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2815022991,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-15T16:26:10.176Z,2025-05-15T21:22:45Z,,,,,5728717161,130,4,5728717159,59,"1, 15, 42, 6, 28, 2, 8, 14, 24, 22, 19, 4, 9, 10, 16, 25, 26, 27, 29, 30",5728717165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728717163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728717155,30,"bl9em2c9quspd4afzwqn81xxw, bfvdr7ckiersz26ya2kq9f1g4, db671oj1jx2uknf12t8b3s7x0, 4oxf446ya7jwulq6hxlp8r36d, 3pk6hii2s8tbv2zux8mvbapec, a30gduuv9d1s4pkthgu2jhyol, dm6xpphbyyooqriwaambi7njd, 9r07ooissj5mz15g87x5rmbx1, 5e5fuj7mbkpvf0bug32ixxc5x, dncrhma6gwcn6pxiu7hfc6qz8, 7ymn0ytcqi6l43nqraxt9s1zo, aajgld24isoem1ycoysyxxp1w, 9tt9eo9bsff7dp7aqjal1obo4, 615e0bjcd0tyge047sy43y5sl, 1cumsropo1r0msfzxxteml1w, 630daj1ef34rczbhng0eoncvd, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a",5728745959,194,a30gduuv9d1s4pkthgu2jhyol,5728745067,197,11501,5728717157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815023341,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-15T16:29:20Z,2025-05-15T16:58:49Z,,,,,5728745135,197,4652,5728719683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728719685,59,"16, 2, 21, 5, 3, 4, 7, 8, 14, 12, 38, 1, 9, 10, 19, 27, 31, 32, 39, 33",5728719693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728719681,30,"45bcgucg627rhrdgt8tn9hd9m, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, ate1ymumg2iwzn8uyyf3ts222, 5sha6xhovfmuzd7rolx1om39w, 7fkc01xxyl1trj3uav134ehyi, 4mxciw9jsj9l437fd7bv78p91, 7wo1hk736v1xhovvu2t2trw89, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, eps93ehgmx8ft3kjo4zvy63o4, ayjuukbjjzrldkn4d4shfnggk, a3s2lypc1aceu363i78aczx1w, 8kweq4j9h6tk8893nxx1ryw44",5728719689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728719691,194,1se7wkenvs4elrapvdw9mdnje,5728719687,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027965,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-15T17:01:27.918Z,2025-05-15T17:01:28Z,,,,,5728747387,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027975,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-15T17:01:27.918Z,2025-05-15T17:01:29Z,,,,,5728747431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027983,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,49.7,49.9,2025-05-15T17:01:27.919Z,2025-05-15T17:01:30Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5728747477,279,S,5728747475,213,2.99,5728747469,140,29.1,5728747473,212,21.9,5728747471,141,54.9,5728747467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028007,4,1,1,0,2,8gxd9ry2580pu1b1dd5ny9ymy,1,29.5,56.7,2025-05-15T17:01:30.788Z,2025-05-15T17:01:35Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5728747619,212,19.5,5728747617,141,30.4,5728747615,140,22.2,5728747613,56,Back,5728747621,213,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028017,5,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,0,27.9,24.0,2025-05-15T17:01:35.253Z,2025-05-15T17:01:36Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5728747679,157,,5728747687,212,60.9,5728747683,140,85.6,5728747685,141,33.1,5728747691,1,,5728747689,213,0.10,5728747681,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028059,4,1,1,0,14,f1h34qp5zbfl489q8vnkhiq9s,1,11.4,61.4,2025-05-15T17:01:42.496Z,2025-05-15T17:01:44Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,,5728747931,140,17.7,5728747929,56,Back,5728747933,141,74.2,5728747935,212,10.9,5728747937,213,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028077,5,1,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,21.9,69.6,2025-05-15T17:01:44.592Z,2025-05-15T17:01:49Z,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,,,5728748053,56,Back,5728748055,140,13.9,5728748061,213,4.05,5728748059,212,13.7,5728748057,141,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028091,6,1,1,0,21,f1h34qp5zbfl489q8vnkhiq9s,1,13.1,53.6,2025-05-15T17:01:49.351Z,2025-05-15T17:01:53Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,,5728748167,141,34.6,5728748169,212,12.9,5728748171,213,4.78,5728748165,140,13.9,5728748163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
