id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2778748051,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-02-21T17:23:21.580Z,2025-02-21T20:59:28Z,,,,,5529419217,197,19798,5529318905,59,"13, 2, 3, 27, 28, 20, 18, 11, 29, 10, 8, 16, 17, 21, 24, 31, 34, 15, 30, 32",5529318901,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, 8i0o1b8rjsab9se3v6vteqmfo, 8viazilbghyogmhd7w3lg2six, kqj7nh6pqmqbt0abyyu0fcpg, ezbixgm2km8iapnsl57bn4wkp, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, 7k2c7wgoywy7boesjer5578q1, 3ngygpwrrb9ghyph2nmr8hb10, x3ad9hfxts6jpfugy3kvq9d5, e3n8xatusmgu7ttqpfdjanp3p, 52xeb867n93p1wftf42wxu1w4",5529318903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529318911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529318907,130,23,5529318909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529341165,194,ezbixgm2km8iapnsl57bn4wkp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778750787,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-02-21T17:29:27.930Z,2025-02-21T20:33:13Z,,,,,5529428113,194,a30gduuv9d1s4pkthgu2jhyol,5529334763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529334757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529334759,59,"1, 15, 42, 8, 25, 2, 16, 4, 9, 14, 7, 6, 10, 13, 18, 22, 23, 24, 28, 30",5529420101,197,11501,5529334761,130,8,5529334755,30,"bl9em2c9quspd4afzwqn81xxw, bfvdr7ckiersz26ya2kq9f1g4, db671oj1jx2uknf12t8b3s7x0, dm6xpphbyyooqriwaambi7njd, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, aajgld24isoem1ycoysyxxp1w, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, 2cup1vjw8n43kbzzxfflnmplg, 4oxf446ya7jwulq6hxlp8r36d, 615e0bjcd0tyge047sy43y5sl, 3th83n9qum31wu53g68j5iwic, 1basznqpux0hkrrd06eaxodsl, dncrhma6gwcn6pxiu7hfc6qz8, 6dzg820946z4848whaa6ny2nd, 5e5fuj7mbkpvf0bug32ixxc5x, 3pk6hii2s8tbv2zux8mvbapec, 45dqseup0cmujyl4nprr29y0a",5529334765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767709,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-02-21T18:02:12.410Z,2025-02-21T18:02:12Z,,,,,5529425637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767719,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-02-21T18:02:12.410Z,2025-02-21T18:02:14Z,,,,,5529425659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767739,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2025-02-21T18:02:12.411Z,2025-02-21T18:03:04Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5529425775,141,54.9,5529425771,56,Back,5529425779,213,3.00,5529425777,212,23.9,5529425773,140,27.5,5529425781,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767765,4,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,0,27.5,54.9,2025-02-21T18:02:14.721Z,2025-02-21T18:04:50Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5529425907,140,87.1,5529425915,1,,5529425903,157,,5529425911,212,65.0,5529425909,141,28.8,5529425913,213,6.01,5529425905,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767897,4,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,1,22.5,52.8,2025-02-21T18:02:30.015Z,2025-02-21T18:02:35Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5529426605,213,1.58,5529426601,141,79.6,5529426599,140,22.3,5529426597,56,Back,5529426603,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767915,5,1,1,0,22,8gxd9ry2580pu1b1dd5ny9ymy,0,25.6,93.9,2025-02-21T18:02:34.983Z,2025-02-21T18:02:36Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5529426709,212,41.5,5529426703,56,Left,5529426711,213,6.04,5529426707,141,79.3,5529426713,1,,5529426705,140,64.0,5529426701,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767931,5,1,1,0,25,ajtb177oqwawkdwbqhldmq6mx,0,39.9,22.2,2025-02-21T18:02:37.738Z,2025-02-21T18:05:17Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5529426795,141,32.2,5529426791,56,Center,5529426793,140,65.0,5529426797,212,27.2,5529426799,213,0.25,5529426789,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767947,6,1,1,0,26,8gxd9ry2580pu1b1dd5ny9ymy,1,44.8,63.4,2025-02-21T18:02:38.614Z,2025-02-21T18:02:40Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,,5529426891,213,0.07,5529426881,3,,5529426885,140,63.4,5529426889,212,19.6,5529426883,56,Center,5529426887,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
