id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value
2754651129,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-12-02T16:39:37.318Z,2024-12-02T17:30:02Z,,,,,5398571949,197,16110,5398471787,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5398471793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5398583771,194,5z7y55t2o577r8ki3i5855as,5398471789,59,"1, 3, 27, 2, 7, 21, 6, 12, 9, 8, 17, 4, 5, 10, 18, 19, 22, 23, 26, 34",5398471785,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, elsygne5tjybbxrqgehtovnro, bop31qof3lon7u6rvmb68ktzp, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, f0nicq49lzng7vjxm5gcpij8, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 7l7f98nn8gohmdacsdb2labkk",5398471791,130,13,5398471795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754651901,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-12-02T16:41:28.522Z,2024-12-02T17:27:34Z,,,,,5398476081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5398476075,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5398476079,130,13,5398476085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5398476077,59,"1, 16, 21, 4, 22, 2, 6, 7, 26, 11, 5, 3, 9, 10, 12, 17, 18, 28, 30, 33",5398476083,194,619s1phj5bkgkug3aszc1y9cl,5398572663,197,9535,5398476073,30,"dqqswfn9s1tdxjoslts8ks6xg, 67p0s4o54xcmiustgy8k5gljo, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 11ngumxajbizagbzpm5kompxx, 619s1phj5bkgkug3aszc1y9cl, 3mcj3wypzq3lno1ehc0vif1sl, e2aqcawslcbpp88nia8eko2y1, 1icurh5jrnw1e6jdgqxjnhdnu, 4m7gr5z6b40dj02yrmlwgeluc, 98zlz2sscsf6vb7d52ici074k, 74m58jsznzu8l89b8h7rkh1bd, bwxxfcjd31gykfbpomwr1od90, 6orujbbswf771s9rv0dcd8kd0, abhfq12njxxutqjtb9zvcusyc, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754670941,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-12-02T17:30:50.689Z,2024-12-02T17:30:52Z,,,,,5398586067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754670937,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-12-02T17:30:50.689Z,2024-12-02T17:30:50Z,,,,,5398586045,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754670959,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,49.8,50.3,2024-12-02T17:30:50.690Z,2024-12-02T17:30:53Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5398586159,213,3.42,5398586155,141,37.3,5398586157,212,31.9,5398586151,56,Back,5398586161,279,S,5398586153,140,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754670983,4,1,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,0,20.4,37.3,2024-12-02T17:30:53.552Z,2024-12-02T17:30:57Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5398586305,1,,5398586293,157,,5398586301,212,73.5,5398586297,140,86.6,5398586303,213,0.33,5398586299,141,72.3,5398586295,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754670993,3,1,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,0,16.0,19.4,2024-12-02T17:30:59.268Z,2024-12-02T17:32:19Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5398586385,213,5.67,5398586377,56,Back,5398586375,3,,5398586383,212,6.7,5398586381,141,13.8,5398586379,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671005,5,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,0,75.0,85.6,2024-12-02T17:30:59.529Z,2024-12-02T17:31:03Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5398586517,140,88.6,5398586521,141,81.5,5398586511,3,,5398586513,56,Left,5398586525,212,14.5,5398586529,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671019,4,61,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,10.3,12.2,2024-12-02T17:31:04.864Z,2024-12-02T20:15:22Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5398586643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671049,6,3,1,0,16,8cfkisxf1fkxdqtt6tx1tup48,0,96.0,84.2,2024-12-02T17:31:07.610Z,2024-12-02T18:27:37Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398586779,286,,5398586777,56,Left,5398586853,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
