id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2805750659,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-25T16:23:20.217Z,2025-04-25T20:27:52Z,,,,,5677630683,194,4a0jmv6qmwn01iuqp1mhnyzth,5677551063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677630685,197,19798,5677551051,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677551067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677551059,130,8,5677551047,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 8viazilbghyogmhd7w3lg2six, e8vt8711wb40afht2v13omket, x3ad9hfxts6jpfugy3kvq9d5, 86mx27krl6c613x6e3t9g3cic, kqj7nh6pqmqbt0abyyu0fcpg, 9213debwtuph6cjborx73sx78, 2uellcocrvapu7o70g5zdcmad, 6otr0cifkk9jbmxc2ew2spka, ezbixgm2km8iapnsl57bn4wkp, 5mmgppapbchmcj9zdtyw0w5xw, b2gkyjq8emj9pywryc3rycogl, dja68kdmhtsm9x5zqzgtpqas4, ab3nxxoj7bxlnhot9htoex1xw, 8i0o1b8rjsab9se3v6vteqmfo",5677551055,59,"1, 2, 3, 27, 28, 20, 29, 6, 15, 18, 10, 4, 5, 7, 8, 9, 13, 16, 21, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805751583,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-25T16:26:34.329Z,2025-04-25T19:53:02Z,,,,,5677556567,30,"9yxhg70gpwi3e9s84c8qwg0yx, ea2x4o6ufsqoz2zz7tqcnvo16, 8q8yol44e42o9hwttlopznvh0, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e19g5bz7s9wqcvj8mttztxi0a, e0rgqk3gxzs005m9ok9hvp1ck, efubck8twu1elbhlomltnjjtg, 8gqvlydur0v4cpmz1ozqkejh0, 9xub4z9b3bog8wqhn5yfihecp, dxv40hh07gxq4hn0i6dwb2l4a, 3sog1gsk11bwwrf7l7wm2j7dg, 4qyfoq5fjiochtj89w426lm21, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, beu3ypladd5dexnm9x946kjkk, izewe5fthjad6hv14xgpm3v8, 2f0p63eeg2yc4jsyotle88q38, ao1wnwvf7m3swnt85cs5w3sb8",5677556573,130,10,5677556577,194,cflwegqpzch8y30pb3dhigqnd,5677556735,197,18945,5677556575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677556569,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677556571,59,"25, 27, 22, 13, 12, 18, 7, 26, 19, 23, 8, 1, 5, 9, 16, 17, 43, 47, 49, 42",5677556579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766045,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-25T17:00:35.239Z,2025-04-25T17:00:37Z,,,,,5677632781,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766021,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-25T17:00:35.239Z,2025-04-25T17:00:35Z,,,,,5677632705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766061,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.2,49.9,2025-04-25T17:00:35.240Z,2025-04-25T17:00:39Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5677632863,140,23.8,5677632867,212,28.5,5677632865,141,59.6,5677632871,279,S,5677632869,213,2.91,5677632861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766077,4,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,1,23.8,59.6,2025-04-25T17:00:38.959Z,2025-04-25T17:00:43Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5677632951,213,5.84,5677632941,157,,5677632949,212,73.7,5677632943,56,Right,5677632947,141,12.9,5677632953,1,,5677632945,140,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766083,5,61,1,0,7,b2vft81kyjurzbmekvgrqwr64,0,87.2,12.0,2025-04-25T17:00:42.824Z,2025-04-25T17:00:43Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5677632965,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766143,3,12,1,0,8,ajtb177oqwawkdwbqhldmq6mx,1,19.7,77.6,2025-04-25T17:00:43.544Z,2025-04-25T17:00:49Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5677633225,140,41.1,5677633229,212,22.5,5677633227,141,78.7,5677633223,56,Back,5677633231,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766149,4,61,1,0,14,ajtb177oqwawkdwbqhldmq6mx,1,41.4,76.9,2025-04-25T17:00:49.558Z,2025-04-25T17:57:36Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5677633261,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766165,5,1,1,0,15,ajtb177oqwawkdwbqhldmq6mx,1,30.8,85.1,2025-04-25T17:00:50.974Z,2025-04-25T17:00:53Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5677633369,212,17.2,5677633371,213,0.28,5677633365,140,46.5,5677633367,141,92.1,5677633363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
