id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2705928725,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-04T11:01:05.024Z,2024-08-06T00:19:18Z,,,,,5131759939,130,8,5131759943,194,8uhv14rin2znrr0wqgvcc2f2t,5131759941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131759935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5131852683,197,6601,5131759933,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 9dh7cnu4uzbraeck0t5iqlj4k, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, b9g3gwxlao9u6y4elz1sdukmh, 5w0giylttgiapseaw6qky0mxg, 4m9sp9mxlsjk6fv7v218yqfv9, 3epwf56ozg73hueacwmckk0r9, 4mxciw9jsj9l437fd7bv78p91, cqsc3mj8klukkgutdrpegybdg, bdz03qovxerzrv12lgljae1p0, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, 9tdl50o579ut0oj2eec0dprtg, e2157naqwp1qdsgaxre307cb8, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo",5131759945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131759937,59,"1, 25, 14, 17, 4, 24, 27, 18, 45, 11, 7, 21, 12, 8, 9, 22, 23, 31, 33, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705929125,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-04T11:02:39.722Z,2024-08-04T12:59:24Z,,,,,5131853299,197,4652,5131762005,194,dkuinrikn3htd1kilcsce2bit,5131761997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5131761999,59,"1, 2, 21, 19, 5, 15, 7, 10, 11, 22, 12, 25, 3, 4, 6, 8, 14, 16, 26, 39",5131762001,130,8,5131762003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131761995,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, auv81snxkpk2ybxzi8giy5azt, bmkwmf5f2ssnw2cq7uga7yd5g, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 7wo1hk736v1xhovvu2t2trw89, dkuinrikn3htd1kilcsce2bit, 4yyiv4t6irqpeayug5qgvmkmh, ate1ymumg2iwzn8uyyf3ts222, 839pm7rmjp6q1bt52f7ek9vys, 15jis83lol1yvu17js2m0g8b8, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 45bcgucg627rhrdgt8tn9hd9m, 98mkoolgahktzky97y0khdq1g, 46nx0rm8sod6bbo4a3d7g6jv8",5131762007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949625,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-04T12:01:55.202Z,2024-08-05T13:53:18Z,,,,,5131862587,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949619,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-04T12:01:55.202Z,2024-08-04T12:01:55Z,,,,,5131862559,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949657,3,1,1,0,1,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2024-08-04T12:01:56.203Z,2024-08-05T23:24:34Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5131862767,279,S,5131862765,213,2.95,5131862761,141,56.6,5131862759,140,27.4,5131862763,212,24.2,5131862757,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949715,4,1,1,0,2,a9vw7ikerpr4cuweeeka5aneg,0,27.5,56.3,2024-08-04T12:01:58.190Z,2024-08-04T12:02:04Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5131863085,213,5.66,5131863079,140,73.8,5131863075,157,,5131863083,212,59.8,5131863081,141,5.0,5131863087,1,,5131863077,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949707,3,44,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,29.4,91.9,2024-08-04T12:02:01.655Z,2024-08-04T12:02:05Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5131863043,56,Back,5131863045,285,,5131863159,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949717,5,44,1,0,6,a9vw7ikerpr4cuweeeka5aneg,0,70.6,8.1,2024-08-04T12:02:01.656Z,2024-08-04T12:02:05Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5131863175,233,3,5131863093,56,Right,5131863095,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949725,4,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,32.7,88.8,2024-08-04T12:02:02.772Z,2024-08-05T23:24:46Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5131863145,213,1.23,5131863137,56,Back,5131863139,140,35.7,5131863135,3,,5131863141,141,100.0,5131863143,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949727,5,5,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,0,31.4,101.8,2024-08-04T12:02:03.766Z,2024-08-04T12:02:08Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5131863263,233,6,5131863149,347,,5131863147,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949751,6,5,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,68.6,-1.8,2024-08-04T12:02:03.766Z,2024-08-04T14:04:04Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5131863257,233,5,5131863253,347,,5131863251,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949763,7,1,1,0,12,a9vw7ikerpr4cuweeeka5aneg,1,73.0,0.0,2024-08-04T12:02:07.709Z,2024-08-04T12:02:09Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5131863317,141,7.4,5131863311,107,,5131863315,140,69.5,5131863313,56,Right,5131863319,212,7.4,5131863321,213,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949773,8,1,1,0,13,a9vw7ikerpr4cuweeeka5aneg,1,69.5,7.4,2024-08-04T12:02:08.956Z,2024-08-04T12:02:10Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5131863371,213,5.29,5131863365,140,71.3,5131863369,212,3.5,5131863367,141,3.1,5131863363,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949789,9,1,1,0,14,a9vw7ikerpr4cuweeeka5aneg,1,71.3,3.1,2024-08-04T12:02:10.060Z,2024-08-04T12:02:11Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5131863467,140,65.4,5131863469,141,5.2,5131863471,212,6.4,5131863473,213,2.92,5131863465,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949819,10,1,1,0,16,a9vw7ikerpr4cuweeeka5aneg,1,65.4,5.2,2024-08-04T12:02:11.367Z,2024-08-04T12:02:15Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5131863607,213,6.16,5131863597,155,,5131863603,141,2.5,5131863601,140,79.7,5131863605,212,15.1,5131863599,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949825,11,1,1,0,19,a9vw7ikerpr4cuweeeka5aneg,0,79.7,2.5,2024-08-04T12:02:14.437Z,2024-08-04T14:05:40Z,b9g3gwxlao9u6y4elz1sdukmh,E. Just,,,5131863633,141,9.7,5131863629,56,Right,5131863635,212,4.9,5131863631,140,79.3,5131863637,213,1.66,5131863627,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949827,6,1,1,0,20,f1h34qp5zbfl489q8vnkhiq9s,0,32.7,80.4,2024-08-04T12:02:15.372Z,2024-08-05T23:25:52Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5131863647,213,0.12,5131863641,140,41.0,5131863645,212,8.8,5131863643,141,81.9,5134663209,155,,5131863639,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949853,12,1,1,0,22,a9vw7ikerpr4cuweeeka5aneg,0,68.2,8.9,2024-08-04T12:02:17.445Z,2024-08-04T12:02:18Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5131863787,212,5.2,5131863779,3,,5131863781,56,Right,5131863785,141,10.0,5131863783,140,73.1,5131863789,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705949855,7,1,1,0,22,f1h34qp5zbfl489q8vnkhiq9s,0,34.2,79.7,2024-08-04T12:02:17.588Z,2024-08-04T12:10:51Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5131863797,212,4.8,5131863795,141,72.6,5131863791,56,Back,5131863793,140,34.4,5131863799,213,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
