id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2815274803,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-05-16T16:06:06.716Z,2025-05-16T20:19:27Z,,,,,5730442437,197,18945,5730127753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730127743,30,"9yxhg70gpwi3e9s84c8qwg0yx, 8q8yol44e42o9hwttlopznvh0, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, 9xub4z9b3bog8wqhn5yfihecp, b0yv1pcxifawqx6r1cfqq3otm, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, e19g5bz7s9wqcvj8mttztxi0a, dxv40hh07gxq4hn0i6dwb2l4a, 3sog1gsk11bwwrf7l7wm2j7dg, dwuxps3jv2852642q000wep6, 4dmz3u7j1eoz4ofr1o8tbxedw, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, 5jyv1dctfxa6335l1mlifwavo, izewe5fthjad6hv14xgpm3v8, 2f0p63eeg2yc4jsyotle88q38",5730127751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730127749,130,10,5730127745,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730127747,59,"25, 22, 27, 13, 12, 18, 8, 17, 9, 23, 7, 1, 5, 10, 16, 26, 29, 40, 47, 49",5730268003,194,cflwegqpzch8y30pb3dhigqnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815276453,2,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-16T16:09:01.819Z,2025-05-16T20:40:44Z,,,,,5730136989,59,"1, 19, 2, 6, 8, 73, 7, 20, 49, 17, 27, 3, 4, 10, 18, 22, 30, 31, 47, 5",5730267889,194,139g7ilwvcpl519v3scnweg2d,5730136995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730136993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730267131,197,23642,5730136991,130,21,5730136985,30,"64vlnkuqfh7rnymg8qku8amwa, 8rn42gm9xm3yunk883yan9vdg, bvw5oc4c040ey5dt5wn0choiy, egwhlgopjtjkop7ozy7ltk1cl, a7eramyy1bd8msxmg84ctc8ut, oywgthoxa153nf48la1j8v10, 139g7ilwvcpl519v3scnweg2d, bh06w40pwo6dy3cjrw3r2i0ru, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, 6t6k24gn6zwxz1g6c3n4ph0q, 6gi9kejni27hjp7b43djczz6d, duahzgqspyuy2gu31u3s8ky96, 9nafz0c0x2qvmo5ldm0djmcq1, ag1psg17osvgbq5fz9xo7kmj8, 5hr1cb6e6xb3eyjnau7w4825l, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, abrdu87vmuqj50ebgalr3c7op",5730136987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299349,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-05-16T16:59:56.505Z,2025-05-16T16:59:58Z,,,,,5730268405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299353,3,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-16T16:59:56.505Z,2025-05-16T16:59:57Z,,,,,5730268419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299361,4,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2025-05-16T16:59:56.506Z,2025-05-16T19:39:48Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5730268459,140,27.2,5730268467,279,S,5730268465,213,3.28,5730268463,212,24.2,5730268461,141,45.1,5730268457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299365,5,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,28.4,47.0,2025-05-16T16:59:59.913Z,2025-05-16T17:00:05Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5730268505,141,100.0,5730268511,213,0.91,5730268513,1,,5730268501,140,55.7,5730268499,56,Left,5730268531,157,,5730268509,212,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299391,3,5,1,0,5,b2vft81kyjurzbmekvgrqwr64,1,40.2,-1.4,2025-05-16T17:00:02.230Z,2025-05-16T19:27:18Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5730268681,233,6,5730268651,56,Back,5730268653,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299367,6,5,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,59.8,101.4,2025-05-16T17:00:02.230Z,2025-05-16T19:27:18Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5730268519,347,,5730268715,233,3,5730268517,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299405,4,1,1,0,12,b2vft81kyjurzbmekvgrqwr64,1,35.2,0.0,2025-05-16T17:00:09.271Z,2025-05-16T17:00:11Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5730268783,213,2.35,5730268777,140,25.7,5730268781,212,14.2,5730268775,56,Back,5730268773,107,,5730268779,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299419,5,1,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,25.7,12.9,2025-05-16T17:00:11.528Z,2025-05-16T17:00:17Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5730268835,140,18.3,5730268837,141,27.4,5730268833,56,Back,5730268839,212,12.6,5730268841,213,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
