id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2778742389,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-02-21T17:08:44.909Z,2025-02-22T04:19:57Z,,,,,5529286595,130,23,5529286591,59,"16, 20, 2, 7, 25, 29, 14, 18, 17, 11, 23, 1, 3, 5, 10, 15, 21, 24, 26, 42",5529286585,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, wha77a8wm7jyn32743y0w79x, auk14ut8cwaqop549u2zmfgt1, ev2s21ogvpjtata4fndi868ve, 2uw6m0yavlvkkiob73hoywb56, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 1b32j0lqi7ggcabdra4tygxzo, 15jhbyn4wsbd865fd9djcwaok, 2g019dl7zougqjo7usig0rf11, bxamae8lo647u6k3kruigir8q, eq15hjcxpdrl5vca2q7s4tr3e, 5wmik73cqursg7sv3w14ue5pm, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 3ukx6q0q54uzz78gl7k10o2dw",5529286597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529286587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529422387,194,4clmd8g8jogdfvauhijd7n55h,5529422389,197,4604,5529286601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778742527,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-02-21T17:09:06.249Z,2025-02-21T19:06:54Z,,,,,5529287397,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, bop31qof3lon7u6rvmb68ktzp, 3rok7i8nrt4yzx2melj4qiuqc, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk, akiwokthm1z7rbifshqhs24t1, 559w0q3q2smb3aeotyi724s9g, h7epk76hlpd9fi38jzyu7ac4",5529287399,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529287407,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529682777,197,16110,5529287403,130,13,5529422465,194,5z7y55t2o577r8ki3i5855as,5529287405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529287401,59,"1, 3, 27, 4, 7, 21, 6, 12, 9, 8, 17, 10, 14, 22, 23, 29, 34, 11, 25, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768301,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-02-21T18:03:20.347Z,2025-02-21T18:03:20Z,,,,,5529428849,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768309,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-02-21T18:03:20.347Z,2025-02-21T18:03:22Z,,,,,5529428881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768321,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-02-21T18:03:20.348Z,2025-02-21T18:03:23Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5529428947,212,20.1,5529428949,213,3.48,5529428951,279,S,5529428945,141,40.1,5529428943,140,32.0,5529428941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768365,4,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,0,32.0,40.1,2025-02-21T18:03:23.009Z,2025-02-21T18:03:29Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5529429191,157,,5529429203,1,,5529429199,212,46.6,5529429201,213,0.22,5529429193,56,Center,5529429195,140,75.3,5529429197,141,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768345,3,44,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.3,36.2,2025-02-21T18:03:26.491Z,2025-02-21T20:13:14Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5529429273,233,5,5529429097,285,,5529429095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768369,5,44,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,72.7,63.8,2025-02-21T18:03:26.492Z,2025-02-21T20:13:14Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5529429281,233,3,5529429227,56,Center,5529429229,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768349,4,1,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,31.8,22.4,2025-02-21T18:03:26.802Z,2025-02-21T18:03:27Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5529429121,56,Back,5529429123,140,38.3,5529429125,141,20.6,5529429127,212,6.9,5529429129,213,6.11,5529429119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778768403,6,1,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,67.7,70.6,2025-02-21T18:03:28.027Z,2025-02-21T18:05:03Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5529429393,140,75.0,5529429395,141,89.7,5529429397,212,15.1,5529429399,213,1.04,5529433507,3,,5529429391,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
