id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value
2705184601,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-02T16:05:38.394Z,2024-08-02T20:05:37Z,,,,,5127778691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127778679,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, 619s1phj5bkgkug3aszc1y9cl, 3mgrufy83uhzs9liw8pwxi784, 3mcj3wypzq3lno1ehc0vif1sl, 74m58jsznzu8l89b8h7rkh1bd, e2aqcawslcbpp88nia8eko2y1, d2ukggo2v5jsw4pctznmaijo4, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, bmvcofmie6om4muxij4kdkro4, e0u730to91qqtvvx16uhajz10, 18g25rcpd99fe1gvr48uoqmtw, k43cten7yb6p59yo0firhb84",5127824781,197,9535,5127778683,59,"1, 3, 5, 22, 2, 4, 7, 28, 26, 10, 11, 33, 9, 12, 21, 24, 27, 30, 31, 32",5127778685,130,4,5127778687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127778681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127778689,194,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705185815,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-02T16:12:39.852Z,2024-08-02T19:25:32Z,,,,,5128071889,197,18945,5127785403,30,"dxv40hh07gxq4hn0i6dwb2l4a, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, lu9bber07etravimh00k745x, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 9b89pmcjk6re94bjp0ixeatjo, 8gdfn7j6xac9p4jh94hk40jdg, b0yv1pcxifawqx6r1cfqq3otm, 9yxhg70gpwi3e9s84c8qwg0yx, e0rgqk3gxzs005m9ok9hvp1ck, ayhdul772mr22qoly04psb3f8, 6bv0j0ezhh9u5u5hqz64p790q, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 1f510mbuc4i1mmshqlgim5u6s, 4c9cr7oxmbe87rr1yb4dt1p1w, 6xhxqcmi0g6h61y2pl9v89xjo",5127785413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127824761,194,lu9bber07etravimh00k745x,5127785411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127785407,59,"1, 7, 27, 13, 3, 18, 11, 10, 9, 14, 17, 25, 26, 4, 12, 20, 22, 24, 28, 30",5127785405,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127785409,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193029,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-02T17:01:31.735Z,2024-08-02T17:01:34Z,,,,,5127827385,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193027,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-02T17:01:31.735Z,2024-08-02T17:01:32Z,,,,,5127827383,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193033,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.4,50.0,2024-08-02T17:01:31.736Z,2024-08-02T17:01:34Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5127827423,213,3.33,5127827419,141,46.1,5127827425,279,S,5127827421,212,14.1,5127827415,140,37.2,5127827411,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193043,4,1,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,1,37.2,46.4,2024-08-02T17:01:34.571Z,2024-08-02T17:01:37Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5127827475,141,76.3,5127827477,212,22.9,5127827471,56,Back,5127827473,140,27.2,5127827479,213,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193053,5,1,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,1,21.9,80.8,2024-08-02T17:01:37.250Z,2024-08-02T17:01:40Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5127827527,141,51.6,5127827525,140,18.9,5127827523,56,Back,5127827529,212,20.1,5127827531,213,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193061,6,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,22.2,43.4,2024-08-02T17:01:40.323Z,2024-08-02T17:01:44Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5127827581,140,23.7,5127827587,213,4.80,5127827585,212,19.0,5127827583,141,15.6,5127827579,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193089,7,1,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,1,24.4,13.4,2024-08-02T17:01:44.075Z,2024-08-02T17:01:48Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5127827739,213,1.93,5127827733,140,18.9,5127827731,56,Back,5127827737,212,16.2,5127827735,141,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193121,8,1,1,0,16,8cfkisxf1fkxdqtt6tx1tup48,0,20.8,45.8,2024-08-02T17:01:47.891Z,2024-08-02T17:02:05Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5127827913,141,81.2,5127827911,140,31.9,5127827917,213,1.12,5127827915,212,26.7,5127827909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705195561,84,3,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,0,40.7,81.1,2024-08-02T17:01:52.127Z,2024-08-02T18:03:26Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5127842513,286,,5127842511,56,Back,5127842535,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193465,12,7,1,0,20,b2vft81kyjurzbmekvgrqwr64,1,59.3,18.9,2024-08-02T17:01:52.128Z,2024-08-02T17:09:49Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5127842519,233,84,5127829549,56,Right,5127829551,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
